MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nMe llena de entusiasmo poder luchar a tu lado.\nJuré a Lumera que te defendería con mi vida.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x0A\x08リュール\nGracias, Emblema Sigurd. A mí también\nme alegra tenerte en mi equipo.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nTe considero parte de mi familia. Avancemos\njuntos luchando hombro con hombro.\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x0A\x08リュール\nContigo me siento más \x0E\x0A\x00\x1C\x0Cseguro\x0Csegura.\nNuestros corazones laten al unísono en batalla.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nHas forjado grandes amistades\nentre tus aliados. Gracias a eso estoy aquí.\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x0A\x08リュール\nNo habría llegado tan lejos sin todos aquellos\nque han caminado a mi lado.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x0A\x08リュール\nY eso te incluye a ti, Sigurd. Te agradezco\nenormemente el apoyo que nos has brindado.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0A\x08シグルド\nSeremos aliados por los siglos de los siglos,\ny juntos pondremos fin a este conflicto.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nMe duele no haber sido capaz de proteger\na mi señora Lumera. La culpa me atormenta.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x0A\x08シグルド\nAunque ya no esté, su voluntad sigue viva.\nNuestra obligación consiste en hacerla cumplir.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nEres todo un artesano. Ese talento\npara tejer no se ve todos los días.\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\nParece que tengo buena mano, aunque solo\nlo hago para entretenerme en las horas muertas.\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nLumera te consideraba un excepcional\nsiervo del Dragón. ¿Lo sabías?\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nTuve el privilegio de servir a la reina, si bien\ndaba por sentado que ella me enterraría a mí.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x0C\nヴァンドレ\nLa admiraba. Fue un verdadero placer\nservirla durante tanto tiempo.\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x0A\x08シグルド\nY seguro que a ella también le complacía\ntenerte. Continuemos juntos lo que ella empezó.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nSientes mucha devoción por el Dragón Divino,\n¿no es cierto, Clanne?\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06クラン\n¡Ya lo creo! Pasé una eternidad esperando\nque despertara. ¡Es un sueño hecho realidad!\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x08\x06クラン\nHoy he hablado mucho con el Dragón Divino.\n¡Me siento desfallecer de lo feliz que estoy!\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x0A\x08シグルド\n¿Vas a desmayarte? Podría considerarse\nirrespetuoso. Procura mantenerte en pie.\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x08\x06クラン\nTengo que ponerme fuerte para poder servir\nal Dragón Divino. ¿Algún consejo, Sigurd?\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x0A\x08シグルド\nTodo buen caballero debe ayudar al prójimo.\nEsa máxima me bastaba para entrenar a diario.\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x0A\x08シグルド\nAunque la fuerza física no lo es todo:\ntambién se ha de cultivar la compasión.\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x08\x06クラン\nLa compasión... Sí. Gracias, Sigurd.\n¡Lo tendré en cuenta!\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nLumera me habló maravillas de ti. Dijo que\nte trasladaste al Somniel a petición suya.\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x08\x06フラン\n¡¿Su majestad me mencionó?! ¡Qué honor!\nJuro que no la dejaré en mal lugar, Sigurd.\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x08\x06フラン\nUna vez decoré los aposentos de su Divinidad.\nQuedaron preciosos, pero Vander se disgustó.\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x0A\x08シグルド\nSeguro que lo hiciste con buenas intenciones.\nA mí me parece un detalle admirable.\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x08\x06フラン\nEstoy escribiéndole una carta a mi familia.\nLos extraño tanto...\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x0A\x08シグルド\nYo jamás recibí ninguna misiva de mi hijo,\naunque me habría alegrado enormemente.\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x08\x06フラン\nVaya, qué lástima. ¿Qué tal si te escribo yo\nde vez en cuando?\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x0A\x08シグルド\nQué amable eres, Framme.\nEso me haría enormemente feliz.\x0E\x04\x00\x00
