MID_WU_C_1_IN_#001	Hoolaa. Aquí estoy.\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	Oh, vaya, ¡está despiert\x0E\x0A\x00\x08\x02o\x02a!\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	¡Oh, seguro que sintió mi presencia!\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	Está muy dormid\x0E\x0A\x00\x08\x02o\x02a, ¿eh?\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	Conozco muy bien esa cara somnolienta.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	Pero será mejor que despierte pronto o...\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#004	¡Le haré cosquillas!\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	¡El Dragón Divino ha despertadooo!\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	¿No le recuerda esto a algo?\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	Pues, ¡buenos días!\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	¡Hola, Divinidad! Uy, está durmiendo.\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	Ooh, ha despertado.\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	Es que parece tan relajad\x0E\x0A\x00\x08\x02o\x02a mientras duerme.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	Debe estar cansad\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	Ojalá pudiera dejarl\x0E\x0A\x00\x08\x02o\x02a dormir.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	Pero no puede ser.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	¡Divinidad!\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	¡Despierte, oh, Divinidad!\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	Es broma. No se me dan bien las formalidades.\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	¡Qué porte tan solemne tiene!\n¡Uy! Rebaja el entusiasmo, Framme.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	¡Lo siento! Pensaba venir en silencio.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	Como su fan número uno,\nprometo comportarme a partir de ahora.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	Siento hacer un escándalo mientras entrenaba.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	No pretendía distraerl\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	L\x0E\x0A\x00\x08\x02o\x02a admiro tanto que no puedo contenerme.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	¡¿Cómo?! ¡¿Está despiert\x0E\x0A\x00\x08\x02o\x02a?!\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	Ejem. ¡Buenos días!\nNo estoy haciendo ruido.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	Uf... Hablar bajo no es nada fácil.\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	¡No se imagina todo lo que he limpiado hoy!\n¡Uy! El Dragón Divino está durmiendo...\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	¡Aah! ¡Se ha despertado! Lo siento.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	Solo quería que supiera\nque el Somniel está limpio y reluciente.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	Debería esperar a que despierte...\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	O podría limpiar también esta habitación.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	Tirar la basura, quitar el polvo...\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#004	¡Ah! ¡El jarrón!\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	¡Lo siento!\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	Lo arreglaré. Lo juro.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	Mmm, al menos el resto del Somniel\nestá reluciente...\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	¡No tema! ¡La copresidenta del Club de Fans\ndel Dragón Divino ya está aquí!\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	¡Está despiert\x0E\x0A\x00\x08\x02o\x02a! ¡Buenos días!\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	¡Se le da tan bien despertarse!\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	¡Es \x0E\x0A\x00\x0C\x04el\x04la que mejor se despierta de todo Elyos!\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	Me alegra tanto que quiera\nque vuelva a animarl\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	A partir de ahora, voy a entregarme a ello\nen cuerpo y alma.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	¡Yo digo "arriba"! ¡Usted dice "ya"! ¡Arriba ya!\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	¡Eh! ¡Buen despertar!\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	¡Su mayor fan lo aprueba!\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	¡L\x0E\x0A\x00\x08\x02o\x02a estaré animando!\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	Buenos días...\x0E\x04\x00\x00
MID_WU_A_2_IN_#002	¿Está durmiendo? ¿En serio?\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	¡Bu! ¡Se ha despertado!\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	Iba a hacerle una broma adorable.\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	Je, je. Este... olvide lo que he dicho.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	Vamos con una bromita para despertar\na \x0E\x0A\x00:\x1Aeste dormilón\x1Cesta dormilona.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	Le haré cosquillas en la nariz con esto...\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	¡¿Eh?! No funciona. Qué raro.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	¡Divinidad! ¡¿No ha estornudado?!\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	Normalmente, cuando le haces esto\na alguien en la nariz...\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	¡A-a-achís!\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	Soy Framme. He venido a despertarl\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	Oh, ya está despiert\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	¿Me esperaba?\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	Ja, ja. ¡Pues vamos, a levantarse!\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	Divinidad, vamos. Es hora\nde que se levante. En serio.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	Voy a animarl\x0E\x0A\x00\x08\x02o\x02a. ¡A pleno pulmón!\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	¡Ja, ja!\x0E\x04\x00\x00
