MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x0A\x08リュール\nHola, Rosado.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ロサード\n¿Qué tal, Dragón Divino?\n¿Te he enseñado ya mi último dibujo?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\n¡Sí! Un viejo pozo en mitad de un bosque...\nY un rayo de sol que iluminaba una bonita flor.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リュール\nEl equilibrio entre esperanza y soledad,\nentre luz y oscuridad, es majestuoso.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ロサード\n¡Exacto! ¡Lo has captado enseguida!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ロサード\nNi te imaginas la de tiempo que pasé vagando\npor el bosque en busca de una imagen así.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ロサード\nPero ¡saber que has entendido el espíritu\nde mi obra hace que haya valido la pena!\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\nDedicarte a buscar la belleza y compartirla\nluego con quienes no la verían de otra forma...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リュール\nTienes unas aficiones maravillosas, Rosado.\nAnsío contemplar tu próxima creación.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ロサード\n¡Ay, eres un primor!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ロサード\nPero, si de verdad quieres más,\ntendré que subir el nivel.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ロサード\nPara lo cual quizá necesite tu ayuda... Hay un\nsitio al que me gustaría ir, pero es difícil llegar.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ロサード\nSi alguien me acompañase, seguro\nque me resultaría más sencillo.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\n¡Será un placer!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ロサード\n¡Bien! ¡Muchísimas gracias!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x0A\x08リュール\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ロサード\n¿Quieres agua?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リュール\nGracias...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\nUuuf.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リュール\nTremenda caminata... ¿Estamos cerca ya?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ロサード\nSi los rumores son ciertos, diría que sí.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リュール\n¿Cómo que "rumores"? ¿Me has traído\nhasta aquí por un simple rumor?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ロサード\nSí, pero no uno cualquiera.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ロサード\nDicen que el lugar que buscamos ofrece\nun panorama que compensa cualquier riesgo.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ロサード\nSi es medianamente cierto, nada me impedirá\nllegar. ¡Ni la distancia, ni el cansancio, ni la sed!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リュール\nAdmiro la pasión con la que te tomas\ntus aficiones, Rosado.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ロサード\nPasión por las cosas lindas, más bien,\npero gracias igualmente.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\n¿"Cosas lindas"?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ロサード\nSí, ya sabes: las cosas que generan sonrisas,\ncomentarios y demás.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ロサード\nCuanto más oigo al público decir que les gustan\nmis obras, más feliz soy. ¡Y más me motivo!\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nSí, siempre levanta el ánimo que te reconozcan\nel trabajo bien hecho.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ロサード\nPor cierto, ¡ya casi hemos llegado! ¡Vamos!\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ロサード\nLa obra es importante, pero el trayecto previo\ntambién. ¡Vamos a disfrutarlo!\x0E\x04\x00\x00
