MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nAy, no... ¿Qué voy a hacer?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06ラピス\n¿Qué te ocurre?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMi familia regenta una posada\ncerca de la mejor fuente termal de Elusia.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNo lo digo para darte envidia. No es mi culpa\nser hija única y haber vivido rodeada de lujos.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06ラピス\n¡Vaya, suena maravilloso!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSí, pero... mis padres me acaban de informar\nde que están teniendo problemas con los osos.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06ラピス\n¿Con los osos? Ya, a veces\npueden dar muchos problemas.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06ラピス\nNo hay tiempo que perder: escribamos\na tus padres para decirles qué deben hacer.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nYo no sé nada sobre osos.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cゴルドマリー\nTengo muchos talentos, pero tratar con esos\nhorribles depredadores no es uno de ellos...\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06ラピス\nTranquila, en mi aldea teníamos que lidiar\ncon ellos a menudo, sé mucho al respecto.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cゴルドマリー\n¿De verdad?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06ラピス\nPor ejemplo, pongamos que te encuentras\ncon un oso comiendo tus cultivos.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06ラピス\nLe dices: "¡Eh, tú, bestia peluda!\n¡Lárgate ahora mismo o te arrepentirás!"\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06ラピス\nEl oso lo comprenderá y se irá a otra parte.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cゴルドマリー\nVaya...\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06ラピス\n¡Hablo desde la experiencia!\nLo he hecho cientos de veces.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cゴルドマリー\nTú eres la experta, así que confiaré en ti.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06ラピス\nConozco muchas técnicas para alejar a los osos,\ndesde la intimidación a la lucha de toda la vida.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEnséñame todo lo que sabes, por favor.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nMuchas gracias por ayudarme, Lapis.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMis padres me han escrito para decirme\nque los osos ya no son un problema.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ラピス\n¡Eso es genial! Me alegro.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cゴルドマリー\nHan enviado esto para agradecértelo.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ラピス\n¿Eh? Un momento... ¿Esto no es...?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nUna invitación para relajarte en la posada\nde mi familia cuando la guerra acabe.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cゴルドマリー\nModestia aparte, te aseguro que nuestra\nfuente termal es la mejor del mundo.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06ラピス\n¡Es un plan maravilloso! ¡Gracias!\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06ラピス\nMe sorprende que vengas de una pequeña\naldea, Goldmary. Eres tan sofisticada...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAy, qué cosas dices.\nAunque sí, lo soy, prosigue.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06ラピス\nA ver si acierto: ¿naciste en una zona rural\npero te criaste en una gran ciudad?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNo, he pasado toda la vida en mi aldea\nhasta que me fui hace unos años.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nViví allí hasta que tuve que ingresar\nen la academia, de hecho.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06ラピス\nEntonces, tu aldea debe de ser\nmuy distinta a la mía...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSiento curiosidad por saber\ncuáles son esas diferencias.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06ラピス\nClaro, la próxima vez que hablemos,\nte lo contaré todo sobre el lugar donde crecí.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06ラピス\n¡Y haré algo para comer!\nConozco la receta perfecta para la ocasión.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEstupendo. Siempre soy yo la que cocina,\nasí que estará bien para variar.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cゴルドマリー\nTengo muchas ganas de pasar\nmás tiempo contigo.\x0E\x04\x00\x00
