MID_FOOD_RESULT	\x0E\x01\x01\x00 \x0E\x01\x00\x00
MID_FOODRANK_Superb	de primera
MID_FOODRANK_Delicious	de sabor delicioso
MID_FOODRANK_Growling	para relamerse
MID_FOODRANK_Melt	de sabor exquisito
MID_FOODRANK_HighKing	de gobernante
MID_FOODRANK_HolyMother	sin mancha
MID_FOODRANK_Courage	con coraje
MID_FOODRANK_Wisdom	con sabiduría
MID_FOODRANK_Chalk	de gusto divino
MID_FOODRANK_Mens	de gusto desabrido
MID_FOODRANK_ForBoys	de sabor adictivo
MID_FOODRANK_Woman	de gusto audaz
MID_FOODRANK_ForGirls	con encanto
MID_FOODRANK_Adult	de gusto refinado
MID_FOODRANK_Child	a la moda
MID_FOODRANK_Your	de estilo personal
MID_FOODRANK_Discerning	para expertos
MID_FOODRANK_Whimsical	de sabor peculiar
MID_FOODRANK_Rich	con sustancia
MID_FOODRANK_Refreshing	de sabor fresco
MID_FOODRANK_Sharp	con armonía
MID_FOODRANK_Friendly	de sabor suave
MID_FOODRANK_BrodiaStyle	a la brodiana
MID_FOODRANK_FileneStyle	a la firenesa
MID_FOODRANK_SolumStyle	al estilo de Solm
MID_FOODRANK_IrcionStyle	al estilo de Elusia
MID_FOODRANK_LithosStyle	al estilo de Lythos
MID_FOODRANK_Wild	al estilo rústico
MID_FOODRANK_Exciting	en abundancia
MID_FOODRANK_CarefullySelected	de élite
MID_FOODRANK_Fresh	de gusto auténtico
MID_FOODRANK_Spicy	de sabor ardiente
MID_FOODRANK_Hot	con picante
MID_FOODRANK_Bitter	de gusto amargo
MID_FOODRANK_Bittersweet	de gusto agridulce
MID_FOODRANK_SuperSweet	con mucho dulzor
MID_FOODRANK_Sweet	de sabor dulce
MID_FOODRANK_Chewy	de estilo crujiente
MID_FOODRANK_Hard	para romper dientes
MID_FOODRANK_Habit	de ensueño
MID_FOODRANK_Smart	fuera de lo normal
MID_FOODRANK_Normal	de estilo ordinario
MID_FOODRANK_Mistake	de aspecto raro
MID_FOODRANK_Shortage	ni fu ni fa
MID_FOODRANK_DifferentStar	de otro mundo
MID_FOODRANK_DefinitelySuffer	de sabor repulsivo
MID_FOODRANK_Carbonization	de gusto quemado
MID_FOOD_OnionSoup	Sopa de cebolla
MID_FOOD_H_OnionSoup	Sopa sencilla pero sabrosa\nelaborada con cebollas, especias\ny agua.
MID_FOOD_ConsommeSoup	Caldo de frijoles y verduras
MID_FOOD_H_ConsommeSoup	Elaborado con salchicha cocida,\nfrijoles y verduras. La receta\npuede variar en función del cocinero.
MID_FOOD_DumplingsOfMeat	Empanadillas de carne picada
MID_FOOD_H_DumplingsOfMeat	Hechas con carne picada, verduras\ny pan rallado. Se sazonan con\nhierbas y se hierven ya rebozadas.
MID_FOOD_PotatoSoup	Sopa de papa
MID_FOOD_H_PotatoSoup	Sopa espesa y vigorizante\nhecha a base de papas tiernas.
MID_FOOD_WhiteSausage	Salchicha blanca
MID_FOOD_H_WhiteSausage	Elaborada con carne de cordero y\ntocino fresco. Se le añaden hierbas\naromáticas para darle más sabor.
MID_FOOD_StewedSaltedMeat	Estofado de carne
MID_FOOD_H_StewedSaltedMeat	Jarretes de cerdo curado guisados\na fuego lento durante horas en un\ncaldo de verduras y hierbas varias.
MID_FOOD_CreamCroquette	Croquetas cremosas
MID_FOOD_H_CreamCroquette	Croquetas crujientes rellenas\nde deliciosa bechamel.
MID_FOOD_SmokedEel	Anguila ahumada
MID_FOOD_H_SmokedEel	La anguila se destripa y ahúma\nentera. ¡Se come hasta la piel!
MID_FOOD_PickledPicklesHerringRoll	Rollitos de arenque encurtido
MID_FOOD_H_PickledPicklesHerringRoll	Cebollas y tomates envueltos\nen filetes de arenque encurtidos\nen vinagre.
MID_FOOD_FriedCarp	Carpa frita
MID_FOOD_H_FriedCarp	Carpa destripada con cuidado\ny sumergida en una sartén llena\nde aceite hirviendo.
MID_FOOD_ApplePie	Tarta de manzana
MID_FOOD_H_ApplePie	Tarta elaborada con tiras finas\nde manzana horneadas.
MID_FOOD_StewedCabbage	Coles encurtidas
MID_FOOD_H_StewedCabbage	Coles picadas y salpimentadas\nque se dejan encurtir con diversas\nespecias en un bote o una jarra.
MID_FOOD_PotatoPancakes	Panqueques de papa
MID_FOOD_H_PotatoPancakes	Masa elaborada con papas ralladas\ny frita en una sartén.
MID_FOOD_SteamedDumpling	Dango al vapor
MID_FOOD_H_SteamedDumpling	Bolitas de masa de pan hervidas\ncon mantequilla y leche en una\nolla con la tapa puesta.
MID_FOOD_OnionQuiche	Quiche de cebolla
MID_FOOD_H_OnionQuiche	Quiche de cebolla salteada\ny tocino cocinada en el horno.
MID_FOOD_FruitHamToast	Pan con manzana y queso
MID_FOOD_H_FruitHamToast	Finas lonchas de manzana y queso\nsobre una rebanada de pan recién\ntostado.
MID_FOOD_PeachCake	Pastel de durazno
MID_FOOD_H_PeachCake	Duraznos horneados en masa\nde mantequilla y servidos con\nazúcar en polvo.
MID_FOOD_NutsAndHoneyCake	Pastel de nueces garapiñadas
MID_FOOD_H_NutsAndHoneyCake	Nueces garapiñadas y envueltas\nen una masa que lleva una capa\nintermedia de crema.
MID_FOOD_BoiledRedWineInBerry	Almíbar de bayas
