MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08アンバー\x022\n\x0E\x03\x02\x0A\x08アンバー\n¡Mi señor Diamant, fíjese! ¡He conseguido\nesta legendaria poción secreta!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08アンバー\nBasta con olerla para revelar los sentimientos\nmás íntimos y sinceros...\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nEstupendo. Podríamos usarla para extraer\ninformación del enemigo. ¡Bien hecho, Amber!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08アンバー\n¡Gracias! La pondré en un lugar seguro.\nPor nada del mundo quisiera que...\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08アンバー\n¡Aaarg!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cディアマンド\nOh... Adiós al frasco. ¿Estás bien?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08アンバー\nUgh...\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08アンバー\nMi señor Diamant... Yo...\nHe de confesarle lo que siento...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cディアマンド\nOh, no. ¡Has debido de inhalar\nlos vapores de esa poción!\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08アンバー\nPríncipe Diamant... Gracias por permitirme\nser su vasallo...\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08アンバー\nSi no fuese por usted... seguramente estaría\nahora en una granja de alpacas...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08アンバー\nLe estoy tan agradecido... Y lo respeto tanto...\nTantísimo...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08アンバー\nPienso que usted es el mejor, porque...\nPorque... Ugh...\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08アンバー\n¿Eh?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cディアマンド\n¿Amber?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08アンバー\n¿Qué ha ocurrido, mi señor Diamant?\n¿Estaba hablando? La cabeza me da vueltas.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cディアマンド\n¿No recuerdas nada? La poción ha funcionado.\nMe estabas abriendo tu corazón ahora mismo.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08アンバー\n¡Caray! ¡No puede ser! ¿Qué he dicho?\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nEste... A decir verdad, me da reparo repetirlo...\nYa hablaremos de eso en otro momento.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08アンバー\nClaro, mi señor. Entendido.\nLo dejaremos para otra ocasión.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08アンバー\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nHola, Amber. Si quieres, podemos hablar\ndel incidente de aquella poción secreta...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08アンバー\n¡Ah, sí! Me encantaría saber qué dije.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nPues... dijiste que estabas agradecido conmigo\ny que me respetas... en extremo, por lo visto.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08アンバー\n¿Eso es todo? ¡No es nada que no sepa ya!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nCierto. No lo ocultas para nada.\nTe has sacrificado por mí en muchas ocasiones.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cディアマンド\nPero dijiste algo más...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nQue, si no fuese por mí, seguramente\nestarías en una granja de alpacas.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08アンバー\nSí, tiene sentido.\nMi familia posee una granja de alpacas.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08アンバー\nEn mi aldea solo hay alpacas y barrancos.\nSabía que debía salir de allí para ser un héroe.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08アンバー\nUsted me ofreció la oportunidad de cumplir\nmi sueño sirviéndole. Se lo agradezco mucho.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nEntiendo. Es una lástima que se echara a perder\nla poción, pero al menos no fue en vano.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nAunque de primeras me dio un poco de apuro,\nahora conozco tus sentimientos más profundos.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08アンバー\nA mí también me dio un poco de vergüenza,\npero me alegra haber expresado mi gratitud.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08アンバー\n¿Eso era todo? ¿Dije algo más?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nAhora que lo mencionas, sí que hubo algo más\njusto antes de que se te pasara el efecto...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nDijiste que pensabas que soy "el mejor",\npero no llegaste a explicar por qué.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0E\x0Cディアマンド\n¿Qué ibas a decir a continuación?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08アンバー\nPues no sé. Claro que creo que es el mejor,\npríncipe Diamant... por muchas razones.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08アンバー\nNo sabría darle un motivo concreto...\n¿Puedo pensármelo un tiempo?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nClaro que sí.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08アンバー\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nAmber, no me dejes más tiempo con la intriga.\nNecesito saber a qué te referías el otro día.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08アンバー\n¿Se refiere al "motivo concreto"\npor el que considero que usted es el mejor?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nEso es.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08アンバー\nCreo que ya lo sé. Diría que es el mejor...\n¡porque parece una alpaca humana!\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cディアマンド\n¡¿Cómo que una alpaca?!\x0E\x04\x00\x00
