MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x06\x04エル\nTe comportas con más gracia y decoro que yo...\nMe gustaría aprender de ti.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x0C\nエイリーク\nNo te preocupes y sé tú misma, Nel.\nTampoco es que yo haga nada especial...\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nDetesto combatir. Solo me avengo a ello\npor la posibilidad de forjar un futuro mejor.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x06\x04エル\nRepudiar el combate demuestra tu bondad.\nMás aún por los motivos que esgrimes.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x06\x04エル\nAdmito que tus buenos modales me alarmaban.\nPensaba que serías presa fácil en una batalla.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x06\x04エル\nPero ahora sé que las hormiguitas te veneran\npor tu bondad y tu fortaleza de ánimo, Eirika.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x0C\nエイリーク\nMe honra haber dejado tan profunda huella\nen ti... Agradezco mucho tus palabras.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x0C\nエイリーク\nY tu empatía... He visto con qué ardor proteges\na tus aliados. Me alegro de haberte conocido.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nラファール\nEres... todo un misterio. A pesar de tu frágil\napariencia, combates con gran fiereza.\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x0C\nエイリーク\nNo sé si tomármelo como un cumplido...\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nMi hermano y yo casi nunca estábamos juntos,\npero ahora siento que vela por mí.\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x0C\nラファール\nAsí debe comportarse un buen hermano.\nMe pregunto si Nel pensará lo mismo de mí...\x0E\x04\x00\x00
