MID_Hub_ThisTime	Hora
MID_Hub_Time_Morning	\x0E\x08\x02\x10\x0EMorningMañana
MID_Hub_Time_Noon	\x0E\x08\x02\x08\x06DayTarde
MID_Hub_Time_Evening	\x0E\x08\x02\x10\x0EEveningAnochecer
MID_Hub_Time_Night	\x0E\x08\x02\x0C\nNightNoche
MID_Hub_Move	Adelante
MID_Hub_Enter	Entrar
MID_Hub_Talk	Hablar
MID_Hub_Check	Examinar
MID_Hub_Ring_Cleaning_Brush	Pulir
MID_Hub_Ring_Cleaning_BrushStrong	Pulir a fondo
MID_Hub_Ring_Cleaning_Stop	Terminar
MID_Hub_Unknown	(?)
MID_Hub_WeaponShop	Armería
MID_Hub_ItemShop	Bazar
MID_Hub_Blacksmith	Herrería
MID_Hub_AccessoryShop	Accesorios
MID_Hub_Mascot	Altar raro
MID_Hub_Mascot_After	Altar de \x0E\x06\x05\x00
MID_Hub_FortuneStore	Vidente
MID_Hub_FreeMarket	Mercadito
MID_Hub_Photoshop	Registro
MID_Hub_amiibo	Pabellón amiibo
MID_H_Hub_amiibo	Elige una acción.
MID_Hub_amiibo_Read	Leer
MID_Hub_amiibo_Accessory_Trade	Ropa
MID_Hub_amiibo_Music_Trade	Canciones
MID_Hub_Animal	Establo
MID_Hub_Here_Unit	Aliados
MID_Hub_Area_List	Lugares
MID_Hub_Area_News	Notificaciones
MID_Hub_Area_News_Nothing	No hay notificaciones.
MID_Hub_Area_Open	NUEVO
MID_Hub_Area_NewItem	Novedades
MID_Hub_Area_NewSystem	Nueva función
MID_Hub_Area_NewLevel	Nueva dificultad
MID_Hub_Area_Count	Quedan: \x0E\x01\x00\x00
MID_Hub_Area_NewStage	Nuevo mapa
MID_Hub_Next	Partir
MID_Hub_Next_Move	Ir
MID_Hub_Next_Confirm	¿Quieres salir de la zona?
MID_Hub_Next_Confirm_Where	¿Adónde quieres ir?
MID_Hub_Next_Confirm_Solanel	Al Somniel
MID_Hub_Next_Confirm_Gmap	Al mapa
MID_Hub_Next_Go	Capítulo siguiente
MID_Hub_Confirm_Cancel	Permanecer aquí
MID_Hub_Gmap	Ir al mapa
MID_Hub_Gmap_Confirm	¿Quieres ir al mapa?
MID_Hub_M026	Batalla final
MID_Hub_Solanel	Somniel
MID_Hub_OtherWorld_Confirm	¿Entrar en el portal a otro mundo?
MID_Hub_OtherWorld_Go	Ir
MID_Hub_MyRoom	Mis aposentos
MID_H_Hub_MyRoom	Cámara que alberga el lecho del Dragón Divino.\nAquí puedes reposar o recordar el pasado.
MID_Hub_GodRoom	Sala de Emblemas
MID_H_Hub_GodRoom	Lugar donde se custodian los anillos\x0E\x01\x0B\x00 Emblema.\nPuedes heredar habilidades de los Emblemas o crear anillos lazo.
MID_Hub_Cafe	Cafetería
MID_H_Hub_Cafe	Zona común de esparcimiento. Pídele un platillo a quien\nesté a cargo ese día y come con tus compañeros.
MID_Hub_Arena	Coliseo
MID_H_Hub_Arena	Zona de entrenamiento extradimensional. Gana experiencia\nluchando con aliados y Emblemas en simulacros de batalla.
MID_Hub_Arena_Closed	En este momento está cerrado.
MID_Hub_Tower	Torre de los Retos
MID_H_Hub_Tower	Pequeño edificio en el cabo donde puedes probar\ntus habilidades a través del espacio y el tiempo.
MID_Hub_CentralStores	Plaza
