MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nマデリーン\x022\n\x0E\x03\x02\x0A\x08リュール\nGracias por entrenar conmigo, Madeline.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nマデリーン\nNo, gracias a usted. Es todo un honor batirse\nen duelo con alguien de semejante talento.\x0E\x04\x02\x00
MID_RELIANCE_C_#003	De hecho, ¿puedo decir algo antes\nde que nos marchemos?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リュール\nPor supuesto. ¿De qué se trata?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nマデリーン\nSolo quería comentarle lo mucho que \x0E\x0A\x00\x0C\x04lo\x04la admiro\npor su franqueza y optimismo.\x0E\x04\x02\x00
MID_RELIANCE_C_#006	Por no mencionar la calidez con la que nos\nacogió a quienes vinimos de otro mundo.\x0E\x04\x02\x00
MID_RELIANCE_C_#007	Destaca como líder no solo por ser un Dragón\nDivino, sino también por su amabilidad.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\n¡Oh! Muchas gracias por tus palabras.\nPero ¿no te estás excediendo con tanto halago?\x0E\x04\x02\x00
MID_RELIANCE_C_#009	Por lo que a mí respecta, tú también eres\nincreíble: eres leal e implacable en combate.\x0E\x04\x02\x00
MID_RELIANCE_C_#010	Me alegra que hayas venido a nuestro mundo.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nマデリーン\nOh, no es nada. Todo caballero que se precie\ndebe librar sus batallas con bravura.\x0E\x04\x02\x00
MID_RELIANCE_C_#012	No necesito que me halaguen por cumplir\ncon mi deber. Eso carece de relevancia.\x0E\x04\x02\x00
MID_RELIANCE_C_#013	Lo importante es cumplir un propósito\ny ayudar\x0E\x0A\x00\x0C\x04lo\x04la a alcanzar la victoria.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\nTus palabras me reconfortan.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nマデリーン\nSi me disculpa, ahora debo atender\notro compromiso.\x0E\x04\x02\x00
MID_RELIANCE_C_#016	Si vuelve a necesitar a alguien\ncon quien practicar, no dude en acudir a mí.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nマデリーン\x022\n\x0E\x03\x02\x0C\nマデリーン\n¡Un ataque rápido más y todo habrá terminado!\nSolo debo acercarme más y... ¡Agh!\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nMadeline, ¡estás blandiendo tu arma!\n¿Qué ocurre?\x0E\x04\x02\x00
MID_RELIANCE_B_#003	¡Oh, una catarina! Qué preciosidad.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nマデリーン\n¿Preciosidad?\n¡Esa criatura se ha adentrado en el Somniel!\x0E\x04\x02\x00
MID_RELIANCE_B_#005	¡Tengo que destruirla o podría traerle\nla ruina a usted y a sus aliados!\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リュール\nOh, oh. No me lo digas: te aterran los insectos.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nマデリーン\n¡Yo no he dicho eso! ¡Ningún caballero sucumbe\nal miedo, por fuerte que sea el adversario!\x0E\x04\x02\x00
MID_RELIANCE_B_#008	Pero lo admito, sí: siento una...\naversión a los insectos.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リュール\nNo pasa nada; a todos nos asusta algo.\nPero ¿por qué no guardas esa arma?\x0E\x04\x02\x00
MID_RELIANCE_B_#010	Esa pequeñez no te va a hacer nada,\nte lo prometo.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nマデリーン\n¿Cómo puede estar tan \x0E\x0A\x00\x1C\x0Cseguro\x0Csegura?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リュール\nTú solo observa. ¡Chu, chu!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nマデリーン\n¡Esa bestia se está moviendo!\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リュール\nTranquila. Mira, se está marchando.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nマデリーン\nHa dejado que se escape...\n¿Y si ahora lo arrasa todo a su paso?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nEso es muy poco probable. Además, conviene\nno recurrir a la violencia siempre que se pueda.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nマデリーン\nMmm... Eso tiene sentido.\nGracias por hacerse cargo de la situación.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リュール\nNo ha sido nada. De hecho, me ha sorprendido\nverte en esa tesitura.\x0E\x04\x02\x00
MID_RELIANCE_B_#019	Dada tu valentía en combate, jamás habría\nimaginado que un insecto te haría pasarla mal.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nマデリーン\n¿Pasarla mal? ¡Los caballeros no la "pasan mal"!\n¡Y, por favor, borre esa sonrisa de la cara!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nマデリーン\x022\n\x0E\x03\x02\x0C\nマデリーン\nUf, uf... ¿Nos tomamos un descanso, Divinidad?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nDe acuerdo. Gracias por volver a entrenar\nconmigo, Madeline.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nマデリーン\nEs un placer, en serio. Agradezco cualquier\nocasión que se presente para moverme un poco.\x0E\x04\x02\x00
MID_RELIANCE_A_#004	(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リュール\n¿Sucede algo?\x0E\x04\x00\x00
