MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nCielos, Lapis, ¿qué bebes?\nEl aroma es embriagador.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06ラピス\n¿¡Princesa Céline!? Pues... un té común\ny corriente. No tiene nada de especial.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08セリーヌ\n¿Te importaría que lo degustase?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06ラピス\n¿¡Qué!? ¡No, por favor! Una princesa\ncomo usted no debe beber estas cosas.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08セリーヌ\n¿Qué inconveniente hay? No parece\nque produzca efectos adversos en ti.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ラピス\nNo es por eso, sino... Este...\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06ラピス\nVerá, no he comprado las hojas en una tienda.\nLas he recogido de una planta silvestre local.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08セリーヌ\n¿Elaboras tu propio té?\nQué maravilla...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08セリーヌ\nAhora sí que debo insistir\nen que me permitas probarlo.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06ラピス\nArg... Bueno, si insiste, aquí tiene.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08セリーヌ\nGracias.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08セリーヌ\n¡Caray! Qué sabor tan potente...\nReconozco que no me lo esperaba.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06ラピス\n¿Le gusta? También he fabricado\nel juego de té a mano.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08セリーヌ\n¿Es obra tuya? ¡Su factura haría enrojecer\nde envidia a muchos artesanos de renombre!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08セリーヌ\nMe admira que seas capaz de hacer tantas\ncosas por ti misma.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06ラピス\nAgradezco el cumplido, pero de verdad\nque no tiene nada de especial.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08セリーヌ\nNo digas bobadas, Lapis. Si no te importa,\n¿podrías enseñarme a elaborar este té?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08セリーヌ\nMe encantaría conocer qué plantas puedo usar\ny cómo prepararlas para elaborar la infusión.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06ラピス\nSerá un placer. Acompáñeme algún día\nal bosque y se lo explicaré todo.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08セリーヌ\nExcelente. Procuraré prestar la máxima\natención a tus consejos, querida profesora.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x08\x06ラピス\nVeamos... Ese arbusto de ahí es comestible.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06ラピス\nSus hojas están riquísimas hervidas.\nTambién pueden secarse para hacer té.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08セリーヌ\nMuy interesante...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06ラピス\n¿Y ve esas bayas? No se comen, pero pueden\nexprimirse para fabricar un buen ungüento.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08セリーヌ\nLas he visto por doquier, pero hasta hoy\ndesconocía sus aplicaciones...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06ラピス\nY este musgo es ideal para tratar quemaduras.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06ラピス\nSe seca, se machaca bien y luego se mezcla\ncon agua para hacer una excelente pomada.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08セリーヌ\n¡Es increíble!\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06ラピス\nSi está interesada, puedo enseñarle\nmuchas cosas más.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06ラピス\nProvengo de una ciudad rica, pero...\ntengo amigos en aldeas bastante humildes.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06ラピス\nEllos me enseñaron todo lo que sé\nsobre el campo.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08セリーヌ\nEn tal caso, les debo parte del agradecimiento\npor todo lo que he aprendido hoy.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06ラピス\nGracias a usted.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06ラピス\nMe sorprende que a una princesa\nle interesen tanto estos temas.\x0E\x04\x00\x00
