MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nSe dice de ti que eres tan fuerte como decidida.\nSerá un honor trabajar contigo, Nel.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x06\x04エル\nEl sentimiento es mutuo, Sigurd. He oído hablar\nmaravillas de tu nobleza y tu pericia en batalla.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nTus estrechos lazos con los Cuatro Vientos\nme recuerdan a algunas de mis amistades.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x06\x04エル\nMe encantaría saber más de ellas, si estás\ndispuesto a deleitarme con alguna anécdota.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nHe oído que mantuviste la entereza ante\nterribles penurias. Te respeto por ello.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x06\x04エル\nPor mi hermano haría cuanto fuera necesario.\nPara mí eso no es ninguna penuria.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x0A\x08シグルド\nLo entiendo perfectamente: no hay nada\nque una más que los lazos familiares.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x06\x04エル\nEspero que nuestro vínculo sea igual\nde fuerte y duradero, Sigurd.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nCuentan que eres un guerrero dragón venido de\notro mundo. Gracias por apoyar nuestra causa.\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x0C\nラファール\nNo soy ningún héroe, pero han apoyado a mi\nhermana, así que haré todo lo que pueda.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nSuelo acordarme de mi hijo, allá en nuestro\nmundo. Siento no haberlo conocido más joven.\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x0C\nラファール\nDe modo que eres padre... No sufras: a buen\nseguro, tu hijo seguirá tus ilustres pasos.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nAl igual que en mi mundo, veo en este\na hermanos declararse la guerra. Qué tragedia...\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x0C\nラファール\n¿Debo darme por aludido? Porque no estoy\nde humor para aguantar reprimendas.\x0E\x04\x00\x00
