MID_WU_C_1_IN_#001	Con cuidado...\x0E\x04\x00\x00
MID_WU_C_1_IN_#002	¿Cuán silencioso debo ser?\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	¡Ah!\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	¡Has notado mi presencia aunque\nhe ido con sumo cuidado!\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	Tu audición es excelente, Divinidad.\x0E\x04\x00\x00
MID_WU_C_1_SOON_#004	¿Podría examinarte los oídos?\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	¿Bastará con el sonido del agua?\nParece que no.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	¿Golpear madera? ¿Y quemarla? ¿Nada?\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	Las llamas se están extendiendo.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#004	¡Madre mía!\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	Buenos días, Divinidad...\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	No, no nos están atacando.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	Te ruego que me perdones...\nApagaré el fuego con magia de viento.\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	¿Quién dice que es demasiado pronto\npara hacer experimentos?\x0E\x04\x00\x00
MID_WU_C_2_IN_#002	Vaya, ¡qué sitio!\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	¡Divinidad!\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	Solo pasaba por aquí.\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	Sin ninguna intención de experimentar,\nclaramente.\x0E\x04\x00\x00
MID_WU_C_2_SOON_#004	Me marcho.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	Es un buen lugar para continuar. Veamos...\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	Vinagre, cera de velas, un poco de fuego...\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	¡Ah! ¡Demasiado fuego!\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	¡Se cancela el experimento!\n¡Apágate! ¡Apágate!\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	Lo siento muchísimo...\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	¿Es esta tu alcoba?\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	Me temo que no me di cuenta.\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#004	Perdóname, por favor.\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	¡Mira, Divinidad!\x0E\x04\x00\x00
MID_WU_B_1_IN_#002	¡He logrado crear mi propio anillo Emblema!\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	Ah, he llamado tu atención.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	Ay, parece que lo he machacado\nde la emoción.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	Al menos sabrá bien.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#004	Estaba hecho de dulce, ¿ves?\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	No he logrado llamar tu atención.\nEstaba seguro de que esto funcionaría.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	Bueno. Si este anillo no te interesa,\ntendré que comérmelo.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	Para dentro, como se suele decir...\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	 \x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	¿Te he sorprendido?\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	Solo era un trozo de dulce.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	Pero si se le da forma de anillo,\n¡puedes llevarlo hasta que te entre hambre!\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#005	¿Quieres probar uno?\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	Divinidad... He venido a darte las gracias...\x0E\x04\x00\x00
MID_WU_B_2_IN_#002	por tener tanta paciencia conmigo.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	¿Te he despertado antes de tiempo?\nDiscúlpame.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	¿Oh? ¿Te has despertado rápidamente\npara aprovechar mejor el tiempo?\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	¡Ja, ja! ¡Ese es el Dragón Divino que conozco!\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	Disfruté de nuestra conversación.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	Aprecio mucho tu inteligencia y curiosidad.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	¡Oh, casi se me olvida! Quería mostrarte\nesta botella de... Oh, no.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	¡Qué torpeza la mía!\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	¡Esto es bastante volátil!\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	¿Te has quemado?\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#004	Vander se enojaría mucho\nconmigo si así fuera.\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	He ideado otra ingeniosa innovación.\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	Buenos días.\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	¿Te gustaría un jugo especial\npara empezar el día?\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	Nota la textura electrizante...\x0E\x04\x00\x00
MID_WU_A_1_SOON_#004	que he creado con magia de trueno.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	He utilizado Trueno para darle algo extra...\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	a esta bebida.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	Ya se está quedando sin burbujas...\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#004	pero reincorporarlas es bien simple. ¡Trueno!\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#005	¡Oh, no! ¡Me he pasado!\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	¿Estás despiert\x0E\x0A\x00\x08\x02o\x02a, Divinidad?\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	Iba a ofrecerte una bebida...\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	pero ese último Trueno la ha convertido\nen espuma.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#004	¿Quieres un poco?\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	La verdad es que me siento un poco culpable\npor venir aquí a despertarte.\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	Ajá, ya estás despiert\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	Pues buenos días.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	Duermes de forma tan apacible...\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	Sería un crimen despertarte.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	Aunque me acusen de no cumplir con mi deber,\nsoy incapaz de interrumpir tu sueño.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	Parece que te he despertado sin querer.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	Lo siento muchísimo. Sé que la juventud\nnecesita descansar.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	Ah, es verdad...\x0E\x04\x00\x00
