MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06ユナカ\n¡Vaya, pero si es el bueno de Alfred!\n¡Qué oportuna coincidencia!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nBuenas, Yunaka. ¿Te estás integrando bien?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06ユナカ\n¡Totalmente! Todo el mundo\nes un encanto.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06ユナカ\nDe hecho, casi diría que me han acogido\ncon excesiva cordialidad.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06ユナカ\nNadie me conoce. Podría ser cualquier persona.\nY, en tal caso, ¿quién lo podría sospechar?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ユナカ\nNadie se ha preocupado en indagar sobre mí,\nlo cual me parece tan extraño como grato.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cアルフレッド\n¿Acaso sugieres que me meta en tus asuntos?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06ユナカ\nTan solo digo que me parecería lo más lógico.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cアルフレッド\nBueno, la verdad es que me interesa\nconocerte mejor.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cアルフレッド\nAsí que de acuerdo. A ver si sacamos algún rato\npara charlar.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06ユナカ\n¿Y charlando pretende recabar información?\n¿Tan indolente va a ser conmigo?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06ユナカ\nHágame el favor de reflexionar.\n¡Podría ser una espía enemiga!\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cアルフレッド\nNo creo. Me fío de ti.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06ユナカ\n¡Voto a tal! ¿Y en qué se fundamenta\nesa inmerecida confianza?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06ユナカ\n¿Jamás lo han traicionado? ¿Ni estafado?\n¿Ni engatusado? ¿Ni apuñalado por la espalda?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cアルフレッド\nEso mismo me preguntan muchas veces.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06ユナカ\nQue se lo preguntan muchas veces, dice...\nEste tipo ni se entera.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06ユナカ\nNo lo entiendo, Alfred, si bien a caballo\nregalado tampoco se le mira el diente.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06ユナカ\nLe agradezco que confíe en mí.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0E\x0Cアルフレッド\nNo tienes por qué, Yunaka.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nBueno, ¿de dónde eres?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06ユナカ\n¡Pero bueno! Caramba, lanzando preguntas\ncomo saetas disparadas por sorpresa.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ユナカ\nCon semejante emboscada lo tiene\ntodo a favor para sonsacarme una respuesta.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nFantástico. Adelante, pues.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ユナカ\nEste... Diantres...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06ユナカ\nDe un sitio de... Brodia.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cアルフレッド\nYa veo. Gracias por responder.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06ユナカ\nSi no le importa, le pediría que mantuviese\nmi procedencia en el más absoluto secreto.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06ユナカ\nPodría verme en apuros si esa información\ntranscendiese y la gente empezase a atar cabos.\x0E\x04\x00\x00
