MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nAy... ¿Y ahora qué hago?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06ラピス\n¿De qué habla, príncipe Fogado?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nフォガート\nAh, ¿qué tal, Lapis? Verás, es que,\ncomo sabrás, lidero a los Centinelas...\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nフォガート\nY tenemos un problemón: unos bandidos\nhacen de las suyas en un oasis de Solm.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nフォガート\nSon de lo más escurridizos. Los superamos\nen número, pero no hay forma de vencerlos.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ラピス\n¿Y si fabrica un artilugio que elimine a esos\nindeseables por usted y lo libre del problema?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06ラピス\nAlgo que los espante... sin que usted tenga\nque mover un solo dedo.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nフォガート\nMmm... No es mala idea, pero no conozco\na nadie capaz de crear una cosa así.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06ラピス\n¡Yo, sin ir más lejos!\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nフォガート\n¿¡Tú!?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06ラピス\nSí, soy bastante hábil. Desde pequeña\nme he fabricado siempre todo lo que necesito.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06ラピス\n¡Confíe en mí! Seguro que se me ocurre algo.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nフォガート\nBueno... Por probar no se pierde nada.\nSi te hacen falta materiales, avísame.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06ラピス\nPues me ayudaría si me trae alguna rama\no cualquier desecho que vea tirado por ahí.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nフォガート\n¿¡Cómo!? ¿Lo dices en serio?...\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06ラピス\n¡Claro! Cuanto antes me traiga lo que le pido,\nantes lo libraré de esos malhechores.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nフォガート\nE-entendido. Buscaré... cualquier cosa\nque parezca útil, en tal caso.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nフォガート\n¿Desesperado yo? Para nada... Solo trato\nde resolver mis problemas con basura...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x08\x06ラピス\n¡Aquí lo tiene, príncipe Fogado!\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06ラピス\nPor fin he terminado mi artilugio\nespantabandidos. Lo he llamado... ¡Foga-2!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nフォガート\nEs... una especie de maniquí\nque se parece a mí...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06ラピス\n¡Correcto! El parecido es innegable, ¿verdad?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nフォガート\nNo te niego que, así de perfil,\nhay bastantes similitudes.\x0E\x04\x00\x00
