MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nSiento ser el último de los anillos\nque robaron de Lythos en unirme a ti.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x0A\x08リュール\nNo es culpa tuya. Me alegra tenerte de vuelta.\nY prometo no volver a perderte, Eirika.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0A\x08リュール\nNoto dos presencias en tu anillo, Eirika\n¿Hay otro Emblema contigo?\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x0C\nエイリーク\nMi mellizo, Ephraim, y yo formamos un único\nEmblema. Solo nos manifestamos juntos\nsi alcanzamos nuestro potencial máximo.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0A\x08リュール\nEs un honor luchar a tu lado, Eirika.\n¿Cómo podría darle las gracias a Ephraim?\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x0C\nエイリーク\nNo aparece en tiempos de paz. No sé si es\ncosa suya o del anillo, pero se lo haré saber.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x0A\x08リュール\nGracias, su apoyo significa mucho para mí.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0C\nエイリーク\nA mí también me resulta muy gratificante.\nEspero que sigamos luchando junt\x0E\x0A\x00\x08\x02o\x02as.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nMe dijeron que sabías tejer muy bien,\npero aún no te había visto en acción. ¡Es genial!\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x0C\nヴァンドレ\nNo suelo recibir halagos abiertamente.\nLa gente suele sorprenderse más que otra cosa.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\n¿Qué te impulsa a luchar, Vander?\n¿Por qué razón arriesgas tu vida?\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\nPara proteger a la gente que quiero.\nTodos mis actos se rigen por esa idea.\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nYo también deseo proteger a los demás.\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nAunque yo no sea de noble linaje,\nsí comparto tus convicciones.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x0C\nヴァンドレ\nEs sorprendente que una princesa y un viejo\ncaballero luchen juntos por un mismo ideal.\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x0C\nエイリーク\nNo creas. Ambos queremos proteger a\nquienes no pueden defenderse por sí mismos.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x08\x06クラン\n¿Tú también tienes un mellizo, Eirika?\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x0C\nエイリーク\nSí, mi hermano es el mayor, como tú.\nPodríamos compartir experiencias.\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nMi hermano siempre me trata como a una niña,\naunque solo nací un momento después que él.\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x08\x06クラン\n¿Ah, sí? Yo también soy el mayor\ny me preocupo mucho por mi hermanita.\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x08\x06クラン\nEs curioso lo de los mellizos. Aunque nacimos\na la vez, uno es siempre mayor que el otro.\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x0C\nエイリーク\nMi hermano lo usa como excusa\npara hacer cosas por mí.\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x0C\nエイリーク\nDice que, como soy más joven,\ndebe cuidarme, aunque nacimos a la vez.\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x08\x06クラン\nSi es como yo, adora a su hermana pequeña.\nSobre todo porque nacieron el mismo día.\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x08\x06フラン\n¿Tú también eres la menor de mellizos?\nSeguro que vamos a llevarnos bien.\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x0C\nエイリーク\nSeguro que sí. ¡Podríamos darnos consejos\nsobre cómo tratar a los hermanos mayores!\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x08\x06フラン\nEirika, ¿te llevas bien con tu hermano?\nA veces no es fácil tener un mellizo.\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x0C\nエイリーク\nNos llevamos bien, pero no sé si es por nuestro\ncarácter o por la naturaleza de nuestro poder...\x0E\x04\x00\x00
