MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\n¿Por qué me estás *mirando*?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04ルイ\nSaludos, Zelkov.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ゼルコバ\nTe he hecho una *pregunta*.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x06\x04ルイ\nNo lo hacía con ninguna intención,\nte lo aseguro.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x06\x04ルイ\nPero, si tienes tiempo,\n¿me permitirías invitarte a una taza de té?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nEsta *invitación* carece de sentido,\ntú y yo apenas nos conocemos.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x06\x04ルイ\nPor esa razón lo hago.\nMe gustaría que nos conociéramos mejor.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ゼルコバ\nDeja de *fingir*, por favor.\n¿Qué es lo que quieres?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x06\x04ルイ\nQuerido Zelkov, no tengo ningún motivo oculto.\nSolo quería charlar tomando un té.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nEntonces, lo lamento, pero debo *rechazarlo*.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04ルイ\nEs una lástima. Supongo que tendré\nque tirar el té relajante.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nNo te *entiendo*.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x06\x04ルイ\nBueno, es evidente que no duermes demasiado.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nEso no debe preocuparte *a ti*.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x06\x04ルイ\nNo me afecta directamente, pero,\ncomo amigo tuyo, me preocupas.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nEsto no va a ninguna *parte*.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08ゼルコバ\nSean cuales sean tus *intenciones*,\naléjate de mis asuntos.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x01\x0A\x08ゼルコバ\n\x0E\x03\x02\x06\x04ルイ\nMi querido Zelkov, hace falta más que eso\npara disuadirme.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x06\x04ルイ\nBuenos días, Zelkov.\n¿Me harías el honor de tomar té conmigo?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nLouis, empiezo a sospechar que estás\n*intentando* espiarme.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x06\x04ルイ\nJa, ja, ja...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x06\x04ルイ\nEstá bien, seré franco contigo.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ゼルコバ\nPor fin. Por favor, *prosigue*.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x06\x04ルイ\nQuisiera cuidar de ti, Zelkov.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ゼルコバ\n¿Disculpa?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x06\x04ルイ\nVerás, soy el mayor de cuatro hermanos.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x06\x04ルイ\nMi madre murió muy joven, así que me crie\nen una casa llena de hombres.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x06\x04ルイ\nMientras nuestro padre trabajaba\npara mantenernos, yo cuidaba a mis hermanos.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x06\x04ルイ\nEl impulso de cuidar de los demás sigue\nvigente en mí después de tanto tiempo.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ゼルコバ\n¿Y pretendes dirigir ese impulso hacía *mí*?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x06\x04ルイ\nAsí es. Me pareces una persona\nque necesita que la cuiden.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nA eso se deben esas incesantes *invitaciones*\na tomar té.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x06\x04ルイ\nPues sí. De algún modo, siento que podrías\nser uno de mis hermanos pequeños.\x0E\x04\x00\x00
