MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0C\nスタルーク\n(...)\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08パンドロ\n¡Dime, príncipe Alcryst!\n¿Qué te ha parecido tu primera fiesta?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nスタルーク\n¿Por qué?... ¿¡Por qué he accedido a algo así!?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08パンドロ\nJe, es normal que un principiante sufra\nlas consecuencias de semejante fiestón...\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nスタルーク\n¡La música estaba altísima! ¡Todos gritaban!\nY esa forma grotesca de bailar... ¡Qué horror!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nスタルーク\nHa sido como vivir mi peor pesadilla.\nNo estaba preparado para algo así...\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08パンドロ\nSí, fue una fiesta genial.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nスタルーク\nMira, Pandreo... no puedo volver a pasar por\nesa experiencia. Las fiestas no son lo mío.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08パンドロ\nBueno, bueno, no nos precipitemos.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08パンドロ\nTe quedaste todo el rato sentado,\nobservando la escena desde la distancia.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08パンドロ\nPara saber lo que se siente de verdad,\ntienes que soltarte y mezclarte con el resto.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08パンドロ\nLa próxima vez te meteré en el meollo,\naunque sea a rastras.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nスタルーク\n¡No, imposible! Me niego...\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08パンドロ\n¿Cómo te vas a negar? Tú tranquilo,\nque me voy a encargar de que la pases genial.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08パンドロ\n¡Déjalo tooodo en mis manos! ¡¡¡Aúuu!!!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nスタルーク\nC-claro, lo que tú digas. Aú...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x02\x0C\nスタルーク\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nスタルーク\nMe retumban los tímpanos, me tiemblan\nlas piernas... Siento remordimiento.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nスタルーク\n¿Por qué? ¿Quién demonios me mandaría a mí\nvolver a intentarlo? Sabía la que me esperaba...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08パンドロ\n¡¡¡Aúuu!!!\x0E\x04\x00\x00
