MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nマデリーン\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\n¿Cómo estás, Madeline?\n¿Te vas adaptando ya a este mundo?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nマデリーン\nAl principio me sentía incómoda, pero la cosa va\ncambiando dentro y fuera del campo de batalla.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cセレスティア\nMe alegra oírlo.\nPero nada de sobresfuerzos, ¿de acuerdo?\x0E\x04\x02\x00
MID_RELIANCE_C_#004	Me preocupas porque normalmente...\nhaces más de la cuenta.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nマデリーン\nZelestia, ahora estamos en otro mundo,\n¿qué tal si dejas de tratarme como a una niña?\x0E\x04\x02\x00
MID_RELIANCE_C_#006	No hay motivos para que te preocupes.\nNo me excedo en absoluto.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cセレスティア\nBueno, quizá no haga falta que te incordie\ntanto. No soy la única que vela por ti...\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nマデリーン\nSí, en este mundo me han acogido muy bien,\npese a ser nueva. Agradezco su hospitalidad.\x0E\x04\x02\x00
MID_RELIANCE_C_#009	Eso me impulsa a trabajar duro\npara corresponder su amabilidad.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cセレスティア\nQué formal hablas.\nCasi diría que estoy escuchando a Mauvier.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nマデリーン\n¿Eh?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cセレスティア\nDisculpa, no pretendía...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nマデリーン\nNo pasa nada.\nSimplemente me ha tomado por sorpresa.\x0E\x04\x02\x00
MID_RELIANCE_C_#014	Es normal que hable y me comporte como él.\nAl fin y al cabo, fue mi mentor.\x0E\x04\x02\x00
MID_RELIANCE_C_#015	Tras la muerte de mis padres, él me acogió\ny me entrenó para el combate.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cセレスティア\nMe sorprendí mucho al verlos llegar a Lythos.\nCreía que eras su hija.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nマデリーン\nPfff. Hermanos habría tenido un pase,\npero padre e hija...\x0E\x04\x02\x00
MID_RELIANCE_C_#018	¡Oh, qué tarde es! Me gustaría seguir hablando\nde los viejos tiempos, pero debo ir a entrenar.\x0E\x04\x02\x00
MID_RELIANCE_C_#019	Lo dejamos para otro momento, ¿sí?\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0E\x0Cセレスティア\nSe está convirtiendo en toda una mujercita.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nマデリーン\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\n¿Te parece que retomemos la conversación,\nMadeline?\x0E\x04\x02\x00
MID_RELIANCE_B_#002	Mauvier y tú se conocieron en tu ciudad natal,\n¿verdad?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nマデリーン\nSí. Acababa de perder a mis padres, y trataba\nde proteger la ciudad de las aberraciones.\x0E\x04\x02\x00
MID_RELIANCE_B_#004	Un día, la horda más grande que jamás\nhabía visto descendió hacia la ciudad.\x0E\x04\x02\x00
MID_RELIANCE_B_#005	Nos rodearon. Había fuego y gente muriendo\npor las calles... Pensé que era nuestro fin.\x0E\x04\x02\x00
MID_RELIANCE_B_#006	Pero, de repente, de la nada apareció\nun caballero.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cセレスティア\nEra Mauvier, claro.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nマデリーン\nComo llevaba una coraza y el estandarte\ndel Dragón Caído, lo tomé por un enemigo.\x0E\x04\x02\x00
MID_RELIANCE_B_#009	Pero aniquiló hasta la última aberración\na mi alrededor.\x0E\x04\x02\x00
MID_RELIANCE_B_#010	Y, cuando lo miré a los ojos, supe con certeza\nque estaba de mi lado.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cセレスティア\nY, después de salvarte, viajaron juntos\na mi encuentro.\x0E\x04\x02\x00
MID_RELIANCE_B_#012	Estaba preocupada por lo duro que fue\npara ti perder a tus padres y tu hogar.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nマデリーン\nSí... Me da vergüenza incluso pensarlo.\nApenas recuerdo mi viaje a Lythos.\x0E\x04\x02\x00
