MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06マロン\x021\n\x0E\x03\x02\x08\x06マロン\nTramas ardides y estrategias para servirle a él.\n¿Luchas también por su felicidad?\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x08\x06モーヴ\nConfías en ella, la amas, te desvives por ella.\n¿Acaso la deseas solo para ti? \x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x08\x06マロン\nEl país de las rocas se ha derrumbado.\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x08\x06モーヴ\nLa nación de las flores se ha marchitado.\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x08\x06マロン\nQue así sea. Hay quien conoce la verdad:\x0E\x04\x02\x00
MID_OP1_#006	en este mundo no existe la piedad.\nMis anhelos no tienen cabida aquí.\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\n青リュール\x021\n\x0E\x06\x00&\n青リュール\x18MPID_Unknown\n\x0E\x03\x00\x14\x0EE001_エル\x022\n\x0E\x03\x02\x0C\n青リュール\n¡Nel! ¡Nel!\x0E\x04\x02\x00
MID_OP2_#002	Fíjate. Las anémonas han florecido.\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x10\x0EE001_エル\nQué maravilla... Me siento rejuvenecer con solo\ncontemplarlas. Incluso a pesar de esta guerra.\x0E\x04\x00\x00
MID_OP2_#004	\x0E\x03\x02\x0C\n青リュール\nLlevémosles unas cuantas a los demás.\nTomaré esta azul, esa otra roja...\x0E\x04\x00\x00
MID_OP2_#005	\x0E\x03\x02\x10\x0EE001_エル\nNo me parece bien arrancarlas...\nQuizá sea mejor traer aquí a los otros.\x0E\x04\x00\x00
MID_OP2_#006	\x0E\x03\x02\x0C\n青リュール\nPues tienes razón. Tu idea es mucho mejor.\x0E\x04\x02\x00
MID_OP2_#007	Me encanta que siempre te preocupes\npor todo el mundo, Nel.\x0E\x04\x00\x00
MID_OP2_#008	\x0E\x03\x02\x10\x0EE001_エル\nTan solo imito tu ejemplo.\x0E\x04\x02\x00
MID_OP2_#009	Je, je...\x0E\x04\x02\x00
MID_OP2_#010	\x0E\x03\x00\x14\x0EE004_エル\x022\n\x0E\x03\x02\x10\x0EE004_エル\n(...)\x0E\x04\x02\x00
MID_OP2_#011	Era un sueño.\x0E\x04\x02\x00
MID_OP2_#012	Tanta sentimentalidad... no encaja conmigo.\x0E\x04\x02\x00
MID_OP2_#013	(...)\x0E\x04\x02\x00
MID_OP2_#014	Debo apartar de mis pensamientos\ntales trivialidades.\x0E\x04\x00\x00
MID_OP3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x14\x0EE004_エル\x021\n\x0E\x03\x00\x14\x0EE004_イル\x022\n\x0E\x03\x00\x0E\x08リュール\x023\n\x0E\x03\x00\x1A\x14E004_グレゴリー\x024\n\x0E\x03\x02\x10\x0EE004_イル\nSí que hace frío en el Reino de Elusia...\x0E\x04\x00\x00
MID_OP3_#002	\x0E\x03\x02\x0A\x08リュール\nY también cuidan menos sus fronteras\nque Brodia. Reconozco que me decepciona.\x0E\x04\x00\x00
MID_OP3_#003	\x0E\x03\x02\x16\x14E004_グレゴリー\nSí, ha sido demasiado fácil. ¿Por qué no había\nnadie en los puestos de control? Algo no encaja.\x0E\x04\x02\x00
MID_OP3_#004	Me da un poco de miedo, a decir verdad.\x0E\x04\x00\x00
MID_OP3_#005	\x0E\x03\x02\x10\x0EE004_イル\nSí, es extraño que nos hayamos cruzado\ncon tan pocos guardias. ¿Qué opinas, Nel?\x0E\x04\x00\x00
MID_OP3_#006	\x0E\x03\x02\x10\x0EE004_エル\n(...)\x0E\x04\x00\x00
