MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0C\nスタルーク\nSeadall, ¿podría hacerte una pregunta?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08セアダス\n¿Qué es lo que quiere saber, príncipe Alcryst?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nスタルーク\nEs que tengo entendido que antes formabas\nparte de una caravana itinerante.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nスタルーク\n¿Es verdad?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08セアダス\nSí, así es.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08セアダス\nMercaderes, artistas, bailarines...\nHe viajado con todo tipo de personas.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nスタルーク\n¿¡En serio!? ¡Tiene que ser\nuna experiencia increíble!\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08セアダス\nQuizá exagere con lo de "increíble".\nMe sorprende que lo describa así.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nスタルーク\nEs que mis obligaciones como príncipe\napenas me permiten salir de Brodia...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08セアダス\nEntiendo.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nスタルーク\nAdemás, soy bastante introvertido, admiro\na la gente que sabe tratar con otras culturas.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08セアダス\nEl mundo está lleno de maravillas.\nHe visto cosas que... lo dejarían sin aliento.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08セアダス\nDe hecho, si le interesan mis historias,\npuedo contarle unas cuantas.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nスタルーク\n¿De verdad? ¡Me encantaría!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08セアダス\nAunque le advierto que tendré que omitir\nalgunos de los mejores pasajes.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08セアダス\nNo quiero que nadie me culpe de incitar a un\npríncipe a dejar su reino para vivir aventuras.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nスタルーク\nAh, no te preocupes; jamás reuniría el valor.\n¡Si casi no me he atrevido a hablar contigo!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0C\nスタルーク\n¿"Justas de lobos"? ¡Alucinante!\nDebe de ser apasionante presenciar una.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08セアダス\nLo es.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08セアダス\nAunque la verdadera acción se da en las gradas,\ncon las peleas entre los espectadores.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08セアダス\nEn Solm hay muchas formas de divertirse,\npero el Coliseo Lupino es la atracción principal.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nスタルーク\nTu vida parece fascinante, Seadall...\n¡Cuántas historias!\x0E\x04\x00\x00
