MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\nAh, Rosado. Este siempre\nha sido nuestro destino.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ロサード\nSí, tenía que ocurrir.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ロサード\nLo último que quiero es luchar contra\nuna amiga, pero no se puede eludir el destino.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06メリン\nExacto. No hay otra alternativa\nque luchar aquí y ahora de forma justa.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06メリン\n¡Hagámoslo!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ロサード\n¡Fabulosa contra adorable!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06メリン\n¡Que gane el mejor estilo!\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ロサード\nTú has estudiado el arte de ser fabulosa;\nyo he dedicado mi vida a todo lo adorable.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06メリン\nUn giro del destino nos ha reunido; ahora solo\nresta determinar qué fuerza es más poderosa.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06メリン\nEsto es lo que vamos a hacer...\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06メリン\nTú buscas el objeto más adorable, y yo,\nel más fabuloso. Y luego nos lo mostramos.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06メリン\nQuien quede más cautivado por el objeto\ndel otro... ¡pierde!\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ロサード\nDe acuerdo. Traeré un objeto tan adorable\nque tu corazón no podrá soportarlo.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06メリン\nNo te pongas engreído, porque el mío será\ntan fabuloso... ¡que te va a estallar la cabeza!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ロサード\nPues, sin más dilación,\n¡que empiece la competición!\x0E\x04\x00\x00
