MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x02\x0E\x0Cゴルドマリー\n♪Hum, huuum...♪\nQué día tan espléndido para lavar la ropa.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cゴルドマリー\nLavar, escurrir, secar y doblar...\nTodo lo hago con gracia y precisión.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06ユナカ\nQué bien te la pasas haciendo tus tareas.\nDebería estar prohibido.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEspero que no.\nMe encanta lavar la ropa.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cゴルドマリー\n¿Quieres ayudarme?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ユナカ\n¿Yo? Mmm... Paso.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cゴルドマリー\n¿Estás segura?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cゴルドマリー\nQuizá descubras que lavar la ropa\nen un día tan soleado resulta relajante.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAdemás, ir limpia y bien arreglada\nno le hace daño a nadie.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06ユナカ\nYa, no me interesa.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cゴルドマリー\n¿No será que tienes ropa interior\nque no quieres que nadie vea?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06ユナカ\n¿¡Qué!? ¡No!\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nTendré que creerte.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06ユナカ\nMira, es mejor para las dos que no te ayude.\nLo siento.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cゴルドマリー\n¿Por qué?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06ユナカ\nPorque no. Prefiero no hablar del tema.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06ユナカ\nDe hecho, será mejor que me vaya.\nNos vemos.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x01\x08\x06ユナカ\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nA qué vendrá tanto secretismo...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x02\x0E\x0Cゴルドマリー\n♪Hum, hum...♪\nMe gusta que los platos queden relucientes.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAsí puedo ver el reflejo\nde mi sonrisa deslumbrante...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06ユナカ\nAhí estás, Goldmary. Oye, quería pedirte\nperdón por lo del otro día.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cゴルドマリー\n¿Perdón por qué?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ユナカ\nParecía que te divertías lavando la ropa.\nMe habría gustado unirme, pero... no pude.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNo lo entiendo. ¿Qué ocurre?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06ユナカ\nPodría explicártelo, pero es algo personal.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNo pasa nada. No seas tímida.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06ユナカ\nBueno... No me gusta hablar de ello,\npero resulta que tuve una infancia horrible.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06ユナカ\nMis padres me abandonaron porque eran\nmuy pobres y me acabó criando un extraño.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06ユナカ\nDesde muy pequeña, me obligaba\na hacer las tareas domésticas.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06ユナカ\nAhora, hacer esas tareas me recuerda\na mi infancia y me produce ansiedad.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNo lo sabía.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06ユナカ\nPor eso prefiero lavar la ropa\ny los platos yo sola.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06ユナカ\nAsí nadie me ve cuando me desmorono.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cゴルドマリー\nTe entiendo.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06ユナカ\nNo he venido a darte excusas;\nestoy decidida a dejar mi pasado atrás.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06ユナカ\nQuiero ser una persona nueva\ny empezar de cero...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06ユナカ\n¡Así que hagamos algunas tareas!\x0E\x04\x00\x00
