MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x08\x06メリン\n¡Un dragón, un dragón, un dragóoon!\n¡Eres un dragón de verdad!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06メリン\n¿Sabes lo genial que es eso?\nO sea, ¡¿lo genial que eres tú?!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ヴェイル\nMmm...\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ヴェイル\nSoy un dragón, pero no un Dragón Divino,\nsino un Dragón Caído. ¿No te doy miedo?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06メリン\n¡Para nada! En realidad, estoy muy emocionada\npor poder hablar contigo, lady Veyle.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ヴェイル\nAh, ya veo.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ヴェイル\nEs que me resulta raro, porque a la mayoría\nde la gente le doy miedo o le disgusto.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06メリン\nYo vengo de una aldea muy pequeña,\npor eso me fascina todo lo que sea inusual.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06メリン\nJamás podría no gustarme alguien\na quien admiro tanto como a ti.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ヴェイル\nSe puede decir que soy inusual...\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06メリン\n¿Te molesta que te haya dicho eso?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ヴェイル\nNo, no me importa. Creo que tú también...\neres peculiar a tu manera, ¿no?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06メリン\n¿Yo? Supongo que sí.\nEntonces tú y yo somos iguales, ¿no?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ヴェイル\n¡Oh!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06メリン\nPerdona, lady Veyle. Eso ha sido muy\npresuntuoso por mi parte, lo retiro.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ヴェイル\nNo, no pasa nada.\nSolo me ha sorprendido.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08ヴェイル\nEn realidad, me hace feliz que creas\nque me asemejo... a una humana.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08ヴェイル\nMerrin, somos dos personas inusuales\nque se han encontrado. ¿Quieres ser mi amiga?\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x08\x06メリン\nEres fantástica, lady Veyle.\nEs que me maravillo solo con mirarte.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06メリン\nTu cabello, tu piel, tu forma de andar.\n¡Eres perfecta! Claro, que eres un dragón.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ヴェイル\nSupongo.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06メリン\nYo presto mucha atención a mi aspecto,\npero no te llego a la suela de los zapatos.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06メリン\nComo dragón, ¿tienes que esforzarte\npara ser así, o es algo natural?\x0E\x04\x00\x00
