MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0A\x04ルイ\x022\n\x0E\x03\x02\x08\x06クラン\n¿Y... cómo se encuentra hoy... príncipe Alfred?\nLe agradezco... la deferencia de... invitarme.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06クラン\nMmm... No, suena muy serio.\nDebería usar un tono más cercano.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x06\x04ルイ\n¿Ocurre algo, Clanne?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06クラン\n¡Ah! ¿De dónde has salido?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x06\x04ルイ\nLo siento de veras. Pensé que alguien\nhabía mencionado el nombre de mi señor.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06クラン\nNo estás equivocado. El príncipe Alfred\nme ha invitado a entrenar con él hoy.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06クラン\nPero será la primera vez que estaremos a solas\ny no quisiera decir nada que resulte impropio.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x06\x04ルイ\n¿Una sesión privada de entrenamiento\nen pareja?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06クラン\nEso es.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x06\x04ルイ\nMmm... En pareja. Ni a solas ni en grupo.\n¿Qué podría significar?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06クラン\nNo creo que signifique nada en concreto.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x06\x04ルイ\nNo importa... ¿Estabas practicando\ntu saludo para el príncipe?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06クラン\n¡Sí! No quisiera dejarme en evidencia\ny quedar como un maleducado.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06クラン\n¿Qué tal si me ayudas a practicar, Louis?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06クラン\nMe dirigiré a ti como si fueras el príncipe Alfred.\nCorrígeme si digo algo inadecuado.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x06\x04ルイ\nUna idea genial. ¡Para cuestiones de etiqueta,\nno podías estar en mejores manos!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0A\x04ルイ\x022\n\x0E\x03\x02\x06\x04ルイ\nSí... Está claro. Ahora lo entiendo todo mejor.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x06\x04ルイ\nEl físico liviano de Clanne\nencierra una gran energía interior.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x06\x04ルイ\nEl príncipe se ha dado cuenta y lo ha tomado\nbajo su protección. ¡Qué magnánimo!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x06\x04ルイ\nTodavía me falta una pieza del rompecabezas,\npero ¡estoy más cerca de comprenderlo!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06クラン\n¿Louis? ¿Estás bien? Me había parecido\nque murmurabas algo entre dientes.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x06\x04ルイ\n¡Estoy bien! ¡No era nada!\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x06\x04ルイ\nDime, ¿qué tal fue tu sesión de entrenamiento\ncon el príncipe?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06クラン\n¡Fue muy divertida! Gracias a tu ayuda,\ncreo que supe comportarme.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06クラン\nEl príncipe Alfred estuvo especialmente amable.\nFue muy paciente y me enseñó muchas cosas.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x06\x04ルイ\n¡¿Especialmente amable?!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x06\x04ルイ\nEl príncipe siempre se muestra muy bondadoso.\n¿Podrías explicarte un poco más?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06クラン\nEh... Claro...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x06\x04ルイ\n¿Crees que esa actitud se debe\na que te considera un amigo o es algo más?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06クラン\nOh, ya sé a lo que te refieres.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06クラン\nSe le notaba con una energía distinta.\nCasi como si deseara que fuéramos hermanos.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x06\x04ルイ\n¡Conque hermanos!\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x06\x04ルイ\nHermanos... uno de Firene; el otro, de Lythos...\n¡Es ciertamente muy curioso!\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06クラン\n¿Estás bien? ¿Necesitas sentarte?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x06\x04ルイ\nNo, no es nada. No te preocupes.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06クラン\nAh... Por cierto, vamos a entrenar de nuevo.\nSi te interesa, ¿por qué no vienes también?\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x06\x04ルイ\nNo, no, para nada. Vayan ustedes.\nNo quisiera entrometerme en algo tan especial.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x06\x04ルイ\nEspero que tengan una sesión muy productiva.\nYo me quedaré al margen, vigilando...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0A\x04ルイ\x022\n\x0E\x03\x02\x06\x04ルイ\nHoy es un día aciago...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06クラン\n¿Louis? ¿Pasa algo?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x06\x04ルイ\nMe entristece que tus sesiones de\nentrenamiento con el príncipe hayan acabado...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06クラン\n¿Cómo lo sabes?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x06\x04ルイ\nEstaba cerca de allí y los oí...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06クラン\n¡¿Estabas allí?! Ni me había dado cuenta.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x06\x04ルイ\nLos vi casualmente a los dos y decidí\nmontar guardia no muy lejos...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06クラン\nOh, entiendo... Muchas gracias.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x06\x04ルイ\nTienen una conexión muy especial...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x06\x04ルイ\nMe sorprendió que el fornido príncipe de Firene\nentrenase con un joven imberbe de Lythos...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x06\x04ルイ\n¡Su benevolencia y camaradería\nme alegran el corazón!\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x06\x04ルイ\nTras años de observar a la gente,\nnunca había visto una imagen así.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06クラン\nPues creo que el príncipe Alfred va a tomar\nun nuevo compañero de entrenamiento...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x06\x04ルイ\n¡¿Es eso cierto?!\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06クラン\nSí. Y yo también voy a buscar un compañero\npara enseñarle lo que he aprendido del príncipe.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x06\x04ルイ\nAún no ha terminado...\x0E\x04\x00\x00
