MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x02\x0C\nミスティラ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダス\n¡Arg!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nミスティラ\n¡Seadall! ¿A qué ha venido ese grito?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08セアダス\n¡Esto no formaba parte del trato,\nprincesa Timerra! Ha roto su promesa.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nミスティラ\nNo sé de qué estás hablando.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08セアダス\nAcordamos en que no asaría carne\ncerca de mí. Lo prometió.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08セアダス\n¿Y qué hace entonces? Se pone a preparar\ntodos estos platillos tan sabrosos.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nミスティラ\nAhora que lo dices, algo sí me suena.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nミスティラ\nMe dijiste que los platillos sabrosos te tientan,\n¿no? Especialmente mis asados.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08セアダス\nExacto. Prometió no cocinar cerca de mí.\n¡Y aquí está con su carne!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08セアダス\nDebo controlar lo que como para bailar, ¡pero\nahora estoy tentado de comerme todo esto!\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nミスティラ\nPor mí no te aguantes.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08セアダス\n¡Aaaah!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08セアダス\n¡Espíritu de la baraja, que tu luz sagrada\nme libre de esta trampa demoníaca!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nミスティラ\n¿Demoníaca? Oye, que yo solo intentaba\nser amable.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nミスティラ\nSi tanto te molesta, ¿por qué no te largas\ny me dejas comer en paz?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08セアダス\n¡Ya lo creo que me voy! Me iré muy muy lejos\ncon tal de superar esta prueba.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08セアダス\nQue la luna y las estrellas me ayuden\na alejarme de esta sabrosa tentación.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x01\x0A\x08セアダス\n\x0E\x03\x02\x0C\nミスティラ\nPobrecito. Qué raro...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x02\x0C\nミスティラ\n♪Hum, hum, hum... Qué carne tan rica,\ntan jugosa y tierna...♪\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダス\n¡Aaaaah!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nミスティラ\nAy no, otra vez lo mismo.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08セアダス\n¿¡Volvió a romper su promesa!?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08セアダス\nLo huelo... Es uno de sus deliciosos platillos\nasándose a la parrilla... ¡Cómo chisporrotea!\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nミスティラ\nRelájate, te estás volviendo a comportar\ncomo un loco.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nミスティラ\n¡Que eres un bailarín de fama mundial\ny un vidente famoso, por favor!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nミスティラ\nTodos decían que eras muy cortés y sosegado,\ny yo soñaba con conocer al gran Seadall.\x0E\x04\x00\x00
