MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x06\x04エル\nPara los estándares humanos, eres ciertamente\nculto, Leif. El apodo de Lord Sabio es merecido.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x08\x06リーフ\nRecibí una excelente educación. Antes de ello,\ndurante mi juventud, pecaba de ignorante...\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x06\x04エル\nDicen que no puedes blandir el arma sagrada\nde tu familia... ¿No te resulta frustrante?\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x08\x06リーフ\nDurante un tiempo lo fue, pero me percaté\nde que la voluntad importa más que las armas.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x06\x04エル\nPerdón si me he excedido al mencionar un tema\ndelicado, pero me recordaba a mi hermano...\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x08\x06リーフ\nTranquila. Siento nostalgia al hablar contigo,\npues me traes a la memoria a un viejo amigo.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x08\x06リーフ\nSu honestidad lo hacía parecer arisco a veces,\npero era pura bondad lo que lo impulsaba.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x06\x04エル\nEspero que, gracias a tus consejos, algún día\nllegue a ser tan sabia como ese amigo tuyo.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0C\nラファール\nDisfruta de tu momento de gloria. En la próxima\nbatalla, seré yo quien brillará más.\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x08\x06リーフ\nNo me cabe duda, Rafal. Y espero ganarme\ntu confianza con el transcurso del tiempo.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0C\nラファール\n¿Nunca descansas? Seguro que hasta\nlos Emblemas se cansarán de vez en cuando...\x0E\x04\x00\x00
