MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06アンナ\n¡Hola, Zelkov! Soy Anna, pero puedes llamarme\nlady Anna. ¡Encantada de conocerte!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nEres una *niña* encantadora.\n¿Qué puedo hacer por ti? ¿Necesitas algo?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06アンナ\n¿Eh?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ゼルコバ\n¿Puedo *conseguirte* algo?\n¿Dispones de suficiente comida?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06アンナ\nNo tengo hambre, si eso es lo que preguntas.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nEspero no haberte *asustado*.\nNo era mi intención.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06アンナ\n¿Por qué iba a asustarme?\nLos mercaderes tratan con todo tipo de gente.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06アンナ\nSi quisiera dulces, me los compraría y listo.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08ゼルコバ\nYa veo. *Bien*.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06アンナ\nDe hecho, por eso estoy aquí:\ndeberías comprarme algo.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nClaro, por supuesto.\n*Muéstrame* tu mercancía.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06アンナ\n¡Enseguida!\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ゼルコバ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06アンナ\nNo me ha gustado nada ese suspiro.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nLamento *comunicarte* que no ofreces\nnada que valga la pena comprar.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06アンナ\n¿¡Cómo!?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08ゼルコバ\nAunque me apena ser tan directo con una niña,\ntus productos no tienen ningún *valor* para mí.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06アンナ\n¡Un momento!\n¿Qué tiene de malo lo que vendo?\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08ゼルコバ\nSi debo endurecer mi corazón\npara *explicártelo*, que así sea.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08ゼルコバ\nTus productos carecen de *pasión*.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x08\x06アンナ\n¿Qué significa eso?\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0A\x08ゼルコバ\nPrecisamente, tu *falta* de comprensión\nte ha llevado a vender estas cosas.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x08\x06アンナ\n¿Cómo dices?\x0E\x04\x00\x00
MID_RELIANCE_C_#024	\x0E\x03\x02\x0A\x08ゼルコバ\nUn producto debe lucir la *marca* indeleble\nde la pasión de su creador o no tendrá valor.\x0E\x04\x00\x00
MID_RELIANCE_C_#025	\x0E\x03\x02\x08\x06アンナ\n¿Cuál es la diferencia entre un producto\ncon pasión y otro sin ella? ¡Muéstramelo!\x0E\x04\x00\x00
