MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\n¡Me encanta poder hacerme amiga de otro\nDragón Divino! Tenemos tanto de que hablar...\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x0A\x08リュール\nCon mucho gusto. No me cabe duda de que\ncongeniaremos bien. Cuéntamelo todo sobre ti.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nFíjate... \x0E\x0A\x00\x10\x06Los\x06Las dos somos Dragones Divinos, pero\ntú tienes el cabello de colores distintos.\n¡Me encanta!\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x0A\x08リュール\nGracias, Tiki. Tu cabello también es precioso.\nEl verde te confiere un halo bastante místico.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0A\x08リュール\nEn ocasiones sufro pesadillas, sobre todo\ndespués de luchar contra las aberraciones.\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x06\x04チキ\nYo también soñaba cosas feas cuando estaba\nsola, pero ya no, porque los tengo a mi lado.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x06\x04チキ\nAsí que no me voy a despegar de ti.\n¡Ya verás como se acaban las pesadillas!\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0A\x08リュール\nTe lo agradezco, Tiki. Me alegra tenerte cerca.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nLos siervos somos leales al Dragón Divino\ndesde hace generaciones. Es un honor servirle.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x06\x04チキ\nEntonces, ¡seamos amigos! Así podremos\nconocernos mejor y charlar de todo.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nOye, ¿qué haces con esos palitos de madera?\nParece entretenido. ¿Puedo mirar?\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\nFaltaba más, lady Tiki. Se llama "encaje".\nMe complace que haya despertado su interés.\x0E\x04\x00\x00
