MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cゴルドマリー\nYa hemos llegado, Framme.\nEste lugar es perfecto para recoger manzanas.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06フラン\n¡Oooh, qué bonito!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06フラン\nAunque hemos andado mucho rato\nsolo para recoger fruta... ¡Uf!\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cゴルドマリー\nConseguir los mejores ingredientes\npara una receta requiere esfuerzo.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06フラン\nCocinar es más duro de lo que pensaba...\nLlegar hasta aquí ha costado bastante.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06フラン\nQué ganas tengo de volver a casa\ny darme un baño calentito y relajante.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06フラン\n¿Eh, Goldmary? ¿¡Qué haces!?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\n¿Qué ocurre?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06フラン\n¡¿Por qué te estás desnudando?!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06フラン\n¡Vuelve a vestirte!\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cゴルドマリー\nHay un manantial aquí mismo,\nquiero darme un chapuzón.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06フラン\n¡Pues podrías avisar!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cゴルドマリー\n¿Avisar para qué?\nSolo iba a refrescarme un poquito.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cゴルドマリー\nTú misma acabas de decir\nque querías darte un baño, ¿no?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06フラン\nSí, pero no hasta volver a casa.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06フラン\n¿De verdad te atreves a bañarte\nal aire libre?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSí, para mí es muy normal.\nCrecí en una aldea con baños termales.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06フラン\nSiempre he pensado que eras muy tímida,\npero está claro que me equivocaba.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06フラン\nEso me pasa por juzgar las apariencias.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nAy...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06フラン\n¡Eh, Goldmary! ¿Qué hiciste con las manzanas\nque recogimos el otro día?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAlgo mejor de lo que podría imaginar.\nPor desgracia...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cゴルドマリー\ntambién me han arruinado la vida.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06フラン\n¿Qué? ¿Por qué?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nLo que preparé estaba tan bueno que puse\nuna cara terriblemente indigna de mi elegancia.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06フラン\nNo te entiendo. Tu cara me parece normal.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAhora sí, pero los que me vieron comer\nlo recordarán para siempre.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06フラン\nSigo sin ver el problema, pero, bueno...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cゴルドマリー\n¿Cómo que no? Cuando esa gente me vea,\nsolo recordarán la estúpida cara que puse.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06フラン\nNo lo creo, hasta dudo que se fijaran\nen la cara que pusiste.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06フラン\nTe vendría bien relajarte.\n¿Y si vamos a unos baños termales?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06フラン\nEso te tranquilizaría, ¿no crees?\nAsí volverás a ser tan elegante como siempre.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cゴルドマリー\n¡No, no puedo!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06フラン\n¿¡Por qué no!?\x0E\x04\x00\x00
