MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nエーティエ\x022\n\x0E\x03\x02\x0C\nエーティエ\nUf, creo que ya he corrido bastante por hoy...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06クラン\n¡Veo que le ha puesto mucho empeño\na su entrenamiento, Etie!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nエーティエ\nAh, eres tú. ¿Qué haces aquí?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06クラン\nPensé que le haría falta esto tras entrenar.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nエーティエ\n¿Qué hay en ese frasco?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06クラン\nEncurtidos caseros. ¡No hay nada mejor\npara recuperar fuerzas tras entrenar!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06クラン\nPruebe uno.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nエーティエ\n¿Por qué no? Gracias.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nエーティエ\nNo está nada mal. Tiene el punto justo\nde acidez que me gusta.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06クラン\nMe alegra que le guste.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06クラン\nSé lo mucho que cuida su salud, así que\nme esforcé para hacer algo rico y saludable.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nエーティエ\n¿De verdad? ¿Los preparaste a propósito\npara mí?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06クラン\n¡Sí! Y eso no es todo.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06クラン\nHe dormido con ellos bajo la almohada.\nComo una gallina que empolla sus huevos.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nエーティエ\n¿En serio? Qué cosa tan tierna y... rara.\nEres muy buen chico, Clanne.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06クラン\nPuede quedarse con el resto. Si alguna vez\nquiere más, ¡solo tiene que decírmelo!\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nエーティエ\nLo haré. ¡Gracias por alegrarme el día!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nエーティエ\x022\n\x0E\x03\x02\x0C\nエーティエ\nAquí estabas, Clanne.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06クラン\n¿Me buscaba?\n¿Se le han acabado los encurtidos?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nエーティエ\nMe avergüenza decirlo, pero sí.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06クラン\nQué rápido.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06クラン\nPero he visto lo mucho que entrena,\npor lo que supuse que no durarían mucho.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nエーティエ\nEstoy impresionada.\nNo se te escapa ningún detalle, ¿eh?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06クラン\nNo es nada. Es lo menos que puedo\nhacer por nuestros valientes soldados.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nエーティエ\nEsos encurtidos son especiales.\nAntes sentía molestias tras entrenar.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nエーティエ\nPero, desde que los como, ya no he vuelto\na tener ese problema.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nエーティエ\nAdemás, saben riquísimos.\nMe costaba controlarme.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06クラン\n¡¿De veras?! No sabe lo que me alegra oír eso.\nCon mucho gusto le prepararé otro frasco.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nエーティエ\nNo te importa, ¿verdad? ¡Me encantaría!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06クラン\n¿Tiene preferencia por alguna verdura\nen particular?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06クラン\nHay mucho donde elegir. Se puede hacer\nencurtido con prácticamente de todo.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nエーティエ\nPues no se me ocurre nada ahora mismo.\n¿Puedo dejarlo a tu elección?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nエーティエ\nAl fin y al cabo, parece que conoces\nbien mis preferencias.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06クラン\nEs cierto. No se preocupe, ¡elegiré\nunas verduras perfectas para usted!\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nエーティエ\nSé que así será.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nエーティエ\x022\n\x0E\x03\x02\x08\x06クラン\nHola, Etie. Ya está listo el nuevo frasco\nde encurtidos.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06クラン\nEsta vez he usado tres verduras diferentes.\nLo que ocurre...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nエーティエ\n¿Les ha pasado algo?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06クラン\nMe temo que no han salido del todo bien.\nLo siento, no se las puedo dar.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06クラン\nPensé que la mezcla funcionaría, pero no...\nTendré que volver a empezar desde el principio.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nエーティエ\nClanne, no te preocupes.\nEl sabor no será un problema para mí.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06クラン\n¿Eh? ¿Por qué no?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nエーティエ\nSabían estupendamente, pero lo que más\nme gustó fue el cariño que pusiste al hacerlos.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nエーティエ\nNo has encurtido cualquier cosa, sino que\npensaste en mí antes de elegir los ingredientes.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nエーティエ\nEstá claro que has tenido en cuenta mis gustos\nantes de ponerte manos a la obra.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nエーティエ\nTus encurtidos no solo alivian\nmi dolor muscular.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nエーティエ\nEs como si fueran un bálsamo para mi alma.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nエーティエ\nAsí que no te preocupes por el sabor.\nLos comeré con mucho gusto.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06クラン\nEtie... Qué bellas palabras.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nエーティエ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06クラン\n¿Acaban de rugirle las tripas?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nエーティエ\nSe ha oído, ¿verdad?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06クラン\nCuando ha dicho que el sabor no era\nun problema, ¿hablaba con el corazón?...\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06クラン\n¿O más bien con el estómago?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nエーティエ\n¡Lo decía en serio! No hagas que retire\ntodo lo que he dicho.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06クラン\n¿No es la hora de su entrenamiento?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nエーティエ\nSí. ¿Puedo comer algunos encurtidos antes?\x0E\x04\x00\x00
