MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セアダス\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nSeadall, he oído por ahí\nque se te da muy bien leer el futuro.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08セアダス\nAsí es.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08セアダス\nO más bien debería decir... "así era".\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ヴェイル\nAh, es que... ¿has perdido facultades?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08セアダス\nBueno, dejémoslo en que estoy atravesando\nuna mala racha.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ヴェイル\nVaya... No sabía que los videntes\npudieran atravesar "malas rachas".\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08セアダス\nPues sí. Hay días que no te sientes en forma,\ny eso se nota en tus augurios.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ヴェイル\nEntiendo. Lástima, y yo que quería\npedirte que me leyeras el futuro...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08セアダス\n¿Es que te preocupa algo?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ヴェイル\nMás o menos. Últimamente me fatigo mucho,\ny esperaba encontrar algún remedio especial.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08セアダス\nAjá. Pues me temo que ahora mismo\nno voy a resultarte de mucha ayuda.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ヴェイル\n¿Y no habrá forma de hacerte recuperar\ntu don profético?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08セアダス\nNo lo tengo claro. Creo que es cuestión\nde paciencia. Volverá cuando tenga que volver.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ヴェイル\n(...)\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ヴェイル\nBueno, ¿y si lo intentas de todos modos?\nNo me voy a enojar si no aciertas.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08セアダス\n¿Eh? ¿Para qué?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08ヴェイル\nPor darme el capricho. Asumiré que la lectura\nes incorrecta y ya está.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08セアダス\nSi es lo que quieres... Empecemos.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08セアダス\n(...)\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08セアダス\n¡Lo veo! Debes ir al mercado e imitar a un gato.\nAsí la fortuna se aliará contigo.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0A\x08ヴェイル\n¿Que imite a un gato... en el mercado?\nEs un poco raro, ¿no?\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0A\x08セアダス\nDesde luego. Te dije que estoy decaído.\nNi caso; seguro que no acierto en nada.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x0A\x08ヴェイル\nSi tú lo dices...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セアダス\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\n¡Seadall! ¡Acertaste con tu augurio del otro día!\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08セアダス\n¿¡Qué dices!?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ヴェイル\nHice lo que me pediste: fui al mercado\ny fingí ser un gato. O sea, me puse a maullar.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08セアダス\n¿En serio? Pero si te pedí que me ignoraras...\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ヴェイル\nQuise intentarlo, aunque solo fuera por pura\ndiversión. Pero entonces pasó algo increíble...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ヴェイル\nMaullé y maullé, y logré sonar tan parecida\na un gato que los ratones huyeron del mercado.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ヴェイル\nLa gente se puso contentísima...\n¡Hasta me regalaron unas golosinas riquísimas!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ヴェイル\nY con tanta emoción... se me pasó el cansancio\nde golpe. ¡Así que acertaste completamente!\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08セアダス\n¿De verdad? Cuando lo dije parecía una locura...\nPero eso significa que... ¡he superado la racha!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08セアダス\nAunque... creo que me voy a guardar\nla noticia por el momento.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ヴェイル\n¿Y eso?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08セアダス\nEres una persona excelente, lady Veyle.\nDe verdad.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08セアダス\nMe notas falto de confianza y te inventas\nuna historia solo con la intención de animarme.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08セアダス\nY lo has conseguido, desde luego.\nTe lo agradezco.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ヴェイル\nNo digas eso... ¡Te estoy contando la verdad!\n¡Lo prometo!\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ヴェイル\nComo no me creas, ¡me voy a enojar!\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08セアダス\nBueno, bueno, si te vas a poner así...\nte creo. ¿Satisfecha?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08セアダス\nY ahora que he cumplido tu deseo de no dudar\nde ti, permite que vuelva a leerte el futuro.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08ヴェイル\nFaltaba más...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08セアダス\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08セアダス\nSí... Bajo la luna llena, reúne pétalos dorados\ny un noble deseo te será otorgado.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08ヴェイル\nQue reúna pétalos dorados...\n¿cuando haya luna llena?\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08ヴェイル\nQué extraño... No tengo claro lo que significa,\npero por intentarlo no se pierde nada.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nMira cuántos pétalos hay aquí...\nCurioso, es casi como predijo Seadall.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x00\x0E\x08セアダス\x021\n\x0E\x03\x02\x0A\x08セアダス\nBajo la luna llena, recoge pétalos dorados\ny un noble deseo te será otorgado.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08セアダス\nEsas flores... Veo que has recordado mi augurio.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ヴェイル\nPero los pétalos son blancos, no dorados.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08セアダス\n¿Seguro? Ponlos a la luz de la luna.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ヴェイル\n¿Mmm? ¿Así?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ヴェイル\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ヴェイル\n¡Qué maravilla! Brillan como el oro...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08セアダス\nSolo florecen en noches de luna llena.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08セアダス\nAunque parezcan blancos, los pétalos\nse vuelven dorados bajo la luz de la luna.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ヴェイル\n¡Son preciosos!\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08セアダス\nTambién tengo entendido que su fragancia\nposee un efecto relajante.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08セアダス\nEspero que sirva para aliviar tu dolencia\nun poco, lady Veyle.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ヴェイル\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ヴェイル\nGracias, Seadall. Te has tomado\nmuchas molestias por ayudarme...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08セアダス\nNo sé de qué hablas.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08ヴェイル\nVamos, no seas tonto. Hiciste toda esta\ndulce escena solo para mí, ¿verdad?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08セアダス\nTe aseguro que no he tenido nada que ver.\nAdemás, un adivino jamás revela sus secretos.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ヴェイル\nAy, por favor...\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08セアダス\nBien, creo que ya te he devuelto el favor.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08ヴェイル\n¿Qué favor?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08セアダス\nGracias a tu noble gesto del otro día,\ndejé atrás mi mala racha.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ヴェイル\nAh, fantástico. Me alegro mucho por ti.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08ヴェイル\n¿Verdad que la luna está\nmuy hermosa hoy, Seadall?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08セアダス\nPues sí. Dudo que jamás olvide lo bella\nque luce esta noche.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08ヴェイル\nYa, creo que yo tampoco.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08ヴェイル\n"Bajo la luna llena, reúne pétalos dorados\ny un noble deseo te será otorgado."\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08ヴェイル\nDeseo que haya paz y felicidad en este mundo.\nY además...\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08ヴェイル\nDeseo que tú también seas feliz, Seadall.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0A\x08セアダス\nPerdona, ¿decías?\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0A\x08ヴェイル\nNo, nada. Creo que lo que has oído es el rumor\nde las flores que se abren en la noche.\x0E\x04\x00\x00
