MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08セリーヌ\x022\n\x0E\x03\x02\x0A\x08リュール\nHe disfrutado mucho del té.\nGracias por invitarme, Céline.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08セリーヌ\nEl placer ha sido mío, su Divinidad.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08セリーヌ\nNuestra conversación ha sido el complemento\nideal para un té exquisito.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リュール\nEl té estaba delicioso, ¿verdad?\nEse aroma floral era realmente maravilloso.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08セリーヌ\nCuánto me alegra que le haya gustado,\npues son hojas de Firene.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08セリーヌ\nSu aroma delicado y sutil representa\nla esencia de nuestro reino.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08セリーヌ\nEs, con diferencia, mi té favorito.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\nSí, tengo entendido que la gente de Firene\nprefiere la vida idílica al conflicto abierto.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リュール\nEso es lo que transmite este té.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08セリーヌ\nHay un cuento popular firenés que creo\nque podría interesarle.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08セリーヌ\nEn nuestro palacio real vive un espíritu\nque trae felicidad a las personas virtuosas.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08セリーヌ\nSin embargo, les hace la vida imposible\na ladrones e intrusos para expulsarlos.\x0E\x04\x00\x00
