MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cオルテンシア\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\n¡Hola, Dragón Divino! ¿Qué te parece?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リュール\n¿A qué te refieres?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\n¡Vamos! ¿Estoy adorable? ¿Bonita?\n¿Encantadora? ¡Tú dirás!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リュール\nSí, claro que estás adorable. Como siempre.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cオルテンシア\n¿Y ya está? Pues me he desvivido\narreglándome, ¿sabes?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\n¡Podrías fijarte un poco, al menos!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nNo tenía ni idea.\nPerdón por no darme cuenta.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cオルテンシア\n¡¿Eso es todo?! Hum...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cオルテンシア\n(...)\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cオルテンシア\nNo ha funcionado. Increíble. Cuando hago\npucheros, la gente suele ser superamable...\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\n¿Acaso has hecho un entrenamiento divino\npara saber cuándo el llanto es fingido?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リュール\n¿Entrenamiento divino?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nNo creo que haga falta ningún entrenamiento\npara descifrar tus intenciones...\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cオルテンシア\n¡Pero bueno! De acuerdo.\nEntonces, te voy a preguntar otra cosa.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cオルテンシア\n¿Por qué te niegas a adularme?\n¡Si mi hermosura es inimaginable!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リュール\nEl aspecto no influye en mi forma de tratar\na la gente. La bondad importa mucho más.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cオルテンシア\n¡Muy mal! Eso de la bondad está muy bien,\npero ¡la belleza trae ventajas! ¡Todos lo saben!\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08リュール\nEntiendo...\x0E\x04\x00\x00
