MID_WU_C_1_IN_#001	Ah, qué nervios...\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	¡Oh! ¡Está despiert\x0E\x0A\x00\x08\x02o\x02a!\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	¡Estoy entrando en terreno sagrado!\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	Así que este es el altar sagrado, ¿eh?\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	Vaya. Aquí todo parece tan caro...\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	¡Cuánto lujo! Creo que me va a dar algo...\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	¡Buenos días! Uf.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	Me... me marcho de aquí...\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	Dormir es lo mejor...\nMientras duermes no pasas hambre.\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	¿Buenos días?\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	¡Hoy debía despertarl\x0E\x0A\x00\x08\x02o\x02a!\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	Pues vaya... Me marcharé.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	¿No hay almohadas?\nNo parece muy cómodo...\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	Creo que me acostumbraría, pero...\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	Debería fabricar algo blandito.\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	¡Ah! ¡Perdón!\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	Vine a despertarl\x0E\x0A\x00\x08\x02o\x02a, pero me he puesto\na musitar sobre almohadas...\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	¡Buenos días, supongo!\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	¡Oh, no! ¡He llegado pronto!\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	Siento haber venido tan pronto...\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	Puede volver a dormirse, ¿sí?\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	Haré algo mientras espero...\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	Uno estos dos trozos de madera...\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	Le pongo una piedra con el martillo,\nañado un toque de pintura...\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	¡Buenos días!\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	Le he fabricado un reloj despertador, Divinidad.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	Si elige una hora, explotará en...\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	¿Eh? ¿No lo quiere?\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	Ojalá no fuera tan incómodo\ntransportar líquidos.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	¡Buenos días!\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	¿Quiere un poco de leche diluida en agua?\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	Estuvo bien entrenar junt\x0E\x0A\x00\x08\x02o\x02as.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	Además, le gustó la alforja...\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	¿Qué debería hacerle ahora?\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	¡Buenos días!\n¿Quiere un poco de leche diluida en agua?\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	¡Así la leche dura más\ny sigue estando bastante rica!\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	Hora de levantarse.\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	¡Qué rapidez!\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	Muy bien. Así puedo marcharme antes\nde este sitio tan lujoso.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	Quizá si entrecierro los ojos,\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	toda esta sofisticada decoración\nme intimide un poco menos...\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	Espera... ¡No funcionará!\n¡Ahora me da miedo romper algo!\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	Buenos días, Divinidad.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	Esta habitación siempre me incomoda.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	Tengo que acostumbrarme...\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	¡He perdido la noción del tiempo\nrecolectando batatas brodianas!\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	¡Oh! ¡Está despiert\x0E\x0A\x00\x08\x02o\x02a!\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	Prepararé un festín de camotes para\ndisculparme por llegar tarde, ¿está bien?\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	En realidad no es culpa de los camotes.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	¡Han sido esas hierbas comestibles!\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	¡No podía parar de recogerlas!\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	¡Lo siento, Divinidad! Llego un poco tarde.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	¡¿Eh?! ¿E-esta hierba?\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	Es, este... ¡para fabricar cosas!\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	Soy yo, Divinidad.\x0E\x04\x00\x00
MID_WU_S_1_IN_#002	Esta vez no estoy nerviosa.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	¡Buenos días! Me alegra\nque se levante rápido...\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	Aunque despertarl\x0E\x0A\x00\x08\x02o\x02a es divertido.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	Debo seguir intentándolo, por su bien.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	Llevo el Anillo del Pacto.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	Cuando trabajo se ensucia...\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	y me da miedo perderlo en la batalla...\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	Nunca sé cuándo llevarlo, pero...\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	Si no lo llevo aquí, con usted,\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	¿cuándo lo haría?\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	Buenos días. Podríamos, eh...\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	¿Podríamos quedarnos aquí un poco más?\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	Aprecio mucho estos momentos de calma...\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	Son tan escasos.\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	¡Su compañera de más confianza está aquí!\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	¿Ha oído eso?\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	¡Solo era para ver qué tal sonaba!\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	Pero ahora que lo he dicho en voz alta,\nme da un poco de vergüenza...\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	¡He traído unos minerales!\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	¿Qué color le gusta?\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	Creo que a mí me gusta\neste de color durazno.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	Puedo incrustarle una piedra...\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	¡y hacer un nuevo anillo para usted!\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	Quiero que sea mi mejor trabajo y que refleje\ncompletamente cómo me siento.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	¡Está despiert\x0E\x0A\x00\x08\x02o\x02a!\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	¿Ve qué bonitos?\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	Uno no era suficiente. Los necesitaba todos...\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	para mostrarle lo mucho que significa para mí.\x0E\x04\x00\x00
