MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダス\n¿Qué? ¿En serio? ¿¡Aquí!?\n¿Me estaré equivocando?...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08アンバー\n¿Qué pasa, Seadall? ¿Todo bien?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08セアダス\nLas cartas predicen la aparición de un hombre\nde leyenda anunciado por las profecías.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08アンバー\n¡Vaya! ¿Un hombre de leyenda? ¿Dónde?\n¿Cuándo? ¿Qué más dicen las cartas?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08セアダス\nQue se trata de un joven lleno de energía,\ngregario... y bastante bien parecido.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08アンバー\nOye, si parece que me has descrito a mí...\n¡Lástima que no me llame Gregorio!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08セアダス\nAh, y además es idiota.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08アンバー\nPues entonces no puedo ser yo.\nJe, lo siento por el pobre Gregorio...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08セアダス\nMmm... Y lo une un poderoso vínculo\na cierto animal. ¿Podría tratarse... de la alpaca?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08アンバー\n¿¡Alpacas!? ¡Imposible, entonces tengo\nque ser yo! ¡Yo soy el legendario Gregorio!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08セアダス\n¿Dices que eres el tipo cuya llegada\nanuncian mis cartas?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08アンバー\n¡Eso parece! Pero ¿qué significa?\nEs decir, ¿tengo que hacer algo?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08セアダス\nSegún las cartas, en un futuro cercano\nte convertirás en un héroe.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08アンバー\n¡Caray! ¿¡Yo un héroe!? ¡Qué genial!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08アンバー\n¿Y cómo de cercano es ese futuro?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08セアダス\nPues... esa parte aún no queda clara.\nCuando sepa más, te aviso; no te preocupes.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08アンバー\nBien. ¡Seré todo oídos! Y vigilaré con cada ojo\nen direcciones opuestas... ¡como una alpaca!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダス\nAh, pero si es nuestro héroe,\nel amigo de las alpacas.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08アンバー\nMmm... Sé que hablas en serio,\npero dicho así suena... menos genial.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08セアダス\nA ver si esto te parece genial. Según las cartas,\n¡hoy es el día en que te conviertes en un héroe!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08アンバー\n¿De verdad? ¡¿Hoy?! ¡Genial!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08アンバー\nBueno... ¿Y qué tengo que hacer?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08セアダス\nConseguir que llueva.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08アンバー\nEh...\x0E\x04\x00\x00
