MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダス\nCreo que al fin he logrado dominar los pasos.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x02\x0A\x08パンドロ\nSeadall, te mueves con tanta elegancia...\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08セアダス\nNormal, soy un profesional de la danza.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08パンドロ\nSolo con verte, me entran unas ganas\nde salir a la pista a darlo todo...\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08パンドロ\n¿Qué me dices?\n¿Bailamos un poquito?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08セアダス\nClaro, si tú quieres.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x04\x03\x04
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08パンドロ\n¡Vaya final! Este baile debería pasar\na la historia de las artes escénicas.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08セアダス\nEste, Pandreo...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08セアダス\nNunca había visto un baile así. Los pasos\nno se acompasaban con el ritmo en absoluto.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08セアダス\nAhora entiendo por qué lo llaman "danza\nde la oscuridad". Qué cosa tan grotesca...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08パンドロ\nPues yo me la he pasado de maravilla.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08セアダス\n¿De verdad te contentas con eso?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08パンドロ\n¿Qué quieres decir?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08セアダス\nTe gusta bailar, ¿no? Para bailar de verdad,\ntienes que esforzarte mucho más.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08パンドロ\nAsí que hay que esforzarse...\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08セアダス\nExacto. No te preocupes, que yo te enseñaré\na bailar correctamente.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08パンドロ\nBueno, si insistes. Seguro que no me llevará\nmucho tiempo agarrarle el truco.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダス\nUno, dos, tres, cuatro, cinco, seis, siete, ocho.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08セアダス\nDos, dos, tres, cuatro, cinco, seis, siete, ocho.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08パンドロ\n¡Ugh!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08パンドロ\n¡Espera, Seadall! Estás contando mal\ny me confundes.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08セアダス\nNo, tú eres el que no sigue bien el compás.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08パンドロ\nNo es fácil, sobre todo cuando toda mi vida\nhe bailado a mi ritmo.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08セアダス\nHabrá que quitarte esas viejas costumbres\ne insistir para construirte una base sólida.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08パンドロ\n¿Entonces no podré bailar a mi aire?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08セアダス\nLo siento, pero no. Es por tu propio bien.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08パンドロ\nHum...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08セアダス\nCuando yo empecé, no podía dar ni un paso.\nMi maestro trabajó conmigo sin parar.\x0E\x04\x00\x00
