MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\n¡Buf! ¡Esto sí que es sudar! Aunque ese olor\nindica que es hora de parar el entrenamiento.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nザフィーア\nMe voy a dar un baño antes de merendar algo.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x00\x0E\x08パネトネ\x021\n\x0E\x03\x02\x0A\x08パネトネ\nSaphir, perdona, tenemos que hacer algo\ncon esa forma de expresarte tan vulgar.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nザフィーア\nAh, hola, Panette. ¿A qué viene eso ahora?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08パネトネ\nAunque procedamos de países diferentes,\nambas trabajamos sirviendo a la realeza.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08パネトネ\nNuestro puesto requiere que nos comportemos\ny hablemos siempre de un modo impecable.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nザフィーア\n"Impecable", dice...\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nザフィーア\nPues yo llevo toda mi vida hablando así\ny no recuerdo haber tenido ningún problema.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08パネトネ\n¿No lo entiendes? El comportamiento\nde un cortesano denota la educación de su país.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08パネトネ\n¡La más pequeña indiscreción puede traer\nel oprobio sobre toda la nación!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nザフィーア\nCaray...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nザフィーア\nDices que, si me comporto a mi estilo,\navergonzaré a todo el reino.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08パネトネ\nExacto. Me congratulo de ver que tomas\nconciencia de la gravedad de la situación.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08パネトネ\n¡Pero no temas, mi querida Saphir!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08パネトネ\n¡Yo te daré una clase magistral sobre decoro!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nザフィーア\nEmm... bueno. ¿Debería... alegrarme?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08パネトネ\n¡Claro! Voy a organizarla. ¡Prepárate para\naprender como si tu vida dependiese de ello!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パネトネ\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nザフィーア\n¿Cuándo acabamos con esta tontería\nde arrodillarse?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08パネトネ\n¡Oh, oh! Cuidado con tu lenguaje. Vuelve a\ndecirlo.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nザフィーア\n¿Cuánto tiempo más... estimas que... esta\nservidora debe continuar... con esta tontería?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08パネトネ\nSolo una hora más.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08パネトネ\nToda cortesana que se precie ha de ser capaz\nde mantenerse postrada al menos ese tiempo.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nザフィーア\n¡¿Una hora?! ¿En serio?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nザフィーア\nBueno... Ya solo me duele la espalda.\nHace rato que no me siento las piernas.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nザフィーア\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nザフィーア\n¡Ay! ¡Olvídalo! ¡Se acabó!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nザフィーア\n¡Esto es peor que luchar en una batalla!\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nザフィーア\nPerdón, pero yo me rindo.\nEsta cosa del decoro no me va.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nザフィーア\nServiré a mi reino con mi fuerza.\nNo hay modales que valgan.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08パネトネ\nSi pone a prueba tu resistencia,\nha de ser un buen entrenamiento, ¿no?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08パネトネ\nY yo que te tenía por una luchadora...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nザフィーア\nBueno, no empieces...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08パネトネ\nLa Saphir que yo conozco jamás tiraría\nla toalla en medio de un entrenamiento.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08パネトネ\nDebo de haberte confundido con otra bella\nguerrera de cabello cenizo. Lo siento.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nザフィーア\n¡De acuerdo!\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nザフィーア\n¡Me has convencido! ¡Seguiré!\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nザフィーア\nNo pienso permitir que este entrenamiento\npueda conmigo.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08パネトネ\n¡Así se habla! No esperaba menos de ti.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nザフィーア\nQue no se diga que no me esforcé al máximo.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0C\nザフィーア\n¡Aprenderé a ser tan estirada\nque me confundirás con una lanza!\x0E\x04\x00\x00
