MID_WU_C_1_IN_#001	¿Puedo pasar?
MID_WU_C_1_IN_#002	¿O me meteré en un lío?
MID_WU_C_1_SOON_#001	Perdone que \x0E\x0A\x00\x0C\x04lo\x04la despierte,
MID_WU_C_1_SOON_#002	pero... en realidad he venido aquí para eso.
MID_WU_C_1_SOON_#003	Buenos días, Divinidad.
MID_WU_C_1_WAKEUP_#001	Me da miedo molestar al Dragón Divino, pero...
MID_WU_C_1_WAKEUP_#002	no pienso fracasar en mi cometido.\n¿Qué debo hacer?
MID_WU_C_1_WAKEUP_#003	Quizá si \x0E\x0A\x004\x18lo despierto\x18la despierto
MID_WU_C_1_WAKEUP_#004	con susurros...
MID_WU_C_1_HELLO_#001	Buenos días, Divinidad.
MID_WU_C_1_HELLO_#002	Discúlpeme. Espero no haber\x0E\x0A\x00\x0C\x04lo\x04la asustado.
MID_WU_C_1_HELLO_#003	La próxima vez, procuraré hacer menos ruido.
MID_WU_C_2_IN_#001	Los aposentos del Dragón Divino...
MID_WU_C_2_IN_#002	Aquí no puede haber trampas, ¿verdad?
MID_WU_C_2_IN_#003	No, es imposible.
MID_WU_C_2_SOON_#001	Ah, me ha oído entrar.
MID_WU_C_2_SOON_#002	¿\x0E\x0A\x00\x0C\x04Lo\x04La he asustado?
MID_WU_C_2_SOON_#003	(...)
MID_WU_C_2_SOON_#004	Sé lo que se siente.
MID_WU_C_2_WAKEUP_#001	Hola...
MID_WU_C_2_WAKEUP_#002	Perdón si he hablado demasiado alto.
MID_WU_C_2_WAKEUP_#003	¿Cómo se hace esto? Es que no quiero\nalarmar\x0E\x0A\x00\x0C\x04lo\x04la innecesariamente.
MID_WU_C_2_WAKEUP_#004	Quizá bajando la voz... No hay nada\npeor que despertarse de un susto.
MID_WU_C_2_WAKEUP_#005	Ya es hora de levantarse, Divinidad...
MID_WU_C_2_HELLO_#001	¿Qué tal ha dormido?
MID_WU_C_2_HELLO_#002	¿No le importa
MID_WU_C_2_HELLO_#003	que \x0E\x0A\x00\x0C\x04lo\x04la despierte yo?
MID_WU_C_2_HELLO_#004	Por su expresión, diría que no.
MID_WU_B_1_IN_#001	Siempre está tan \x0E\x0A\x00 \x0Eocupado\x0Eocupada...
MID_WU_B_1_IN_#002	No me extraña que le cueste levantarse\nde la cama.
MID_WU_B_1_SOON_#001	Ah, ¿no quisiera dormir un poco más?
MID_WU_B_1_SOON_#002	Ya me había hecho a la idea de esperar\na su lado un rato.
MID_WU_B_1_SOON_#003	Así que no tenga ninguna prisa.
MID_WU_B_1_WAKEUP_#001	No debería cargarse\ncon tantas responsabilidades.
MID_WU_B_1_WAKEUP_#002	Siempre anda \x0E\x0A\x00\x1C\x0Cmetido\x0Cmetida en algún lío...
MID_WU_B_1_WAKEUP_#003	Tiene que aprender a cuidarse más.
MID_WU_B_1_HELLO_#001	Muy buenas.
MID_WU_B_1_HELLO_#002	Me alegra ver que ya se ha despertado.
MID_WU_B_1_HELLO_#003	Aunque sí ha holgazaneado un poco.
MID_WU_B_1_HELLO_#004	Pero no se preocupe...
MID_WU_B_1_HELLO_#005	No se lo contaré a nadie.
MID_WU_B_2_IN_#001	¡Ay!
MID_WU_B_2_IN_#002	Me he golpeado un dedo del pie.
MID_WU_B_2_IN_#003	Arg, cómo duele...
MID_WU_B_2_SOON_#001	¿\x0E\x0A\x00\x0C\x04Lo\x04La he despertado?
MID_WU_B_2_SOON_#002	Es que me he hecho daño en un pie.
MID_WU_B_2_SOON_#003	Le aconsejo que tenga cuidado\ncon los escalones,
MID_WU_B_2_SOON_#004	porque no se imagina el daño que hace...
MID_WU_B_2_SOON_#005	Bueno, hasta luego.
MID_WU_B_2_WAKEUP_#001	Qué escalones más duros...
MID_WU_B_2_WAKEUP_#002	\x0E\x0A\x00\x0C\x04Lo\x04La envidio, tan a gustito en su\ncómoda cama.
MID_WU_B_2_WAKEUP_#003	Aunque, si la adornase con algún peluche,
MID_WU_B_2_WAKEUP_#004	seguro que le resultaría aún más acogedora.
MID_WU_B_2_HELLO_#001	Divinidad,
MID_WU_B_2_HELLO_#002	si quiere que sus sueños\nsean más plácidos,
MID_WU_B_2_HELLO_#003	le aconsejo que consiga\nunos cuantos peluches.
MID_WU_B_2_HELLO_#004	A mí abrazarlos me relaja muchísimo.
MID_WU_A_1_IN_#001	Odio tener que molestar\x0E\x0A\x00\x0C\x04lo\x04la,
MID_WU_A_1_IN_#002	pero me pidió que \x0E\x0A\x00\x0C\x04lo\x04la despertara, así que...
MID_WU_A_1_SOON_#001	¿Quiere dormir un rato más?
