MID_OP1_#001	BGM_Evt_P05_OP
MID_OP1_#002	
MID_OP1_#003	
MID_OP1_#004	
MID_OP2_#001	
MID_OP2_#002	
MID_OP2_#003	
MID_OP2_#004	
MID_OP3_#001	*\nBGM_Evt_P05_OP_Stop_Fast
MID_EV1_#001	
MID_EV1_#002	
MID_EV2_#001	
MID_EV2_#002	
MID_EV2_#003	
MID_EV2_#004	
MID_EV3_#001	
MID_EV4_#001	
MID_EV4_#002	PauseFieldBgm(3000)
MID_EV5_#001	BGM_Evt_Determination_Ircion
MID_EV5_#002	
MID_EV5_#003	
MID_EV6_#001	
MID_EV6_#002	
MID_EV6_#003	
MID_EV6_#004	
MID_EV6_#005	
MID_EV6_#006	
MID_EV6_#007	
MID_EV7_#001	
MID_EV7_#002	
MID_EV7_#003	
MID_EV7_#004	
MID_EV7_#005	
MID_EV7_#006	
MID_EV7_#007	
MID_EV7_#008	
MID_EV7_#009	
MID_EV7_#010	
MID_EV7_#011	
MID_EV7_#012	
MID_EV7_#013	BGM_Evt_Determination_Ircion_Stop_Normal\nEnvVolume_Down\nSE_Evt_Advent_WhiteOut_NoDelay,0
MID_EV8_#001	BGM_Evt_Determination_Ircion_Stop\nBGM_Evt_Brave\nEnvVolume_Reset
MID_EV9_#001	BGM_Evt_Brave_Pause\nEnvVolume_Down\nSE_Evt_Advent_WhiteOut_NoDelay,0
MID_EV10_#001	BGM_Evt_Brave_Resume\nEnvVolume_Reset
MID_EV10_#002	
MID_EV10_#003	
MID_EV10_#004	
MID_EV10_#005	
MID_EV10_#006	
MID_EV10_#007	
MID_EV11_#001	
MID_EV11_#002	
MID_EV11_#003	
MID_EV11_#004	
MID_EV11_#005	*\nBGM_Evt_Brave_Stop_Normal\nResumeFieldBgm(3000)
MID_EV12_#001	
MID_EV12_#002	
MID_EV13_#001	
MID_EV13_#002	
MID_EV14_#001	
MID_EV15_#001	
MID_BT1_#001	
MID_BT2_#001	
MID_BT3_#001	
MID_BT4_#001	
MID_BT5_#001	
MID_BT6_#001	
MID_BT7_#001	
MID_BT8_#001	
MID_BT9_#001	
MID_BT10_#001	
MID_BT11_#001	
MID_BT12_#001	
MID_BT13_#001	
MID_BT14_#001	
MID_BT15_#001	
MID_ED1_#001	
MID_ED1_#002	
MID_ED1_#003	
MID_ED1_#004	
MID_ED1_#005	
MID_ED1_#006	
MID_ED1_#007	
MID_ED1_#008	*\nEnv_Evt_Rain_End\n
MID_ED2_#001	BGM_Evt_Disturb1_Short\nEnv_Evt_Rain_Start
MID_ED2_#002	
MID_ED2_#003	
MID_ED2_#004	
MID_ED2_#005	*\nBGM_Evt_Disturb1_Short_Stop_Normal\nEnv_Evt_Rain_End
MID_ED3_#001	Env_Evt_Rain_Start
MID_ED3_#002	BGM_Evt_Restart\nBGM_Evt_Restart_A
MID_ED3_#003	
MID_ED3_#004	
MID_ED3_#005	
MID_ED3_#006	
MID_ED3_#007	
MID_ED3_#008	
MID_ED3_#009	
MID_ED3_#010	
MID_ED3_#011	
MID_ED3_#012	
MID_ED3_#013	
MID_ED3_#014	
MID_ED3_#015	
MID_ED3_#016	
MID_ED3_#017	
MID_ED3_#018	
MID_ED3_#019	
MID_ED3_#020	
MID_ED3_#021	
MID_ED3_#022	
MID_ED3_#023	
MID_ED3_#024	
MID_ED3_#025	
MID_ED3_#026	
MID_ED3_#027	BGM_Evt_Restart_B
MID_ED3_#028	
MID_ED3_#029	
MID_ED3_#030	
MID_ED3_#031	
MID_ED3_#032	
MID_ED3_#033	
MID_ED3_#034	
MID_ED3_#035	
MID_ED3_#036	
MID_ED3_#037	
MID_ED3_#038	
MID_ED3_#039	
MID_ED3_#040	
MID_ED3_#041	
MID_ED3_#042	BGM_Evt_Restart_B_2
MID_ED3_#043	
MID_ED3_#044	
MID_ED3_#045	
MID_ED3_#046	BGM_Evt_Restart_C
MID_ED3_#047	
MID_ED3_#048	
MID_ED3_#049	
MID_ED3_#050	
MID_ED3_#051	
MID_ED3_#052	
MID_ED3_#053	
MID_ED3_#054	
MID_ED3_#055	
MID_ED3_#056	
MID_ED3_#057	BGM_Evt_Restart_C_End
MID_ED3_#058	*\nEnv_Evt_Rain_End\nBGM_Evt_Restart_Stop_Normal
