MID_MOVIE1_#001	Env_Evt_Fire_Start\nBGM_Mov_Red\n*
MID_MOVIE1_#002	ENV_Evt_Fire_End
MID_OP1_#001	BGM_Mov_Red_Stop_0\nENV_Evt_Fire_End\nENV_Evt_Indoor_Air2_Start\nSE_Evt_M003_WakeUp
MID_OP1_#002	
MID_OP1_#003	
MID_OP1_#004	
MID_OP1_#005	
MID_OP1_#006	
MID_OP1_#007	
MID_OP1_#008	
MID_OP1_#009	
MID_OP1_#010	
MID_OP1_#011	
MID_OP1_#012	
MID_OP1_#013	
MID_OP1_#014	
MID_OP1_#015	
MID_OP1_#016	
MID_OP1_#017	ENV_Evt_Indoor_Air2_End
MID_OP1_#018	SE_Evt_Explosion1\nBGM_Evt_Danger2
MID_OP1_#019	
MID_OP1_#020	
MID_OP1_#021	
MID_OP1_#022	
MID_OP2_#001	ENV_Evt_Indoor_Air1_Start
MID_OP2_#002	
MID_OP2_#003	
MID_OP2_#004	
MID_OP2_#005	
MID_OP2_#006	
MID_OP2_#006_2	
MID_OP2_#007	*\nBGM_Evt_Danger2_Stop_Normal\nENV_Evt_Indoor_Air1_End
MID_EV1_#001	
MID_EV1_#002	
MID_EV1_#003	
MID_EV1_#004	
MID_EV1_#005	*\nPauseFieldBgm(Slow)\n
MID_MOVIE2_#001	BGM_Mov_Appear_Alfred_LoopTest
MID_MOVIE2_#002	
MID_MOVIE2_#002_2	
MID_EV2_#001	
MID_EV2_#002	
MID_EV2_#003	
MID_EV2_#004	
MID_EV2_#005	
MID_EV2_#006	
MID_EV2_#007	
MID_EV2_#008	
MID_EV2_#009	
MID_EV2_#010	
MID_EV2_#011	
MID_EV2_#012	BGM_Mov_Appear_Alfred_Loop_Stop_Fast\n*\nResumeFieldBgm(VerySlow)
MID_EV3_#001	
MID_EV3_#002	
MID_EV3_#003	
MID_EV4_#001	
MID_EV5_#001	
MID_EV5_#002	
MID_BT1_#001	
MID_BT2_#001	
MID_BT2_#002	
MID_BT3_#001	
MID_ED1_#001	
MID_ED2_#001	
MID_ED2_#002	
MID_ED2_#003	
MID_ED2_#004	
MID_ED2_#005	
MID_ED2_#006	
MID_ED2_#007	
MID_MOVIE3_#001	
MID_MOVIE3_#002	
MID_MOVIE3_#003	
MID_MOVIE3_#004	
MID_MOVIE3_#005	
MID_MOVIE3_#006	
MID_ED3_#004	BGM_Evt_Lumiere_Die
MID_ED3_#005	
MID_ED3_#006	
MID_ED3_#007	
MID_ED3_#008	
MID_ED3_#009	
MID_ED3_#010	
MID_ED3_#011	
MID_ED3_#012	
MID_ED3_#013	
MID_ED3_#014	
MID_ED3_#015	
MID_ED3_#016	
MID_ED3_#017	
MID_ED3_#018	
MID_ED3_#019	
MID_ED3_#020	
MID_ED3_#021	
MID_ED3_#022	
MID_ED3_#023	
MID_ED3_#024	
MID_ED3_#028	
MID_ED3_#029	
MID_ED3_#030	
MID_ED3_#031	
MID_ED3_#032	
MID_ED3_#033	
MID_ED3_#034	
MID_ED3_#035	
MID_ED3_#036	
MID_ED3_#037	
MID_ED3_#038	
MID_ED3_#039	
MID_ED3_#040	
MID_ED3_#041	
MID_ED3_#042	
MID_ED3_#043	
MID_ED3_#044	
MID_ED3_#045	
MID_ED3_#045_2	
MID_ED3_#046	
MID_ED3_#047	
MID_ED3_#048	
MID_ED3_#049	
MID_ED3_#050	
MID_ED3_#051	
MID_ED3_#052	
MID_ED3_#053	
MID_ED3_#054	
MID_ED3_#055	
MID_ED3_#056	
MID_ED4_#001	ENV_Evt_Indoor_Air1_Start
MID_ED4_#002	
MID_ED4_#003	
MID_ED4_#004	
MID_ED4_#005	
MID_ED4_#006	
MID_ED4_#007	
MID_ED4_#008	
MID_ED4_#009	
MID_ED4_#010	
MID_ED4_#011	
MID_ED4_#012	
MID_ED4_#013	
MID_ED4_#014	
MID_ED4_#015	
MID_ED4_#016	
MID_ED4_#017	
MID_ED4_#018	
MID_ED4_#019	
MID_ED4_#020	
MID_ED4_#021	
MID_ED4_#022	
MID_ED4_#023	
MID_ED4_#024	
MID_ED4_#025	
MID_ED4_#026	
MID_ED4_#027	
MID_ED4_#028	
MID_ED4_#029	
MID_ED4_#030	
MID_ED4_#031	
MID_ED4_#032	
MID_ED4_#033	
MID_ED4_#034	
MID_ED4_#035	
MID_ED4_#036	
MID_ED4_#037	
MID_ED4_#038	
MID_ED4_#039	
MID_ED4_#040	
MID_ED4_#041	
MID_ED4_#042	
MID_ED4_#043	
MID_ED4_#044	
MID_ED4_#045	
MID_ED4_#046	
MID_ED4_#047	
MID_ED4_#048	
MID_ED4_#049	
MID_ED4_#050	
MID_ED4_#051	
MID_ED4_#052	
MID_ED4_#053	ENV_Evt_Indoor_Air1_End
MID_ED5_#001	ENV_Evt_Indoor_Air1_Start
MID_ED5_#002	
MID_ED5_#003	
MID_ED5_#004	
MID_ED5_#005	
MID_ED5_#006	
MID_ED5_#007	
MID_ED5_#008	
MID_ED5_#009	
MID_ED5_#010	
MID_ED5_#011	
MID_ED5_#012	
MID_ED5_#013	
MID_ED5_#014	
MID_ED5_#015	
MID_ED5_#016	
MID_ED5_#017	
MID_ED5_#018	
MID_ED5_#019	*\nENV_Evt_Indoor_Air1_End
MID_ED6_#001	
MID_ED6_#002	
MID_ED6_#003	
MID_ED6_#004	
MID_ED6_#005	
MID_ED6_#006	
MID_ED6_#007	
MID_ED6_#008	
MID_ED6_#009	
MID_ED6_#010	
MID_ED6_#011	
MID_ED6_#012	
MID_ED6_#013	
MID_ED6_#014	
MID_ED6_#015	
MID_ED6_#016	*\nEnv_Evt_Lithos_Garden_End
