MID_KR_Vandre_M001_#001	PersonVoice(V_Wideuse_18)
MID_KR_Vandre_M001_#002	
MID_KR_Lumiere_M001_#001	PersonVoice(V_Wideuse_13)
MID_KR_Lumiere_M001_#002	
MID_KR_Clan_M001_#001	PersonVoice(V_Wideuse_23)
MID_KR_Clan_M001_#002	
MID_KR_Fram_M001_#001	PersonVoice(V_Wideuse_23)
MID_KR_Fram_M001_#002	
MID_KR_Vandre_M002	PersonVoice(V_Wideuse_23)
MID_KR_Clan_M002	PersonVoice(V_Wideuse_20)
MID_KR_Fram_M002	PersonVoice(V_Wideuse_17)
MID_KR_Lumiere_M002_#001	PersonVoice(V_Wideuse_30)
MID_KR_Vandre_M003	PersonVoice(V_Wideuse_Ex01)
MID_KR_Clan_M003	PersonVoice(V_Wideuse_27)
MID_KR_Fram_M003	PersonVoice(V_Wideuse_14)
MID_KR_Alfred_M003	PersonVoice(V_Wideuse_02)
MID_KR_Etie_M003	PersonVoice(V_Wideuse_05)
MID_KR_Boucheron_M003	PersonVoice(V_Wideuse_Ex03)
MID_KR_Alfred_M004	PersonVoice(V_Wideuse_05)
MID_KR_Celine_M004	PersonVoice(V_Wideuse_27)
MID_KR_Louis_M004	PersonVoice(V_Wideuse_22)
MID_KR_Chloe_M004	PersonVoice(V_Wideuse_13)
MID_KR_NPC1_M004	PersonVoiceBySwitchName(VILLEGER1,V_Wideuse_10)
MID_KR_NPC2_M004	PersonVoiceBySwitchName(VILLEGER5,V_Wideuse_12)
MID_KR_Eve_M005	PersonVoice(V_Wideuse_09)
MID_KR_Celine_M005	PersonVoice(V_Wideuse_17)
MID_KR_Alfred_M005	PersonVoice(V_Wideuse_13)
MID_KR_SOL1_M005	PersonVoiceBySwitchName(SOLDIER_M,V_Wideuse_04)
MID_KR_SOL2_M005	PersonVoiceBySwitchName(SOLDIER_F,V_Wideuse_12)
MID_KR_Yunaka_M006	PersonVoice(V_Wideuse_13)
MID_KR_Alfred_M006	PersonVoice(V_Wideuse_21)
MID_KR_Staluke_M007	PersonVoice(V_Wideuse_21)
MID_KR_Lapis_M007	PersonVoice(V_Wideuse_02)
MID_KR_Citrinica_M007	PersonVoice(V_Wideuse_05)
MID_KR_Staluke_M008	PersonVoice(V_Wideuse_02)
MID_KR_Diamand_M008	PersonVoice(V_Wideuse_02)
MID_KR_Morion_M008	PersonVoice(V_Wideuse_06)
MID_KR_Umber_M008	PersonVoice(V_Wideuse_26)
MID_KR_NPC1_M008	PersonVoiceBySwitchName(SOLDIER_M,V_Wideuse_12)
MID_KR_NPC2_M008	PersonVoiceBySwitchName(SOLDIER_F,V_Wideuse_02)
MID_KR_Diamand_M009	PersonVoice(V_Wideuse_Ex04)
MID_KR_Staluke_M009	PersonVoice(V_Wideuse_Ex03)
MID_KR_Vandre_M009	PersonVoice(V_Wideuse_10)
MID_KR_Jade_M009	PersonVoice(V_Wideuse_02)
MID_KR_Fogato_M012	PersonVoice(V_Wideuse_13)
MID_KR_Pandoro_M012	PersonVoice(V_Wideuse_Ex01)
MID_KR_Bonet_M012	PersonVoice(V_Wideuse_13)
MID_KR_NPC1_M012	PersonVoiceBySwitchName(VILLEGER3,V_Wideuse_12)
MID_KR_NPC2_M012	PersonVoiceBySwitchName(VILLEGER5,V_Wideuse_12)
MID_KR_NPC3_M012	PersonVoiceBySwitchName(VILLEGER1,V_Wideuse_11)
MID_KR_Misutira_M013	PersonVoice(V_Wideuse_Ex03)
MID_KR_Merin_M013	PersonVoice(V_Wideuse_22)
MID_KR_Panetone_M013	PersonVoice(V_Wideuse_06)
MID_KR_Fogato_M013	PersonVoice(V_Wideuse_21)
MID_KR_Ivy_M013	PersonVoice(V_Wideuse_27)
MID_KR_NPC1_M013	PersonVoiceBySwitchName(VILLEGER1,V_Wideuse_12)
MID_KR_NPC2_M013	PersonVoiceBySwitchName(VILLEGER6,V_Wideuse_12)
MID_KR_NPC3_M013	PersonVoiceBySwitchName(VILLEGER4,V_Wideuse_11)
MID_KR_Misutira_M014	PersonVoice(V_Wideuse_13)
MID_KR_Fogato_M014	PersonVoice(V_Wideuse_17)
MID_KR_Hortensia_M014	PersonVoice(V_Wideuse_14)
MID_KR_Ivy_M014	PersonVoice(V_Wideuse_13)
MID_KR_SOL1_M014	PersonVoiceBySwitchName(SOLDIER_M,V_Wideuse_10)
MID_KR_SOL2_M014	PersonVoiceBySwitchName(SOLDIER_F,V_Wideuse_03)
MID_KR_Alfred_M015	PersonVoice(V_Wideuse_21)
MID_KR_Diamand_M015	PersonVoice(V_Wideuse_Ex04)
MID_KR_Misutira_M015	PersonVoice(V_Wideuse_05)
MID_KR_Ivy_M015	PersonVoice(V_Wideuse_Ex04)
MID_KR_Staluke_M015	PersonVoice(V_Wideuse_21)
MID_KR_Hortensia_M015	PersonVoice(V_Wideuse_05)
MID_KR_Seadas_M015	PersonVoice(V_Wideuse_13)
MID_KR_Rosado_Low_M016	PersonVoice(V_Wideuse_02)
MID_KR_Goldmary_Low_M016	PersonVoice(V_Wideuse_26)
MID_KR_Hortensia_Low_M016	PersonVoice(V_Wideuse_21)
MID_KR_Alfred_M016	PersonVoice(V_Wideuse_02)
MID_KR_NPC1_M016	PersonVoiceBySwitchName(VILLEGER4,V_Wideuse_08)
