MID_OP1_#001	A_BGM_Evt_Tension_1\nBGM_Evt_Tension
MID_OP1_#002	
MID_OP1_#003	
MID_OP1_#004	
MID_OP1_#005	
MID_OP1_#006	
MID_OP1_#007	
MID_OP1_#008	
MID_OP1_#009	
MID_OP1_#010	
MID_OP1_#011	
MID_OP1_#012	
MID_OP2_#001	
MID_OP2_#002	
MID_OP2_#003	
MID_OP2_#004	
MID_OP3_#001	
MID_OP4_#001	
MID_OP4_#002	
MID_OP5_#001	
MID_OP6_#001	
MID_OP6_#002	
MID_OP6_#003	
MID_OP6_#004	*\nBGM_Evt_Tension_Stop_Fast
MID_EV1_#001	
MID_EV1_#002	
MID_EV1_#003	
MID_EV2_#001	
MID_EV3_#001	
MID_EV4_#001	
MID_EV5_#001	
MID_EV5_#002	
MID_EV5_#003	
MID_EV5_#004	
MID_EV5_#005	
MID_EV5_INIT_#001	
MID_EV6_#001	
MID_EV6_#002	
MID_EV6_#003	
MID_BT1_#001	
MID_BT1_#002	
MID_BT3_#001	
MID_BT4_#001	
MID_BT4_#002	
MID_BT4_#003	
MID_BT4_#004	
MID_BT5_#001	
MID_DIE_LOCAL_Anna_#001	
MID_DIE_CASUAL_LOCAL_Anna_#001	
MID_ED1_#001	Env_Evt_Wind3_Start
MID_ED1_#002	*\nEnv_Evt_Wind3_End
MID_ED2_#001	
MID_ED2_#002	
MID_ED2_#003	
MID_ED2_#004	
MID_ED2_#005	
MID_ED2_#006	
MID_ED2_#007	
MID_ED2_#008	
MID_ED2_#009	
MID_ED2_#010	
MID_ED2_#011	*\nBGM_Evt_Brave_Stop_Normal
MID_ED3_#001	Env_Evt_Wind3_Start
MID_ED3_#002	
MID_ED3_#003	*\nEnv_Evt_Wind3_End
