MID_TUT_BMAP_SilverCard_TITLE	銀卡
MID_TUT_BMAP_SilverCard_0	持有此卡，\n便可在武器店或道具店\n享有7折的購物優惠。
MID_TUT_GMAP_GOD_TITLE	世界地圖（神龍之章）
MID_TUT_GMAP_GOD_0	可透過世界地圖選單\n前往主線故事的世界地圖，\n或回到據點索拉涅爾。
MID_TUT_GMAP_GOD_1	已過關的地圖也有可能會出現遭遇戰。
MID_TUT_GMAP_RECOLLECTION_BATTLE_TITLE	回想戰
MID_TUT_GMAP_RECOLLECTION_BATTLE_0	即使已過關擴充票新增的戰鬥地圖，\n依然可透過「回想戰」重溫故事劇情。
MID_TUT_GMAP_RECOLLECTION_BATTLE_1	透過替換不同成員，\n可不斷享受攻略地圖的樂趣。
MID_TUT_GMAP_RECOLLECTION_BATTLE_2	但無法獲得經驗值與道具。\n此外，出擊時「消費的道具」及「倒下的夥伴」\n都會在遊玩結束後恢復原狀。
MID_TUT_HUB_GOD_START_TITLE	神龍之章
MID_TUT_HUB_GOD_START_0	可透過世界地圖\n前往紋章士手鐲所沉睡的島嶼。
MID_TUT_HUB_GOD_START_1	隨時都能返回主線故事，\n想到時就過去看看吧！
MID_TUT_HUB_GOD_START_NOTICE	好像有人在「眺望之丘」發現了什麼。
MID_TUT_GOD_TIKI_TITLE	紋章士琪姬
MID_TUT_GOD_TIKI_0	「紋章士琪姬」能賜予各種加護，\n讓我方單位藉由龍之力使出強大的攻擊。
MID_TUT_GOD_TIKI_1	同步技「星玉加護」在等級提升時，\n可讓基本能力值較容易上升。
MID_TUT_GOD_TIKI_2	結合武器「吐息」\n可對攻擊目標及其周圍的敵人造成傷害，\n還能依戰鬥類型變換性能。
MID_TUT_GOD_TIKI_3	結合特技「龍化」\n可化成龍，大幅增強能力值。
MID_TUT_GOD_TIKI_4	結合技「神龍的祝福」\n可賦予指定的我方單位「復活之石」，\n讓該單位在HP歸零時也能完全回復HP。
MID_TUT_GOD_EDELGARD_TITLE	紋章士艾黛爾賈特
MID_TUT_GOD_EDELGARD_0	「紋章士艾黛爾賈特」與帝彌托利及庫羅德\n會隨機交替上場，使出各種不同的能力。
MID_TUT_GOD_EDELGARD_1	同步技「計策」\n會依現在同步的對象\n變換能使用的指令。
MID_TUT_GOD_EDELGARD_2	結合武器「艾姆魯」\n可對敵人猛擊，\n並能對龍族造成大量傷害。
MID_TUT_GOD_EDELGARD_3	結合特技「戰技」\n可消費結合狀態的持續回合數，\n從三種招式中擇一使用。
MID_TUT_GOD_EDELGARD_4	結合技「連花月風閃」可用斧、槍、弓的\n連續攻擊，讓敵人較易陷入打破狀態，\n並能對飛行的敵人造成大量傷害。
MID_TUT_TIPS_Tiki	紋章士琪姬
MID_TUT_TIPS_Edelgard	紋章士艾黛爾賈特
MID_TUT_TIPS_Dimitri	紋章士帝彌托利
MID_TUT_TIPS_Claude	紋章士庫羅德
MID_TIPS_SKILL_30	「三鼎紋章士」會在我軍行動階段開始時，從三位紋章士中隨機派一位上場。
MID_TIPS_SKILL_31	自身發動攻擊時，若與同步的紋章士裝備同種武器，或是處於結合狀態將可提升傷害。
MID_TIPS_SKILL_32	紋章士艾黛爾賈特的斧。不可追擊/克制龍/由自身主動攻擊時必為後攻，但會發動猛擊。
MID_TIPS_SKILL_33	消費結合狀態的持續回合數，即可使用其中一位「三鼎紋章士」的戰技。
MID_TIPS_SKILL_39	即使結合持續回合數因特技「戰技」歸零，該回合也不會解除結合狀態。
MID_TIPS_GOD_24	自遠古時期就住在異界阿卡奈亞陸地的神龍族公主。
MID_TIPS_GOD_25	能幻化成人形的「龍族」少女，將馬爾斯當成「哥哥」景仰。
MID_TIPS_GOD_26	異界之地芙朵拉中阿德剌斯忒亞帝國的皇女，是位善於用斧的高貴女性。
MID_TIPS_GOD_27	異界之地芙朵拉中法嘉斯神聖王國的王子，是位善於用槍的聰明青年。
MID_TIPS_GOD_28	異界之地芙朵拉中雷斯塔諸侯同盟的盟主嫡子，是位善於用弓的灑脫青年。
