MID_FORTUNE_TROUBLE_Lueur	只有藍色的頭髮\n容易在睡醒時亂翹。
MID_FORTUNE_TROUBLE_Vandre	編得最好的蕾絲織品\n卻掉到水坑裡了。
MID_FORTUNE_TROUBLE_Clan	被敵人說身上有醃菜的味道。
MID_FORTUNE_TROUBLE_Fram	想和神龍大人說說話，\n卻老是碰不上對的時機。
MID_FORTUNE_TROUBLE_Alfred	總會被人問說：\n「你頭上的花是真的嗎？」
MID_FORTUNE_TROUBLE_Boucheron	在森林睡午覺時，\n被別人誤認是熊。
MID_FORTUNE_TROUBLE_Etie	買了一大堆肌肉增強劑，\n味道卻不是很令人滿意。
MID_FORTUNE_TROUBLE_Celine	因為太喜歡喝熱紅茶，\n常常燙到自己的舌頭。
MID_FORTUNE_TROUBLE_Louis	沖出滿意的紅茶時，\n會忍不住傻笑一整天。
MID_FORTUNE_TROUBLE_Chloe	分享奇珍異味給夥伴飛馬，\n卻換來他一臉嫌棄的表情。
MID_FORTUNE_TROUBLE_Veyre	不知為何只有黑色髮尾\n分岔得特別嚴重。
MID_FORTUNE_TROUBLE_Mauve	總覺得很難開口告訴別人，\n其實自己也很喜歡吃甜食。
MID_FORTUNE_TROUBLE_Diamand	無論何時，\n手心的溫度總是比較高。
MID_FORTUNE_TROUBLE_Umber	買了傳說中的武器，\n卻發現又是個假貨。
MID_FORTUNE_TROUBLE_Jade	最近力氣變大了，\n老是把筆頭寫斷。
MID_FORTUNE_TROUBLE_Staluke	和不熟的人對上眼時，\n總覺得很可怕。
MID_FORTUNE_TROUBLE_Lapis	使勁綁在頭上的緞帶\n就連自己也解不開。
MID_FORTUNE_TROUBLE_Citrinica	以為自己擺出了親切的微笑，\n卻把對上視線的孩子嚇哭了。
MID_FORTUNE_TROUBLE_Ivy	雖然好奇雪嘗起來是什麼滋味，\n但自尊心卻不允許自己這麼做。
MID_FORTUNE_TROUBLE_Zelkova	身上雖然帶著許多鑰匙，\n卻分不清楚所有鑰匙的用途。
MID_FORTUNE_TROUBLE_Kagetsu	常被別人說：\n「你好像都沒有煩惱呢。」
MID_FORTUNE_TROUBLE_Hortensia	想要一直維持可愛的形象，\n睡醒時的臉卻是唯一敗筆。
MID_FORTUNE_TROUBLE_Rosado	想畫下結合時的英姿，\n卻總是沒那個閒功夫。
MID_FORTUNE_TROUBLE_Goldmary	城裡的人不分男女老幼，\n都被自己迷得神魂顛倒。
MID_FORTUNE_TROUBLE_Misutira	因為耐不住性子等肉烤好，\n常常會吃到半生不熟的肉。
MID_FORTUNE_TROUBLE_Merin	發現動物時會露出\n不怎麼帥氣的傻笑。
MID_FORTUNE_TROUBLE_Panetone	對大家都怕蟲這件事感到難過。\n蟲子明明就很可愛。
MID_FORTUNE_TROUBLE_Fogato	很喜歡吃水果，\n但切水果時總弄得一團亂。
MID_FORTUNE_TROUBLE_Pandoro	戰鬥中遇上該禱告的時間時，\n不曉得該如何是好。
MID_FORTUNE_TROUBLE_Bonet	對占卜卡是何種滋味\n好奇到無法自拔的地步。
MID_FORTUNE_TROUBLE_Anna	總是被別人說\n曾在其他地方見過自己。
MID_FORTUNE_TROUBLE_Jean	雖才初出茅廬，但好歹是醫生，\n然而吃藥時卻很怕苦。
MID_FORTUNE_TROUBLE_Yunaka	別在頭髮上的星星，\n有時會在戰鬥中脫落。
MID_FORTUNE_TROUBLE_Seadas	替別人占卜時，\n總會不小心算成自己。
MID_FORTUNE_TROUBLE_Linden	做點心時總是樂在其中，\n每次都會不小心做太多。
MID_FORTUNE_TROUBLE_Saphir	看到池塘時，總會想像\n自己是優游其中的魚兒。
MID_FORTUNE_TROUBLE_Shere_01	走進其他房間時，\n常會忘記自己是為何而來。
MID_FORTUNE_TROUBLE_Shere_02	不小心踩到了盛開的花朵。
MID_FORTUNE_TROUBLE_Shere_03	剛才笑了一聲後，\n打嗝就停不下來。
MID_FORTUNE_TROUBLE_Shere_04	想和紋章士變得更要好，\n卻總是會不自覺地緊張。
MID_FORTUNE_TROUBLE_Shere_05	最近吃完油膩的東西後，\n肚子會不太舒服。
MID_FORTUNE_TROUBLE_Shere_06	雖然臉上一副若無其事的樣子，\n但現在還是會在索拉涅爾迷路。
MID_FORTUNE_TROUBLE_Shere_07	在夜半時分仰望星空時，\n會不小心躺在地上睡著。
MID_FORTUNE_TROUBLE_Shere_08	每次喊「紋章・結合！」時，\n都很怕會吃螺絲。
MID_FORTUNE_TROUBLE_Shere_09	之前曾經腳滑掉進\n索拉涅爾的池塘裡。
MID_FORTUNE_TROUBLE_Shere_10	由於這裡的伙食太過美味，\n自己比剛來時胖了一點。
MID_FORTUNE_TROUBLE_Shere_11	每天都會光顧索拉涅爾的商店，\n但逛完之後卻不知道該買什麼。
MID_FORTUNE_TROUBLE_Shere_12	每天晚上都會肚子餓，\n戒不掉吃宵夜的習慣。
MID_FORTUNE_TROUBLE_Shere_13	其實替自己的武器\n取了一個可愛的名字。
MID_FORTUNE_TROUBLE_Shere_14	現在身上穿的這件衣服，\n下襬有許多地方脫線了。
MID_FORTUNE_TROUBLE_Shere_15	雖裝作一臉沒事的樣子，\n但其實睡到落枕了。
MID_FORTUNE_TROUBLE_Shere_16	得到新的武器時，\n會開心地帶著睡覺。
MID_FORTUNE_TROUBLE_Shere_17	總覺得最近老是搞不定髮型。
MID_FORTUNE_TROUBLE_Shere_18	會特別在意自己\n結合後的樣貌好不好看。
MID_FORTUNE_TROUBLE_Shere_19	附近沒人時，\n會拉開嗓門高歌。
MID_FORTUNE_TROUBLE_Shere_20	看到紋章士身上散發的光芒，\n總是忍不住想伸手去摸摸看。
MID_FORTUNE_TROUBLE_Shere_21	大概有三個人說過\n自己會講奇怪的夢話。
MID_FORTUNE_TROUBLE_Shere_22	總會在意戰火是否\n波及到附近的野生動物。
MID_FORTUNE_TROUBLE_Shere_23	最近已經連續五天\n夢到自己睡過頭了。
MID_FORTUNE_TROUBLE_Shere_24	總覺得有人看到了\n自己在平地跌倒的醜態。
MID_FORTUNE_TROUBLE_Shere_25	站在崖上對天吶喊時，\n聽到有人回應覺得很可怕。
MID_FORTUNE_TROUBLE_Shere_26	看著那些每天做嚴格訓練的人，\n非常擔心他們的身體會吃不消。
MID_FORTUNE_TROUBLE_Shere_27	被平常沒怎麼說過話的人\n在擦身而過時拍了下肩膀。
MID_FORTUNE_TROUBLE_Shere_28	深夜時分寫下的詩詞，\n好像掉在某個地方了。
MID_FORTUNE_TROUBLE_Shere_29	午餐的菜黏在臉頰上，\n卻一整天都沒有發現。
MID_FORTUNE_TROUBLE_Shere_30	想拿飼料餵小鳥，\n結果卻被無視了。
MID_FORTUNE_TROUBLE_Shere_31	鍛鍊之間裡的空間太大了，\n反而讓人覺得有點恐怖。
MID_FORTUNE_TROUBLE_Shere_32	前一陣子偷吃了果樹園裡的水果。
MID_FORTUNE_TROUBLE_Shere_33	早上打算生火時，\n不小心引起小火災了。
MID_FORTUNE_TROUBLE_Shere_34	做了一串鮮花項鍊，\n卻沒能送給任何人。
MID_FORTUNE_TROUBLE_Shere_35	重要的信件\n不小心被飛龍吃掉了。
MID_FORTUNE_TROUBLE_Shere_36	開心得手舞足蹈之時，\n被紋章士以關懷的眼神看著。
MID_FORTUNE_GOOD_01	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n「榮耀」卡，代表會獲得許多人的稱讚。\n說不定在乎的人還會過來摸頭讚賞呢。\x0E\x04\x00\x00
MID_FORTUNE_GOOD_01_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n「榮耀」卡啊，預示著能獲得讚賞與得償所願……\n跳舞給那個人看的話，他會不會給我點心做回禮呢？\x0E\x04\x00\x00
MID_FORTUNE_GOOD_02	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n「名譽」卡，代表需要做出正確的選擇。\n或許會因此獲得在乎的人的讚賞喔。\x0E\x04\x00\x00
MID_FORTUNE_GOOD_02_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n「名譽」卡啊，預示著只要貫徹正道就會得到肯定……\n不如去掃掃地給那個人看看好了？\x0E\x04\x00\x00
MID_FORTUNE_GOOD_03	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n「豐收」卡，代表會有意想不到的好事發生。\n或許在乎的人會請吃大餐？\x0E\x04\x00\x00
MID_FORTUNE_GOOD_03_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n「豐收」卡啊，預示著將獲得環境帶來的甜美果實……\n和那個人一起去摘水果似乎也不錯？\x0E\x04\x00\x00
MID_FORTUNE_GOOD_04	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n「預知」卡，代表能防不測於未然。\n在乎的人或許會提出什麼建議喔。\x0E\x04\x00\x00
MID_FORTUNE_GOOD_04_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n「預知」卡啊，預示著碰到突發事故也能化險為夷……\n那我來守著那個人，免得他不小心摔跤好了。\x0E\x04\x00\x00
MID_FORTUNE_GOOD_05	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n「友好」卡，代表和任何人都能相處得不錯。\n哼歌時，說不定在乎的人還會跟著打拍子喔。\x0E\x04\x00\x00
MID_FORTUNE_GOOD_05_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n「友好」卡啊，預示著能夠避免紛爭，建立良好關係……\n說不定我現在偷吃那個人的點心也不會惹惱他。\x0E\x04\x00\x00
MID_FORTUNE_GOOD_06	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n「不屈」卡，代表要勇於面對自己的煩惱。\n在乎的人也有同樣的煩惱，乾脆兩個人談談吧？\x0E\x04\x00\x00
MID_FORTUNE_GOOD_06_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n「不屈」卡啊，預示著不屈從艱難便會迎來幸福……\n那我邀請那個人一起去瀑布下修行好了？\x0E\x04\x00\x00
MID_FORTUNE_GOOD_07	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n「希望」卡，代表即使有什麼不順心也能安然化解。\n或許在乎的人會以另一半的身分安慰鼓勵喔。\x0E\x04\x00\x00
MID_FORTUNE_GOOD_07_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n「希望」卡啊，預示著運勢將有好轉……\n我來建議那個人做點特別的裝扮換換心情好了。\x0E\x04\x00\x00
MID_FORTUNE_GOOD_08	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n「邂逅」卡，代表會遇上命中註定的人事物。\n不如鼓起勇氣找在乎的人說說話吧？\x0E\x04\x00\x00
MID_FORTUNE_GOOD_08_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n「邂逅」卡啊，預示著將獲得值得信任的夥伴或事物……\n跟那個人一起試著用渴望的表情站在路邊看看好了？\x0E\x04\x00\x00
MID_FORTUNE_GOOD_09	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n「健壯」卡，代表會變得超乎想像的健康。\n和在乎的人一起跑跑步或許不錯喔。\x0E\x04\x00\x00
MID_FORTUNE_GOOD_09_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n「健壯」卡啊，預示著身心都將變得健康……\n要不要去找那個人問問健康的秘訣呢？\x0E\x04\x00\x00
MID_FORTUNE_GOOD_10	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n「鑽研」卡，認真學習、努力鍛鍊就會有好結果。\n邀請在乎的人一起讀書或是切磋一下試試吧。\x0E\x04\x00\x00
MID_FORTUNE_GOOD_10_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n「鑽研」卡啊，預示著鍛鍊自己就能增添魅力……\n正好趁機觀察那個人，學習他的優點呢。\x0E\x04\x00\x00
MID_FORTUNE_GOOD_11	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n「決斷」卡，代表能毫不遲疑地下決定。\n試著幫在乎的人決定今天晚餐的菜色吧。\x0E\x04\x00\x00
MID_FORTUNE_GOOD_11_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n「決斷」卡啊，預示著堅定心志找出正解……\n我覺得我只要跟那個人在一起，就能不受美食誘惑。\x0E\x04\x00\x00
MID_FORTUNE_GOOD_12	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n「優愛」卡，只要真心愛人，運勢便會提升。\n總之建議先想辦法黏著所在乎的人，盡情撒嬌吧。\x0E\x04\x00\x00
MID_FORTUNE_GOOD_12_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n「優愛」卡啊，預示著付出不求回報的愛就會幸福……\n那我就在不逾矩的範圍內，盡可能地善待那個人吧。\x0E\x04\x00\x00
MID_FORTUNE_BAD_01	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x18\x08セアダス\x0CNormal\n\x0E\x03\x02\x0A\x08セアダス\n「孤立」卡……今天最好避免一個人獨處。\n建議找在乎的人一起下水游個泳，或許會有所幫助。\x0E\x04\x00\x00
MID_FORTUNE_BAD_01_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x12\x08セアダス\x06Sad\n\x0E\x03\x02\x0A\x08セアダス\n「孤立」卡啊……看來得避免自己獨處了，\n那就找那個人一起在索拉涅爾唱歌散步吧。\x0E\x04\x00\x00
MID_FORTUNE_BAD_02	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x18\x08セアダス\x0CNormal\n\x0E\x03\x02\x0A\x08セアダス\n「惡評」卡……近期可能會聽到些不好的謠言，\n盡力善待在乎的人吧，別人見到自然就會破解了。\x0E\x04\x00\x00
