MID_WU_C_1_IN_#001	叫神龍大人起床嗎……真是個意想不到的差事呢……\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	哦，您該不會已經醒了吧？\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	看來這次沒有我出場的機會了呢。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	還不起床……這可真棘手啊。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	在神龍大人醒來前，我就先在這裡練舞吧。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	踏步、跳躍、這裡要轉圈……\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#004	嗯，跳得還不錯……\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	啊，早安。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	您很在意我剛才跳的舞嗎？\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	那麼……\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	等夜空中又出現相同的月亮時……\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#005	我再為您獻上這支舞吧。\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	我幫神龍大人算了一下今天的運勢……\x0E\x04\x00\x00
MID_WU_C_2_IN_#002	結果抽出了兩張牌……要告訴您哪一張呢？\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	我替馬上起床的神龍大人抽到了「勒・舍瓦爾」……\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	這是一張代表軍馬的卡牌。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	看來您今天會很忙碌喔。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#004	建議您可以佩帶一些黃色的物品。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	我替賴床的神龍大人抽到了「勒・佩加茲」……\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	這是一張代表天馬的卡牌。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	只要帶著藍色的物品……\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	就有機會碰上幸運的事情。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#005	例如……\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	早安。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	沒錯……例如……\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	您可能會在路上巧遇喜歡的人。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#004	啊……\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#005	我知道那個人並不是我喔。那麼，我先失陪了。\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	這個地方果然很適合跳舞呢……\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	啊，我吵醒您了嗎？\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	我在找練習跳舞的場地，一不小心就……\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	大概是因為這裡是祭壇……\x0E\x04\x00\x00
MID_WU_B_1_SOON_#004	所以才設計得很適合獻舞吧。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	應該有人在這裡為神龍大人獻過舞吧……\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	真想讓您也看看我師父跳的舞呢。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	他的舞姿……真的很美……\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	神龍大人，請問……\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	今晚能讓我為您獻上一舞嗎？\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	我想讓您也看看……\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	亡師的拿手舞蹈。\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	卡牌啊，告訴我……\x0E\x04\x00\x00
MID_WU_B_2_IN_#002	我可以吃點東西當宵夜嗎……！\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	啊……對不起……\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	是我占卜的聲音吵到您了吧。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	這裡很安靜，我應該要注意一點的……\x0E\x04\x00\x00
MID_WU_B_2_SOON_#004	那麼，我先告辭了。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	雖然我現在的體型很完美，但我只要一鬆懈就會變胖。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	我好恨那些怎麼吃也吃不胖的人……\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	我也想……我也想……\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#004	在半夜吃奶油和蜂蜜啊……！\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	抱歉，這麼晚了還來打擾您。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	其實我是餓得有些煩躁……\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	我想如果是神龍大人……\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#004	應該就會溫柔地陪在我身邊……\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#005	所以就跑來找您了。\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	神龍大人，今晚的星空非常美喔。\x0E\x04\x00\x00
MID_WU_A_1_IN_#002	您要不要一起來占星呢？\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	謝謝您答應我的邀請。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	從這個祭壇看出去的景色也很美呢……\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	看著眼前這片無垠的天空……\x0E\x04\x00\x00
MID_WU_A_1_SOON_#004	彷彿思緒也能徜徉其中呢。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	神龍大人還沉浸在夢鄉啊……\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	您正在做著什麼樣的夢呢？\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	我最常夢到的是沙漠的月光……\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#004	呵呵，我連在夢裡也只想著看星星呢。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	晚安。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	您現在許願的話……\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	願望說不定就會實現喔。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#004	把願望說出來會更靈呢。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#005	您看，是流星……\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	原來在跳舞時想著「肚子好飽喔～」是這種感覺啊……\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	早安。\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	為了讓您更清醒……\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	我來跳一段舞如何？\x0E\x04\x00\x00
MID_WU_A_2_SOON_#004	剛才我吃了自己最愛的食物……\x0E\x04\x00\x00
MID_WU_A_2_SOON_#005	所以想與您分享這份幸福的感覺。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	為了不讓神龍大人擔心……\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	我早餐多吃了一些。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	可不是每一個人……\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#004	都能讓我做到這種地步喔。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	嗯，您醒了呢。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	如何？我看起來有既幸福又美麗嗎？\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	這就是我所說的「更好的表現」……\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#004	我可沒有食言喔。\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	我來接您囉，搭檔。\x0E\x04\x00\x00
MID_WU_S_1_IN_#002	好，在神龍大人醒來之前把卡牌整理好吧……\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	早安，我就知道您會馬上醒來。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	不，不是靠占卜喔。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	畢竟您是我最重要的人……\x0E\x04\x00\x00
MID_WU_S_1_SOON_#004	看久了自然就會知道啊。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	「勒・德斯坦」……是命運的卡牌啊。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	我和您這段特別的緣分……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	早在千年前就註定了。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	從我在索爾姆的城塞……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	看到您的第一眼起，星辰就開始轉動了。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	這是多麼美妙的事啊。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#007	……是您將我們的命運牽在一起。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#008	願您永遠陪伴在我的身邊……\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	太好了，我還在想要是您沒醒的話該怎麼辦呢。\x0E\x04\x00\x00
