MID_WU_C_1_IN_#001	神龍大人，早上了……\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	神龍大人很好叫醒呢……\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	真羨慕你。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	因為我很容易失眠……\x0E\x04\x00\x00
MID_WU_C_1_SOON_#004	也常常起不來……\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	真是的……被我這種陰沉的女人叫醒……\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	神龍大人肯定會覺得不愉快……\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	還是快把事情辦完就回去吧……\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#004	神龍大人，起床了……\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	早安……\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	今天的天氣很好。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	你還是快去沐浴朝陽……\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	把我來叫你起床的事忘了吧……\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	真漂亮啊，好想就這樣一直看著……\x0E\x04\x00\x00
MID_WU_C_2_IN_#002	但這是不能容許的……\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	你醒了啊……\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	那我先走了……\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	希望明天……\x0E\x04\x00\x00
MID_WU_C_2_SOON_#004	會是更活潑的人來叫你……\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	大家輪流叫神龍大人起床。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	這到底是誰的主意……\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	我很不擅長做這種事的……\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	我會緊張……\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	早……早安……\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	我先說好，不是我主動過來的喔。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	不過能當面和你打招呼……\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#004	我還是有點開心的……\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	其實我心底一直有個夢想。\x0E\x04\x00\x00
MID_WU_B_1_IN_#002	想到聖地索拉涅爾……\x0E\x04\x00\x00
MID_WU_B_1_IN_#003	並且……在這個祭壇禱告。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	……\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	啊，對不起。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	我剛剛在禱告……\x0E\x04\x00\x00
MID_WU_B_1_SOON_#004	現在我已經禱告完了。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#005	早安，我的神。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	我曾聽父王說過一件事。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	他說琉彌艾爾大人其實……\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	一直很想邀請伊爾席翁王族到里特司呢。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#004	只可惜這個願望未能實現。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#005	所以我……\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	早安，神龍大人。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	請讓我在這裡禱告一下吧。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	雖然有些晚了……但我還是想……\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	讓琉彌艾爾大人知道我來了。\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	我真的有資格踏入這個祭壇嗎……\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	早安。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	謝謝你容許我待在這裡。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	你真的很溫柔呢……\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	我國是邪龍信仰……\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	但我喜歡的是神龍喔。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	我畢竟是公主，所以從未跟人提過我的心意。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#004	不過這裡只有我們，說了也不要緊吧……\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	……好美啊。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	你從千年的沉睡中醒來時……\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	也是這種感覺嗎？\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#004	……這樣啊，我真想親眼見證那一刻……\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	每次來到這裡……\x0E\x04\x00\x00
MID_WU_A_1_IN_#002	我都會覺得自己得到了寬恕……\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	早安。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	呵呵……你睡醒時真是毫無防備呢……\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	如果這是因為你信任我……\x0E\x04\x00\x00
MID_WU_A_1_SOON_#004	那我會很開心的……\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	外面的世界總讓我身心俱疲……\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	但待在這裡時，一切都會不一樣。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	和神龍大人你在一起……\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#004	我第一次覺得可以做自己……\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	你醒了啊……\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	咦？什麼事讓我這麼開心？\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	我笑了？\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#004	這樣啊……我笑了啊……\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	神龍大人……我有點想見你了……\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	抱歉，吵醒你了……\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	我做了個關於過去的惡夢……\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	我居然覺得來神龍大人這裡就安心了……\x0E\x04\x00\x00
MID_WU_A_2_SOON_#004	我還真像個小孩子呢……\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	我做了一個夢……\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	一個伊爾席翁邁向毀滅的夢。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	我一睜開眼來就趕快過來這裡……\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#004	看著你，我才能把那當成一場夢……\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	……你聽到了吧？\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	我如此懦弱，你肯定很瞧不起我吧。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	……啊，你別用那麼溫柔的眼神看我。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#004	你又讓我得到了救贖……\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	我來接你了，我的神……\x0E\x04\x00\x00
MID_WU_S_1_IN_#002	呵呵，你不覺得我們這樣很像新婚嗎？\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	很高興你因為我的聲音醒了……\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	我可以和你說說話嗎？\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	……嗯，對不起，我想快點見到你……\x0E\x04\x00\x00
MID_WU_S_1_SOON_#004	所以就提早來了……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	雖然「約定戒指」是屬於我的……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	但你的紋章士戒指……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	卻不僅屬於我……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	所以我偶爾就會覺得吃醋呢。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	我知道自己不該這麼想，但總是情不自禁。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	你說……我該怎麼做……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#007	才能獨佔我的神呢……\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	早安，你過來一點好嗎？\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	讓我仔細看看你。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	呵呵，我好幸福……\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	只有現在這個時候，你是獨屬於我的。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#005	是只屬於我的……搭檔喔。\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	……每次見你都覺得好美。\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	之前你就是這樣沉睡著的吧。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	你因為我的聲音而醒過來，我好高興啊。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	但我偶爾會想……\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	要是你自千年沉睡中醒來的瞬間……\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	我能在就好了。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	這種感覺真奇妙……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	我因你而變得堅強。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	即使做了惡夢，甚至在戰場上出了事我都能承受。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	只因為你選擇了我……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	我就有了勇氣面對一切。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	我喜歡你，最喜歡你了。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#007	言語無法道盡那般……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#008	深深愛著你。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	早安，哎呀，你的臉很紅呢……\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	這下你明白我的心意了吧。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	今後我還會繼續向你表明心意的……\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	你就拭目以待吧。\x0E\x04\x00\x00
