MID_WU_C_1_IN_#001	沒想到我會有踏入這個祭壇的一天……\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	神龍大人，早安……！\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	您不介意的話……\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	請容我先向您祈禱一下……\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	唔唔，居然要我來叫醒神龍大人……\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	我怎麼敢做這種失禮的事啊……\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	但也不能讓神龍大人睡過頭……\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#004	只好硬著頭皮來了……神龍大人！\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	啊……您醒了啊。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	不行，這情景實在太神聖了……\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	我得先祈禱一下才行……！\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	我從頭到腳已經徹底洗淨了。那麼，恕我打擾了……\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	原來如此……\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	不管我的身體洗得多乾淨……\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	您還是能察覺到我身上的罪惡呢……\x0E\x04\x00\x00
MID_WU_C_2_SOON_#004	真不愧是神龍大人啊。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	這祭壇真美……\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	要是能在這裡舉辦宴會，那該有多開心啊……\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	不不，這可不行。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	這種邪念可逃不過神龍大人的法眼啊……\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	我、我就知道～！\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	我的邪念果然吵醒神龍大人了……\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	原本想祈禱一下就回去的……\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#004	我這個笨蛋！滿腦子只想辦派對……！\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	耶咿～！神龍大人～安安～！\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	……對不起。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	我完全就像個可疑人物呢。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	我一踏進這裡就會緊張……\x0E\x04\x00\x00
MID_WU_B_1_SOON_#004	所以才想讓自己表現得嗨一點。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#005	還請神龍大人開恩。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	嘿～！\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	我來叫您起床囉，神龍大人～！\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	雖然平常都很緊張，但今天感覺……\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#004	還是很緊張啊！而且還很失禮呢！\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	哇～！\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	神龍大人，真的很對不起！\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	請原諒我這大吵大鬧之罪！\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	這裡沒有懺悔室對吧……！？\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	「聖地索拉涅爾裡沉睡著一位神龍之子」……\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	不好意思。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	我想起了祭司大人跟我說的故事……\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	就忍不住跑過來了。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#004	這一則故事……\x0E\x04\x00\x00
MID_WU_B_2_SOON_#005	可以說是我的救贖呢……\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	當時完全沒想到這個故事是真的呢。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	祭司大人說他預想中的神龍之子……\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	是個年幼的小孩……\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#004	我一直以來都……\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	哇！剛才的話您都聽見了嗎……？\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	咦？您要我把話說完？\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	雖然這麼說可能有點失禮……\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#004	……但我一直以來……都把您視為我的朋友。\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	神龍大人，請原諒我打破這片寂靜……\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	對不起……\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	戰後我總會忍不住想祈禱。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	明明被我吵醒了……\x0E\x04\x00\x00
MID_WU_A_1_SOON_#004	您也不生氣嗎？\x0E\x04\x00\x00
MID_WU_A_1_SOON_#005	神龍大人……您真是仁慈。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	這裡真是安靜，戰爭彷彿只是一場錯覺呢……\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	感覺在這裡……\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	即便已化為繁星的生命也能聽到我的禱告……\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#004	神啊，請賜予亡魂永恆的安息……\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	抱歉吵醒您了。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	每次在戰場上奪走他人性命後……\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	我總是莫名地想祈禱。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#004	雖然我知道自己絕不可能被原諒……\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	嘿咿～神龍大人，嘿咿～\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	早安。\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	呃……因為在前陣子的餐會裡……\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	神龍大人說沒人對您用「嘿咿～」打招呼……\x0E\x04\x00\x00
MID_WU_A_2_SOON_#004	還一臉悶悶不樂的樣子，所以我才……\x0E\x04\x00\x00
MID_WU_A_2_SOON_#005	我這句「嘿咿～」您還滿意嗎？\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	嗯……\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	當著神龍大人的面這樣叫還是不太好呢。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	就算神龍大人喜歡……\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#004	我還是得克制一下才行，嗯嗯。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	啊，神龍大人。\x0E\x04\x00\x00
