MID_CARD_KEYHELP_TURN_OVER	翻面
MID_CARD_KEYHELP_EDIT	編輯
MID_CARD_KEYHELP_CARD_LIST	卡片清單
MID_CARD_KEYHELP_STAMP_LIST	印章清單
MID_CARD_KEYHELP_STAMP_SWITCHING	切換編輯模式
MID_CARD_KEYHELP_DELETE	刪除
MID_CARD_KEYHELP_END	結束
MID_ProfileCard	神龍戰歷卡
MID_ProfileCard_MyCard	個人卡片
MID_ProfileCard_MyCard_Description	可以編輯卡片上的文字，\n或是更改設計與裝飾。
MID_ProfileCard_Notes_Terms	The Community Guidelines apply to shared\ncontent and can be found on Nintendo's website.\nPlease be considerate to your fellow players.
MID_ProfileCard_Album	異界戰歷卡
MID_ProfileCard_Album_Help	查看及刪除獲得的卡片。
MID_ProfileCard_Album_Description	可以查看在「試煉別屋」獲得的\n朋友的戰歷卡以及整理清單。
MID_ProfileCard_Photo	印製風景
MID_ProfileCard_Photo_Description	可以在索拉涅爾\n選擇喜歡的夥伴與場景，\n印製（攝影）使用於戰歷卡的圖片。
MID_ProfileCard_Photo_Warning	只能在索拉涅爾的室外印製風景。
MID_ProfileCard_Setting	公開設定
MID_ProfileCard_Setting_Description	可以設定是否要公開個人卡片。
MID_ProfileCard_Setting_Warning_Public	目前設定：公開
MID_ProfileCard_Setting_Warning_Private	目前設定：非公開
MID_ProfileCard_Setting_Confirm	請設定是否要公開個人卡片。\n（隨時都可以更改設定，\n且不影響已交換的卡片）
MID_ProfileCard_Setting_Public	公開
MID_ProfileCard_Setting_Private	非公開
MID_ProfileCard_ShowStamp	印章顯示設定
MID_ProfileCard_ShowStamp_Description	可以設定是否要顯示\n獲得的異界戰歷卡上的印章。
MID_ProfileCard_ShowStamp_Warning_Show	目前設定：顯示
MID_ProfileCard_ShowStamp_Warning_Hide	目前設定：隱藏
MID_ProfileCard_ShowStamp_Confirm	請設定是否要顯示印章。\n（隨時都可以更改設定）
MID_ProfileCard_ShowStamp_Show	設為顯示
MID_ProfileCard_ShowStamp_Hide	設為隱藏
MID_ProfileCard_Settings_Cannot_Change	受限於Parental Controls設定，\n無法更改設定。
MID_ProfileCard_Card_PlayerInfo	玩家資訊
MID_ProfileCard_Card_TolalPlayTime	總計遊玩時間
MID_ProfileCard_Card_Birthday	生日
MID_ProfileCard_Card_Difficulty	難度
MID_ProfileCard_Card_GameMode	模式
MID_ProfileCard_Card_FaivoriteCharacter	喜愛的角色
MID_ProfileCard_Card_Relay	續戰的試煉
MID_ProfileCard_Card_FavoriteMap	喜愛的地圖
MID_ProfileCard_Card_PlayingCount	遊玩次數
MID_ProfileCard_Card_Versus	異界的試煉
MID_ProfileCard_Card_ThemeOfEditMap	編輯地圖的主題
MID_ProfileCard_Card_VersusRate	正式對戰成績
MID_ProfileCard_Card_SortieCount	單位出擊次數
MID_ProfileCard_Card_AchievementCount	成就達成次數
MID_ProfileCard_MyCard_Help	查看和編輯卡片內容。
MID_ProfileCard_Edit	編輯卡片
MID_ProfileCard_Edit_Help	請選擇要編輯的項目。
MID_ProfileCard_Edit_Title	稱號
MID_ProfileCard_Edit_Title_Help	請選擇稱號。
MID_ProfileCard_Edit_Title_Caption	稱號一覽
MID_ProfileCard_Edit_Comment	狀態消息
MID_ProfileCard_Edit_Comment_Help	請選擇三個字詞。
MID_ProfileCard_Edit_Comment_Caption	編輯狀態消息
MID_ProfileCard_Edit_FavoriteCharacter	喜愛的角色
MID_ProfileCard_Edit_FavoriteCharacter_Help	請選擇角色。
MID_ProfileCard_Edit_FavoriteCharacter_Caption	角色一覽
MID_ProfileCard_Edit_FavoriteRelayMap	喜愛的地圖
MID_ProfileCard_Edit_FavoriteRelayMap_Help	請選擇地圖。
MID_ProfileCard_Edit_FavoriteRelayMap_Caption	地圖一覽
MID_ProfileCard_Edit_Bg	卡片背景
MID_ProfileCard_Edit_Bg_Help	請選擇設計。
MID_ProfileCard_Edit_Bg_Caption	卡片背景一覽
MID_ProfileCard_Edit_Frame	卡片邊框
MID_ProfileCard_Edit_Frame_Help	請選擇設計。
MID_ProfileCard_Edit_Frame_Caption	卡片邊框一覽
MID_ProfileCard_Edit_TextDeco	文字裝飾
MID_ProfileCard_Edit_TextDeco_Help	請選擇設計。
MID_ProfileCard_Edit_TextDeco_Caption	文字裝飾一覽
MID_ProfileCard_Edit_TextColor	文字顏色
MID_ProfileCard_Edit_TextColor_Help	請選擇文字的顏色。
MID_ProfileCard_Edit_TextColor_Caption	文字顏色一覽
MID_ProfileCard_Edit_CharecterStamp	頭像圖示
MID_ProfileCard_Edit_CharecterStamp_Help	請選擇圖示。
MID_ProfileCard_Edit_CharecterStamp_Caption	頭像圖示一覽
MID_ProfileCard_Edit_Stamp	印章
MID_ProfileCard_Edit_Stamp_Help	卡片的裝飾。
MID_ProfileCard_Edit_Stamp_Count	印章數量
MID_ProfileCard_Edit_Stamp_ConfirmToClear	要清除所有蓋過的印章嗎？\n（清除後無法恢復成原本的狀態）
MID_ProfileCard_Edit_Stamp_ConfirmToClear_Yes	全部清除
MID_ProfileCard_Edit_Stamp_ConfirmToClose	要結束編輯印章嗎？
MID_ProfileCard_Edit_Stamp_SaveAndClose	儲存並結束
MID_ProfileCard_Edit_Stamp_NoSaveAndClose	放棄儲存並結束
MID_ProfileCard_Edit_Stamp_ContinueToEdit	繼續編輯
MID_ProfileCard_Album_ConfirmToDelete	要刪除「\x0E\x01\x00\x00」的戰歷卡嗎？
MID_ProfileCard_Album_Delete	刪除
MID_ProfileCard_Possession	持有數量
MID_ProfileCard_Language_Attention	已切換語言，\n並重置「狀態消息」。
MID_ProfileCard_Net_Save_Confirm_Match	要儲存對戰對手的戰歷卡嗎？
MID_ProfileCard_Net_Save_Confirm_Relay	要儲存共戰玩家的戰歷卡嗎？
