MID_WU_C_1_IN_#001	像我這種身分的人，真的可以進來嗎……\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	啊，您這麼快就醒啦，真是太好了。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	早安，神龍大人。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	踏進這麼富麗堂皇的地方，還真是令人緊張呀……\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	我得拿好手上的這些藥才行……\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	要是弄髒了這裡，我可擔待不起啊……哇啊！！\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	呼……差點就要掉到神龍大人的床上了……\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	早安。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	真是抱歉呀，我太吵了……\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	我聽說神龍大人還沒起床……\x0E\x04\x00\x00
MID_WU_C_2_IN_#002	難道是身體不舒服嗎……？\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	早安。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	看上去好像沒什麼問題呢。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	我有點擔心所以就跑來看看……\x0E\x04\x00\x00
MID_WU_C_2_SOON_#004	沒想到卻把您吵醒了，真是抱歉呀。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	嗯……看上去並沒有受傷……\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	不過，大部分的病都很難從外表判斷啊……\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	神龍大人是大家的支柱呀……真讓人擔心呢……\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	您醒來啦。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	有沒有覺得哪裡不舒服呢？\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	沒有嗎？那就太好啦。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#004	身體有什麼狀況的話，要馬上告訴我喔。\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	既然是由我來叫神龍大人起床……\x0E\x04\x00\x00
MID_WU_B_1_IN_#002	就得在早上替他仔細檢查身體狀況才行呀。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	看來今天神龍大人睡得很飽呢。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	氣色也很好……這表示您的身體很健康喔！\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	看到神龍大人這麼有精神，我也很高興呢。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	神龍大人？\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	嗯……沒有馬上醒來呢……\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	搞不好是太累了。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#004	我去幫神龍大人泡一壺能消解疲勞的茶吧。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	您醒來啦，神龍大人。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	想必您是累過頭了吧。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	我正用故鄉盛產的頂級茶葉為您泡茶……\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	在我泡好之前，您就再休息一會吧。\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	呼……今天也採了不少藥草呢。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	抱歉，我來晚了。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	早上採收的藥草療效更佳……\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	所以我才想先採完藥再過來。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#004	神龍大人要嘗嘗看嗎？\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	治療眼疾的藥草、消除紅腫的藥草，還有止痛的藥草……\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	嗯，大豐收呢。也採到了助眠的藥草……\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	把這個放進神龍大人的嘴裡，不知道會怎樣呢……？\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	啊啊！我、我什麼都沒做喔！\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	早安，神龍大人。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	哎呀～今天也是個好天氣呢……那我先告辭了！\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	神龍大人，我想跟您商量一下藥品的事……啊，還在睡……\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	不好意思吵醒您了。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	我打算進一些新的藥品……\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	所以想順便問問神龍大人……\x0E\x04\x00\x00
MID_WU_A_1_SOON_#004	看您有沒有缺什麼藥。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	想不到新的傷藥居然有五種口味……\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	有甜的、酸的、苦的，還有甜中帶鹹的……\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	最後一種是……鹽味。搞什麼鬼呀，是在賣餅乾嗎……\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	對了，神龍大人……\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	您覺得之後要進哪種口味的傷藥比較好呢？\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	我個人覺得甜的比較好……\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#004	咦？呃，您喜歡鹽味嗎……？\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	神龍大人前陣子受的傷，應該不要緊吧……\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	您上次幫我採藥時受的傷……\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	我想檢查一下傷口的情況。\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	嗯……完全癒合了。真是太好了……\x0E\x04\x00\x00
MID_WU_A_2_SOON_#004	謝謝您，那些藥真是幫了大忙呢。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	嗯，看來沒有留下疤痕呢。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	雖然鬆了口氣，但我不能再讓神龍大人為我犯險了……\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	好！我要好好加油囉……！\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	我收到了父母寄來的信……\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	他們說您上次採的藥草幫了村子的人們一個大忙呢。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	大家都想親自跟您道謝喔。\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	神龍大人，天亮囉。\x0E\x04\x00\x00
MID_WU_S_1_IN_#002	謝謝您總是陪伴在我的身邊。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	早安。雖然不是第一次來叫您起床了……\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	但是跟之前相比，感覺完全不一樣呢。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	我每天都在想……\x0E\x04\x00\x00
