MID_WU_C_1_IN_#001	我是從今天起負責叫您起床，來自羊駝之鄉的勇者──\x0E\x04\x00\x00
MID_WU_C_1_IN_#002	安巴──！！\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	哦？我還以為您會賴床呢！\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	早安！\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	進門前先好好報上名號！\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	這才像個勇者！\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	好啦……該怎麼叫神龍大人起床呢……\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#004	盡可能輕柔一點……\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#005	啊！試試看對耳朵吹氣好了？呼～\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	早安。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	那我再報一次名號吧。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	我是羊駝之鄉的勇者！安……咦？不用再說了嗎？\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	傳說中的祭壇！神龍大人就是在這沉睡了千年嗎……！\x0E\x04\x00\x00
MID_WU_C_2_IN_#002	太令人亢奮啦──！\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	啊，我吵到您了嗎……這麼快就醒了……\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	呃……我太吵了？\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	對不起，神龍大人，一大早的就把您吵醒了。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	好緊張喔……\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	索拉涅爾本身就是聖地中的聖地……\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	這裡又是更神聖的地方。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	我得小心別闖禍了……\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#005	哇，腳滑了──！\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	好痛啊……神龍大人，對不起！\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	雖然我緊張得摔跤了，但沒有弄壞東西喔！\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	早安！！\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	打擾了！我就是……！\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	……啊，我名號還沒報完呢。神龍大人早安！\x0E\x04\x00\x00
