MID_NET_SettingOn	是否要使用通訊功能？\n（將連接網路）
MID_NET_TowerNetwork_On	可與其他玩家一起遊玩。\n是否要使用通訊功能？\n（將連接網路）
MID_NET_RANKING_On	可查看其他玩家在此地圖\n所使用的單位排行榜。\n是否要使用通訊功能？\n（將連接網路）
MID_NET_SettingOn_Yes	使用
MID_NET_Setting	環境設定中的通訊功能並未開啟。
MID_NET_Connecting	通訊中
MID_NET_Error_TROPE	通訊失敗。
MID_NET_Connecting_Error	發生錯誤，\n請稍後重試。
MID_NET_Title_Help	請選擇要挑戰的試煉。
MID_NET_Notes_Terms	「續戰的試煉」與「異界的試煉」\n將會公開用戶暱稱。\n此外，神龍戰歷卡的公開設定若設為「公開」，\n個人卡片將會發送給對方。\n請勿作弊或做出使其他玩家不快的行為。\n共享的內容與遊玩時的行為\n皆適用《Nintendo Account使用條款》。\n遊玩時請遵守規則並尊重其他玩家。
MID_NET_Notes_Report	如果發現違反《Nintendo Account使用條款》的\n內容與行為，伺服器上的資料可能會遭到刪除，\n或是線上遊玩的連線會受到限制。\n只有出擊前才可透過「系統」的「檢舉」\n舉發不當的內容與行為。
MID_MATCH_Title	異界的試煉
MID_MATCH_Help	使用自己編輯或選擇的地圖\n與其他玩家的部隊展開對戰的試煉。\n（需連接至網路）
MID_MATCH_Title_Help	請選擇模式。
MID_RELAY_Title	續戰的試煉
MID_RELAY_Help	如接力賽一般，\n與其他玩家合力挑戰地圖關卡的試煉。\n需要票券方可遊玩。\n（需連接至網路）
MID_RELAY_Title_Help	請選擇試煉的開始方式。
MID_CHALLENGE_Title	連戰的試煉
MID_CHALLENGE_Help	連續挑戰不同地圖的試煉。\n挑戰時可選擇難度，\n難度越高，獎勵越豐厚。
MID_CHALLENGE_Closed_Dialog	過關第11章後即可遊玩「連戰的試煉」。
MID_NETWORK_Map_Outline	地圖資訊
MID_NETWORK_Map_Name	地名
MID_NETWORK_Map_Name_Content	\x0E\x01\x00\x00（\x0E\x01\x01\x00）
MID_NETWORK_LimitTurn_Content	\x0E\x01\x00\x00×\x0E\x01\x01\x00人
MID_NETWORK_Reward	獎勵
MID_NETWORK_Degree	稱號
MID_NETWORK_Clear_Reward	過關獎勵
MID_NETWORK_Map_Select	選擇地圖
MID_NETWORK_BACK_CONFIRM	是否要返回選單畫面？
MID_NETWORK_BACK_CONFIRM_YES	返回選單畫面
MID_NETWORK_H_BACK_CONFIRM	返回選單畫面。
MID_NET_Error	發生錯誤。
MID_NET_NFC_Error	已與可讀取amiibo的控制器\n中斷連接。
MID_MATCH_Easy	輕鬆對戰
MID_MATCH_H_Easy	選擇喜歡的地圖，\n與其他玩家的部隊展開對戰。
MID_MATCH_Easy_TitleHelp	請選擇要使用的地圖。
MID_V001	深綠與水之間
MID_V002	水晶與炎之間
MID_V003	炮台與堡壘之間
MID_V004	阻礙與金之間
MID_V005	守護神與柱之間
MID_V006	雪球與冰之間
MID_MATCH_Search	搜尋對手
MID_MATCH_Search_Help	請選擇要如何決定對戰對手。
MID_MATCH_Random	隨機
MID_MATCH_H_Random	自動選擇其他玩家的部隊\n展開對戰。
MID_MATCH_Serious_H_Random	自動選擇其他玩家的地圖\n展開對戰。\n（個人成績會依勝負有所變化）
MID_MATCH_Matching	已找到對戰對手\x0E\x01\x00\x00。
MID_MATCH_Matching_Empty	找不到對戰對手。
MID_MATCH_Matching_Verification	是否要與\x0E\x01\x00\x00對戰？
MID_MATCH_NoData	找不到資料。
MID_MATCH_Friend	朋友
MID_MATCH_H_Friend	將顯示朋友的部隊，\n可從中選擇對戰部隊。
MID_MATCH_Serious_H_Friend	將顯示朋友的地圖，\n可從中選擇對戰地點。\n（無論勝負如何，個人成績皆不會有變化）
MID_MATCH_Friend_Select_Prompt	請選擇朋友
MID_MATCH_Friend_Select	選擇朋友
MID_MATCH_Friend_Corps	\x0E\x01\x00\x00
MID_MATCH_Friend_Code	輸入ID
MID_MATCH_H_Friend_Code	輸入ID後，\n可與指定玩家的部隊展開對戰。
MID_MATCH_Serious_H_Friend_Code	輸入ID後，\n可在指定玩家的地圖展開對戰。\n（無論勝負如何，個人成績皆不會有變化）
MID_MATCH_Friend_Code_Input_Easy	請輸入輕鬆對戰的對手ID。
MID_MATCH_Friend_ID	是否要以此ID搜尋？
MID_MATCH_Friend_ID_Search	以此ID搜尋
MID_MATCH_My_ID_Attention	無法輸入自己的對戰ID。
MID_MATCH_Profile	戰歷卡
MID_MATCH_H_Profile	可從目前持有的\n異界戰歷卡一覽中選擇。
MID_MATCH_Serious_H_Profile	可從目前持有的\n異界戰歷卡一覽中選擇。\n（無論勝負如何，個人成績皆不會有變化）
MID_MATCH_Profile_Select_Prompt	請選擇玩家
MID_MATCH_Profile_Select	選擇玩家
MID_ProfileCard_Match_NoProfile	沒有可以對戰的戰歷卡。
MID_MATCH_MAP_Error	偵測到下載資料發生錯誤，\n已中斷對戰。
MID_MATCH_Serious	正式對戰
MID_MATCH_H_Serious	可公開自己編輯的地圖，\n也可把自己的地圖與其他玩家\n公開的地圖拼在一起對戰。
MID_MATCH_H_Serious_Attention	需要2個以上的我軍單位\n才可遊玩正式對戰。
MID_MATCH_H_Serious_OldMap	目前上傳至伺服器的地圖資料\n比主機的地圖資料舊，無法開始對戰。\n請從「編輯地圖」中\n上傳最新的地圖資料。
MID_MATCH_Serious_Help	請選擇欲採取的行動。
MID_MATCH_Friend_Code_Input_Serious	請輸入正式對戰的對手ID。
MID_MATCH_Battle_Start	開始對戰
MID_MATCH_H_Battle_Start	使用編輯的地圖\n與其他玩家展開對戰。
MID_MATCH_Battle_Win	你獲勝了！
MID_MATCH_H_Battle_Lose	你敗北了……
MID_MATCH_GET_PIECE	獲得了\x0E\x01\x01\x00個\x0E\x01\x00\x00牽絆碎片。
MID_MATCH_GET_GOLD	獲得了\x0E\x01\x00\x00\x0E\x01\x01\x00G。
MID_MATCH_GET_ITEM	獲得了\x0E\x01\x00\x00\x0E\x01\x01\x00。
MID_MATCH_GET_ITEM_PLURAL	獲得了\x0E\x01\x00\x00\x0E\x01\x01\x00×\x0E\x01\x02\x00。
MID_MATCH_Map_EditName	防衛準備
MID_MATCH_Map_Edit	編輯地圖
MID_MATCH_H_Map_Edit	可製作對戰用的地圖\n並設定防衛部隊。
MID_MATCH_Map_Reset	重置地圖
MID_MATCH_H_Map_Reset	重置目前的配置資訊。
MID_MATCH_H_Map_Reset_Confirmation	是否要重置目前的配置資訊？
MID_MATCH_Map_Save	儲存地圖
MID_MATCH_H_Map_Save	儲存編輯的地圖。
MID_MATCH_Map_Edit_Finish	結束編輯
MID_MATCH_H_Map_Edit_Finish	結束編輯地圖。
MID_MATCH_Map_Edit_Finish_Confirmation	是否要直接結束編輯？
MID_MATCH_Map_Edit_Finish_Confirmation_NoSave	地圖尚未儲存，確定要結束編輯嗎？
MID_MATCH_Map_Edit_Finish_Confirmation_Yes	結束
MID_MATCH_Map_Edit_Finish_Confirmation_No	繼續
MID_MATCH_Map_HealPanel_Duplicated	同時間只能設置一個\n回復地板或防衛地板。
MID_MATCH_Map_Cannon_Duplicated	同時間只能設置一個\n弓弩炮台、魔炮台或火炎炮台。
MID_MATCH_Map_Save_Error	無法儲存已編輯的地圖。\n\x0E\x01\x00\x00
MID_MATCH_Map_Save_Error_NoUnit	請至少配置1個出擊單位。
MID_MATCH_Map_Save_Error_AllUnit	所有單位均已配置到防衛戰之中，\n沒有其餘可出擊的單位。
MID_MATCH_Serious_Error_AllUnit	沒有可編組至攻擊部隊的單位。\n請於編輯地圖減少防衛部隊\n所編組的單位數量。
MID_MATCH_Map_Save_Error_BanAreaUnit	有單位被配置在無法抵達的地方。
MID_MATCH_Map_Save_Error_InvalidData	資料疑似有不正當之疑慮，\n因此無法儲存。
MID_MATCH_Map_Save_Success	已儲存編輯後的地圖。
MID_MATCH_Map_UpRoad	是否要將此地圖公開給其他玩家，\n並當成防衛戰地圖上傳至伺服器？\n\n（將會覆蓋已上傳的地圖）\n（即使擁有多個儲存資料，\n一個Nintendo Account還是只能上傳一張地圖）
MID_MATCH_Map_UpRoad_Yes	上傳
MID_MATCH_Map_UpRoad_No	取消
MID_MATCH_Map_UpRoad_Success	上傳成功。
MID_MATCH_Map_UpRoad_Failure	上傳失敗。
MID_MATCH_Unit_Duplicate	\x0E\x01\x00\x00已配置到防衛戰之中。
MID_MATCH_Map_Edit_AI_NotMove	待命戰術
MID_MATCH_H_Map_Edit_AI_NotMove	停留在初始位置。
MID_MATCH_Map_Edit_AI_Defense	防衛戰術
MID_MATCH_H_Map_Edit_AI_Defense	迎擊攻擊範圍內的敵人。
MID_MATCH_Map_Edit_AI_Rush	突擊戰術
MID_MATCH_H_Map_Edit_AI_Rush	主動進攻並攻擊範圍內較弱的敵人。
MID_MATCH_Map_Edit_AI_ResponseA	連攜戰術A
MID_MATCH_H_Map_Edit_AI_ResponseA	當敵人進入A隊的攻擊範圍\n就展開行動。
MID_MATCH_Map_Edit_AI_ResponseB	連攜戰術B
MID_MATCH_H_Map_Edit_AI_ResponseB	當敵人進入B隊的攻擊範圍\n就展開行動。
MID_MATCH_Map_Edit_AI_ResponseC	連攜戰術C
MID_MATCH_H_Map_Edit_AI_ResponseC	當敵人進入C隊的攻擊範圍\n就展開行動。
MID_MATCH_Map_Replay	查看結果
MID_MATCH_H_Map_Replay	可在此查看防衛戰的結果\n或觀看重播記錄。
MID_MATCH_History	你公開的地圖遭到攻擊，\n展開了防衛戰。\n是否要查看防衛戰的重播記錄和結果？
MID_MATCH_NoHistory	你公開的地圖沒有出現防衛戰。
MID_MATCH_MockCombat	模擬戰
MID_MATCH_H_MockCombat	可測試自己編輯的地圖\n並查看內容。
MID_MATCH_Surrender	投降
MID_MATCH_H_Surrender	投降並回到選單。
MID_MATCH_Surrender_Attention	是否要投降？\n（此戰將視為敗北）
MID_MATCH_Surrender_Yes	投降
MID_MATCH_MyRate	個人成績
MID_MATCH_ID	對戰ID
MID_MATCH_Victory	VICTORY!
MID_MATCH_Defeat	DEFEAT
MID_REPORT_TITLE	檢舉
MID_REPORT_MAP_DELETE	您上傳的地圖受到檢舉，\n已被刪除。
MID_REPORT_TITLE_HELP	檢舉含有不當內容的地圖。
MID_REPORT_NOTES	您正要檢舉違反\n《Nintendo Account使用條款》的地圖。\n\n這份檢舉會對公開該地圖的玩家匿名，\n並直接發送給任天堂客服中心。
MID_REPORT__CONFIRM_DIALOG	要用這個內容檢舉嗎？
MID_REPORT__CONFIRM_DIALOG_YES	檢舉
MID_REPORT_CATEGORY_SELECT	請選擇檢舉分類。
MID_REPORT_MAP	要檢舉的地圖
MID_REPORT_CATEGORY	檢舉分類
MID_REPORT_REASON	檢舉理由
MID_REPORT_REASON_INPUT	請填寫檢舉理由。
MID_REPORT_CATEGORY_PERSONAL	個人資訊、約會目的之內容
MID_REPORT_CATEGORY_CRIMINAL	含有暴力表現之內容
MID_REPORT_CATEGORY_IMMORAL	違反公共秩序或道德之內容
MID_REPORT_CATEGORY_HARASSMENT	含有誹謗或歧視之內容
MID_REPORT_CATEGORY_COMMERCIAL	含有營利及宣傳目的之內容
MID_REPORT_CATEGORY_SEXUALLY_EXPLICIT	含有猥褻表現之內容
MID_REPORT_CATEGORY_OTHER	其他不當內容
MID_REPORT_RESULT	已完成檢舉，\n客服中心將會確認您發送的內容。
MID_RELAY_Ticket	得到了\x0E\x01\x00\x00張「續戰挑戰票券」。
MID_RELAY_Ticket_Stock	續戰挑戰票券
MID_RELAY_NewData	開啟新的戰鬥
MID_RELAY_H_NewData	消費票券建立新的資料，\n並從頭開始試煉。
MID_RELAY_TakeOver_START_CONFIRM	是否要開始戰鬥？\n（我方的配置亦就此確定）
MID_RELAY_Unit_Select	請將出擊單位設為\x0E\x01\x00\x00人。\n（可在「編組單位」中選擇要追加的單位並派其出擊）
MID_RELAY_Ticket_Lack	沒有足夠的票券，無法開啟新的戰鬥。
MID_RELAY_Unit_Lack	單位數量不足，無法遊玩。
MID_RELAY_TakeOver	繼承
MID_RELAY_H_TakeOver	繼承其他玩家的資料，\n並從地圖的中途展開試煉。
MID_RELAY_TakeOver_Outline	繼承內容
MID_RELAY_TakeOver_Empty	沒有可繼承的資料
MID_RELAY_Joining_players	參與玩家
MID_RELAY_TakeOver_Help	請選擇搜尋資料的方式。
MID_RELAY_TakeOver_ID	繼承ID
MID_RELAY_Random	隨機
MID_RELAY_H_Random	將會自動選擇其他玩家的資料，\n並在繼承後開始遊玩。
MID_RELAY_ID_Search	輸入ID
MID_RELAY_H_ID_Search	可輸入ID繼承指定玩家的資料，\n並開始遊玩。
MID_RELAY_ID_Input	請輸入繼承ID。
MID_RELAY_ID_Search_Attention	是否要以此繼承ID搜尋？\n「\x0E\x01\x00\x00」
MID_RELAY_ID_Search_OK	搜尋
MID_RELAY_Data_Error	找不到資料。
MID_RELAY_ID_Search_MyMap_Error	無法繼承自己開啟的地圖。
MID_RELAY_ID_Search_Again_Error	已遊玩過該地圖，無法繼承。
MID_RELAY_ID_Search_Finish_Error	該地圖已經結束，無法繼承。
MID_RELAY_ID_Search_Other_Error	其他玩家正在遊玩，無法繼承。\n（上傳遊玩結果或經過24小時即可繼承）
MID_RELAY_ID_Search_Error	無法繼承該資料。
MID_RELAY_ID_Search_NoData	無法取得資料。\n該資料距離最後的更新已經過一段時間，\n有可能已被刪除。
MID_RELAY_Replay	查看結果
MID_RELAY_H_Replay	可查看參與資料中的遊玩結果並領取獎勵，\n也可觀看重播記錄。\n（戰鬥結束前重播記錄只播到當前進度）
MID_RELAY_Map_Select	請選擇要挑戰的地圖。
MID_RELAY_Replay_Select	參與過的戰鬥
MID_RELAY_Replay_Datetime	\x0E\x01\x00\x00/\x0E\x01\x01\x00/\x0E\x01\x02\x00 \x0E\x01\x03\x00:\x0E\x01\x04\x00
MID_RELAY_Replay_Select_Prompt	請選擇要查看的資料。
MID_RELAY_Reselect	已有其他玩家繼承了此資料，\n請選擇其他資料。
MID_RELAY_Replay_Empty	沒有可觀看的重播記錄資料。\n（資料在經過一定期間後會被刪除）
MID_RELAY_Replay_NotUpdate	已有其他玩家更新了遊玩資料，\n所以無法更新。
MID_RELAY_Replay_NotSeeYet	沒有「續戰的試煉」的參戰資料。
MID_RELAY_Replay_Beginning_NoFinish	要觀看目前的重播記錄嗎？\n（由於尚未分出勝負，會在播至當前進度後中斷）
MID_RELAY_Replay_Beginning_NoFinish_Yes	觀看
MID_RELAY_Replay_Beginning	是否要觀看重播記錄？
MID_RELAY_Replay_Beginning_Yes	觀看
MID_RELAY_Replay_Beginning_No	只看結果
MID_RELAY_Replay_Reward_Received	已領取過此次續戰的獎勵。
MID_RELAY_UpdateContents_Attention	請設定是否要公開自己已遊玩的資料。\n「公開」：任何人都可繼承此資料。\n「非公開」：只能透過輸入ID繼承。
MID_RELAY_UpdateContents_Yes	公開
MID_RELAY_UpdateContents_No	非公開
MID_RELAY_MyMap_ID	「\x0E\x01\x00\x00」\n這是此資料的繼承ID。\n若想讓特定的對象繼承此資料，\n請轉達此ID。
MID_RELAY_Redo	是否要重新嘗試通訊？
MID_RELAY_PlayUser	\x0E\x01\x00\x00正在遊玩……
MID_RELAY_UserMessage	\x0E\x01\x00\x00發來的訊息
MID_RELAY_PlayerChange	PLAYER CHANGE !!
MID_RELAY_Win	勝利
MID_RELAY_Lose	敗北
MID_RELAY_FinalRecord	最終結果
MID_RELAY_UpRoad	上傳此資訊
MID_RELAY_Failure	TRIAL FAILURE
MID_RELAY_OPEN_N006	可以在續戰的試煉中\n選擇「熔岩地帶」了。
MCID_N001_1	草原地帶
MCID_N002_1	花田地帶
MCID_N003_1	山丘地帶
MCID_N004_1	森林地帶
MCID_N005_1	沙漠地帶
MCID_N006_1	熔岩地帶
MID_RELAY_Award_All	所有參加者
MID_RELAY_Award_Regret	安慰獎
MID_RELAY_Award_Count_Kill	擊敗最多敵人
MID_RELAY_Award_Count_Damage	受到最多傷害
MID_RELAY_Award_Count_Recovered	回復最多我方單位
MID_RELAY_Award_Count_Break	最常「打破」敵人
MID_RELAY_Award_Count_Engage	最常使用「結合」
MID_RELAY_Award_Count_Item	最常使用道具
MID_RELAY_Award_Count_Poison	最常使敵人中毒
MID_RELAY_Award_Count_LongWalk	移動的格數最多
MID_RELAY_Award_Count_Skill	最常發動特技
MID_RELAY_Award_Invisible	沒有受到任何傷害
MID_RELAY_Award_Count_Critical	最常發動「必殺攻擊」
MID_RELAY_Award_Count_SpecialAttack	最常發動「克制」
MID_RELAY_Award_Count_EngageAttack	最常發動「結合技」
MID_RELAY_Award_Count_ChainGuard	最常發動「連鎖防禦」
MID_RELAY_Award_Count_Smash	最常發動「猛擊」
MID_RELAY_Award_Count_Adjacent	最常對相鄰敵人發動攻擊
MID_RELAY_Award_Count_Indirect	最常對敵人發動間接攻擊
MID_RELAY_Award_Count_NoKill	擊敗的敵人數雖少，但攻擊次數多
MID_RELAY_Award_Count_ChainAttack	最常發動「連鎖攻擊」
MID_RELAY_Award_Sabotage_Comment	行動不拖泥帶水
MID_RELAY_Award_MyPace	移動的格數最少
MID_RELAY_Award_Strike	對敵人造成的傷害最少
MID_RELAY_Award_Count_Standby	最常選擇「待命」
MID_RELAY_Award_TroubleMaker	受到最多我方單位的回復
MID_RELAY_Award_Sabotage_Unlucky	最常被敵人用「特技」攻擊
MID_RELAY_Award_Kill	殲滅者
MID_RELAY_Award_Damage	求生專家
MID_RELAY_Award_Recovered	治癒大師
MID_RELAY_Award_Break	打破大師
