MID_WU_C_1_IN_#001	小聲點、小聲點……\x0E\x04\x00\x00
MID_WU_C_1_IN_#002	要多大的聲響才能叫醒神龍大人呢……\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	什、什麼！\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	連這麼細微的腳步聲都能察覺……\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	嗯……看來神龍大人的聽力很好吶。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#004	能讓老夫檢查一下您的耳朵嗎？\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	首先是水聲……沒醒呢。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	再來是敲木頭還有燒柴的聲音……還是沒醒嗎？\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	嗯？火勢好像越來越旺了吶……\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#004	這可不好！！\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	咳咳，神龍大人，早安啊……\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	不，這不是敵人的攻擊。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	老夫會馬上用風魔法清理乾淨，還請您見諒。\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	想要趁早上做些實驗，結果被大家趕出來了……\x0E\x04\x00\x00
MID_WU_C_2_IN_#002	嗯？這裡是……！？\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	啊，神龍大人。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	不不不，老夫只是剛好經過而已……\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	並沒有想在這裡做實驗。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#004	那麼，老夫先失陪了。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	這裡應該就沒人會來妨礙老夫實驗了……\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	用火焰魔法將醋和蠟燭一起熬煮……\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	啊！燒起來了！\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	失、失敗了！快滅火！\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	非、非常抱歉。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	原來這裡是神龍大人的寢室啊。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	老夫不知不覺就走到了這裡……\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#004	請原諒老夫吧。\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	神龍大人，請看看這個！\x0E\x04\x00\x00
MID_WU_B_1_IN_#002	老夫做了一個有趣的東西……是紋章士戒指的仿製品喔！\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	哦，您醒了嗎！\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	……啊，老夫興奮過頭把它握碎了。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	其實這是糖果喔。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#004	甜甜的很好吃呢。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	沒有醒來嗎？看來神龍大人對這東西不感興趣呢。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	好吧，那老夫只能把這枚戒指……\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	收進自己的肚皮裡了。啊～～\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	嚼嚼嚼……\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	哈哈，您嚇到了嗎？\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	其實這是用砂糖做成的玩具。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	不僅可以戴著玩，還能一口吃掉喔……真是偉大的發明。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#005	神龍大人要不要也來一個呢？\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	之前神龍大人特地來陪老夫聊天……\x0E\x04\x00\x00
MID_WU_B_2_IN_#002	今天一定要好好回禮一番吶。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	抱歉在您睡覺的時候打擾您。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	……嗯？您說要有效利用時間，所以馬上就醒了……？\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	呵呵，真不愧是神龍大人吶。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	那天還真是開心啊……\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	神龍大人對實驗的好奇心，讓老夫都聊到忘我了吶。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	對了，這就是老夫當時想給您看的瓶子……啊……\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	老夫搞砸了！\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	這東西掉到地上就會爆炸啊！\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	您的頭髮沒燒焦吧？\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#004	這下子又要惹凡德雷生氣了吶……\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	又做出了一個新發明……老夫真是天才賢者吶。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	早安。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	要不要來杯特別的果汁啊？\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	裡頭蘊含著雷電的力量……\x0E\x04\x00\x00
MID_WU_A_1_SOON_#004	喝起來有種「劈哩啪啦」的口感喔。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	雖然老夫剛才用雷電……\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	讓飲料產生了氣泡……\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	但現在好像沒剩多少了。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#004	那就再來一次吧……雷電！\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#005	哇啊，不妙！\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	……神龍大人，您醒了嗎？\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	其實老夫有為您帶了一杯飲料過來……\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	但在剛才那擊之下，全都變成氣泡了……\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#004	您要喝喝看嗎……？\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	老夫還真是不忍心叫神龍大人起床啊……\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	哦，您已經醒啦？\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	早安。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	看到神龍大人睡得這麼香……\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	老夫怎麼捨得叫他起床呢。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	算了算了，年輕人就該睡飽一點……！\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	哎呀，還是吵醒您了嗎？\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	抱歉抱歉，像您這樣的年輕人應該多睡一些的……\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	什麼？您已經年過千歲了？\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#004	哈哈哈！說得也是！\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	太陽照屁股了，差不多該起床準備盥洗囉。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	哎呀，頭髮都翹起來了……衣服上也有皺褶……\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	呵呵，真是抱歉。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	神龍大人的可愛模樣……\x0E\x04\x00\x00
MID_WU_S_1_SOON_#004	讓老夫想起了自己的孩子吶。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	神龍大人還是一樣愛賴床呢。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	真是令人懷念啊，數十年前……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	老夫也曾像這樣和家人們度過美好的時光。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	不過……現在所有人都離老夫而去了。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	事到如今……就讓老夫自由地活下去吧。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	在與離世的妻子相聚前，老夫會把剩餘的生命……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#007	全都獻給神龍大人。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	您醒了嗎？\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	老夫來幫您梳梳頭吧……\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	嗯？這是當然的囉。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	就算老夫已垂垂老矣……\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#005	也仍是您選擇的搭檔吶。\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	呵呵……睡得真熟吶。那老夫就在這裡做個實驗吧……\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	呵呵，果然不出老夫所料。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	只要這麼一說，您就會馬上醒來呢。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	……怎麼樣？\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	老夫也越來越了解搭檔了吧？\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	先對這塊金屬施放雷電與火焰……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	然後趁它變軟時迅速地改變形狀！喝！\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	不是很漂亮呢……不過，這樣就做出一個手環囉。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	雖然沒有「約定戒指」那麼貴重……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	但這也是老夫的一番心意吶。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	這麼一來，就算老夫不在了……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#007	您也不會感到那麼寂寞吧。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	早安。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	今天老夫也會為了神龍大人全力以赴。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	這把年紀了還能受到您的重用……\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	老夫真的非常感謝您喔。\x0E\x04\x00\x00
