MID_WU_C_1_IN_#001	呵呵，睡得真香呢。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	早安，神龍大人。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	您還覺得睏的話……\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	要不要躺在我的腿上再歇一會呢？\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	真是天真無邪的臉蛋。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	沒想到神龍大人居然沉睡了千年之久……\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	我小您這麼多歲，卻還是不禁想保護您呢。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	哎呀，早安。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	您睡得還好嗎？\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	有什麼需要的話……\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	儘管吩咐我吧……呵呵。\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	哇，這幅景象……簡直就像是童話故事呢。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	早安。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	這個房間看起來就像是一幅畫……\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	讓人不自覺地看得出神呢。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	對了，叫人起床時是不是該帶早點過來呢？\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	不過，我現在手上只有……\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	在攤販買的奇珍異味呢。嗯……\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	那個，神龍大人……您早上想吃些什麼？\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	這裡有炸魚腸……\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	算了，當我沒說吧。\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	想到要來叫醒神龍大人……\x0E\x04\x00\x00
MID_WU_B_1_IN_#002	我就覺得很興奮呢。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	早安。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	看到您今天這麼早起來，我反而覺得有點可惜……\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	我會再來叫您的。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	這副睡臉真美……\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	童話故事裡的王子殿下……\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	喚醒沉眠中的公主時……\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#004	一定也是這種心情吧。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#005	不過，我可當不來王子呢。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	神龍大人，您醒來了嗎？\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	今天一定也會是美好的一天。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	希望您能過得開心。\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	能睡在這裡的人……果然不是一般人呢。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	哎呀，您聽見了嗎？\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	不好意思，希望不會造成您的不快。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	呵呵，不過您剛睡醒的樣子跟一般人沒什麼不同呢。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	我想為之前的事向您道歉。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	上次沒能讓您享用到醋醃深海魚……\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	所以我今天帶了珍藏的奇珍異味喔。您覺得如何……？\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	早安。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	這是蜜醃毛蟲喔，很甜很好吃……\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	咦！？神龍大人，您振作點啊！神龍大人──！？\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	呼……今天先跑去買了吃的，結果卻弄到這麼晚。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	您是聞到香味才起床的嗎？\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	我今天帶了特別的炭烤料理來喔。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	至於烤了什麼……呵呵，是秘密。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	啊……好香……\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	真沒想到能買到夢幻的炭烤蛇肉呢。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	來稍微試吃一下……\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#004	不行，在神龍大人的面前可不能……但是……！\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	啊，神龍大人，早安！\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	……吞。抱歉。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	神龍大人，早安。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#004	嗯？沒有啊，我沒在吃東西喔。\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	如果把神龍大人的經歷寫成童話故事……\x0E\x04\x00\x00
MID_WU_A_2_IN_#002	那麼，一切就是從這個房間開始的呢。\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	對……然後在神龍大人甦醒的橋段要加入插圖。\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	不過，神龍大人醒來時最先看到的人不是我……\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	這讓人有點不甘心呢。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	我相信這場戰爭總有一天……\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	一定會成為流芳後世的傳奇。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	呵呵，和神龍大人在一起……\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#004	總是會發生美好的事情呢。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	您以為我是在偷看您的睡臉嗎？\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	不是喔……我看的是幸福的未來。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	為了我們的未來……今天也好好加油吧。\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	我來叫您起床囉，我的搭檔。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	我一叫您就起來了，真令人開心。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	反正還有些時間，我們再多聊一下吧。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	希望我們今天也能一起度過美好的一天。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	神龍大人睡得可真熟呢。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	如果我們是童話故事的主角……我現在應該吻醒您嗎？\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	神龍大人……我會是您命中註定的那個人嗎？\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	雖然我並不完美……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	但我願永遠守護您。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	畢竟……我喜歡看到幸福快樂的結局嘛。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	早安。還覺得睏的話，我的大腿可以借您躺一下喔。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	讓自己暫時忘記戰爭的事情吧……\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	就算稍微放鬆一下……也沒有人會怪您的。\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	神龍大人的睡臉還是這麼可愛呢。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	您已經習慣……醒來時有我在身旁了嗎？\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	我雖然每天和您朝夕相處……\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	但每次來到這裡時，我還是覺得很特別。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	我從沒想過在成為騎士後……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	還會有這麼美妙的人生在等著我。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	如果這場戰爭真的成為流芳後世的傳奇……\x0E\x04\x00\x00
