MJID_DragonLord	神龍之子
MJID_H_DragonLord	自古代延續至今的龍族後裔。\n能使用神龍劍術。
MJID_DragonKing	神龍之王
MJID_H_DragonKing	世界的領導者，擁有強大的龍之力量。\n能使用神龍劍術與神龍氣功。
MJID_ShadowLord	邪龍之子
MJID_H_ShadowLord	沒有自我意志的邪龍手下。\n能使用強大的邪龍劍術。
MJID_ShadowPrincess	邪龍之女
MJID_H_ShadowPrincess	繼承邪龍血脈。\n擅長邪術，能使用強大的闇魔法。
MJID_ShadowKing	邪龍之王
MJID_H_ShadowKing	企圖以邪惡力量支配世界。\n擅長闇魔法，能將一切破壞殆盡。
MJID_ShadowDragon	大邪龍
MJID_H_ShadowDragon	獲得紋章士戒指之力的邪龍。\n擁有能打開異界之門的強大魔力。
MJID_AvenirLC	王室貴族
MJID_H_AvenirLC	擁有高貴王室血統之人。\n駕馭戰馬，善於槍術。
MJID_Avenir	阿巴尼爾
MJID_H_Avenir	馳騁戰場的白馬王子。\n不僅善於槍術，也精通劍術。
MJID_FleurageLC	王室貴族
MJID_H_FleurageLC	擁有高貴王室血統之人。\n善於魔道，也能以劍戰鬥。
MJID_Fleurage	弗羅剌祝
MJID_H_Fleurage	使用魔法並斬殺敵人的魔法劍士。\n也能以杖戰鬥。
MJID_SuccesseurLC	領主
MJID_H_SuccesseurLC	繼承引領眾人的君主血脈之人。\n善於劍術。
MJID_Successeur	繼承者
MJID_H_Successeur	擁有統領國家的強大力量與意志之人。\n不僅善於劍術，也精通斧術。
MJID_TirailleurLC	領主
MJID_H_TirailleurLC	繼承引領眾人的君主血脈之人。\n善於弓術。
MJID_Tirailleur	狙擊兵
MJID_H_Tirailleur	天賦異稟的神射手。\n能以百發百中的弓術狙擊敵人。
MJID_LindwurmLC	馴獸師
MJID_H_LindwurmLC	與野獸心靈相通，並驅使其作戰的騎士。\n駕馭飛龍，善於魔法與杖術。
MJID_Lindwurm	林德普爾姆
MJID_H_Lindwurm	自空中殲滅敵人的魔龍騎士。\n善於強大的魔法與杖術。
MJID_SleipnirLC	馴獸師
MJID_H_SleipnirLC	與野獸心靈相通，並驅使其作戰的騎士。\n駕馭飛馬，善於魔法與杖術。
MJID_Sleipnir	斯雷普尼爾
MJID_H_Sleipnir	駕馭聖潔天馬「斯雷普尼爾」的騎士。\n善於高等杖術與魔法。
MJID_PitchforkLC	義警隊
