MID_WU_C_1_IN_#001	打擾了，我特地來叫您起床了……\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	我動人的嗓音一下就把您叫醒了，\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	真是不好意思……\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	我好像有點太厲害了……\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	原來如此……看來神龍大人想多聽聽我美妙的聲音呢……\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	我就如您所願再多說一些話……\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	等您聽夠了就快點起床吧……\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	早安……\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	看到我來您好像很高興呢。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	我能理解您的心情喔……\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	呼……早上洗澡就是舒服啊……\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	一聽到洗澡您就醒來了……\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	看來您也很愛乾淨呢……\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	神龍大人要不要也去沖個涼啊……？\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	雖然我喜歡洗澡，但也因此感到有些困擾……\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	畢竟我本來就夠可愛了……\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	洗完澡後更是美得人神共憤啊……\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	早安。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	我為了來見神龍大人……\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	起了個大早把身體洗得乾乾淨淨喔。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#004	您不覺得應該多稱讚我幾句嗎……？\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	不好意思，請您現在馬上起床……\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	那個……出了點小意外。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	現在已經是中午了……\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	不過，多虧我不小心睡過頭……\x0E\x04\x00\x00
MID_WU_B_1_SOON_#004	您才能睡得這麼飽，真是太好了呢……\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	唉，沒想到我竟然會睡過頭……\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	雖然因此遲到了……\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	但我的皮膚也變得更漂亮了……\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	不好意思……\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	因為您遲遲不肯起來……\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	現在已經是中午了……\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	咦？您說是我睡過頭？\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#005	我……我有點聽不太清楚呢……\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	嗯……其他人是用什麼方法叫神龍大人起床的呢……？\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	您這麼快就醒來啦……\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	看來是不需要什麼特殊的方法呢。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	啊……現在還沒到早上喔。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#004	請您繼續睡吧……\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	要怎麼做才能讓神龍大人迷上我呢……？\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	便當和眼淚好像都沒什麼效果……\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	看來我只能在叫醒他的方法上下功夫了……\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	……您醒來啦，我剛才在想事情呢。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	如何？一醒來就看到我這女神般的美貌……\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	就請您為我著迷吧……\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	雖然這麼說有點像在自賣自誇……\x0E\x04\x00\x00
MID_WU_A_1_IN_#002	但我今天想出的方法……真是天才啊。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	看到我這樣的美女出現……\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	您會開心到跳下床來也是理所當然……\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	不過，難得我打算用一個天才般的方法叫您起床……\x0E\x04\x00\x00
MID_WU_A_1_SOON_#004	這樣不就沒得試了嗎……？\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	這是我特地為您準備的……\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	能療癒人心的水聲喔……\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	其他人一定想不到這種新奇的點子吧……\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#004	要是因此而迷上我也沒關係喔……\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	早安。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	真是不好意思……\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	我不但可愛……還擅長叫人起床呢……\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#004	啊，道謝就免了……\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	從小就是萬人迷的我來叫您起床囉……\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	神龍大人醒得還真快呢……\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	您該不會是想看看誰是萬人迷吧……？\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	說到萬人迷……當然就是我戈爾德瑪莉囉。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	其實我心裡知道……\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	神龍大人才是真正的萬人迷……\x0E\x04\x00\x00
