MID_WU_C_1_IN_#001	我真的能進來嗎？
MID_WU_C_1_IN_#002	應該不會被罵吧？
MID_WU_C_1_SOON_#001	抱歉，吵醒你了。
MID_WU_C_1_SOON_#002	啊……我本來就是要叫你起床，應該沒關係吧。
MID_WU_C_1_SOON_#003	早安，神龍大人。
MID_WU_C_1_WAKEUP_#001	雖然我不太敢叫神龍大人起床，
MID_WU_C_1_WAKEUP_#002	但我更怕他就這樣一直不醒來。
MID_WU_C_1_WAKEUP_#003	我該怎麼辦才好……
MID_WU_C_1_WAKEUP_#004	要試著溫柔地叫醒他嗎？
MID_WU_C_1_HELLO_#001	啊，早安，神龍大人。
MID_WU_C_1_HELLO_#002	真是不好意思，一睜開眼睛就看到我，嚇到你了吧。
MID_WU_C_1_HELLO_#003	下次我會換個更好的方法叫你。
MID_WU_C_2_IN_#001	這裡可是神龍大人的房間，
MID_WU_C_2_IN_#002	說不定會設下什麼陷阱……
MID_WU_C_2_IN_#003	應該不會吧？
MID_WU_C_2_SOON_#001	聽到可疑的腳步聲，
MID_WU_C_2_SOON_#002	當然會馬上醒來呢。
MID_WU_C_2_SOON_#003	嗯嗯……
MID_WU_C_2_SOON_#004	我很能理解你的心情。
MID_WU_C_2_WAKEUP_#001	嘿唷……
MID_WU_C_2_WAKEUP_#002	幸好什麼事都沒發生，這樣我就安心了。
MID_WU_C_2_WAKEUP_#003	好，為了不要嚇到神龍大人……
MID_WU_C_2_WAKEUP_#004	我就用最溫柔的語氣叫醒他吧。
MID_WU_C_2_WAKEUP_#005	神龍大人……
MID_WU_C_2_HELLO_#001	你昨晚睡得好嗎？
MID_WU_C_2_HELLO_#002	被我這種人叫醒……
MID_WU_C_2_HELLO_#003	希望不會讓你覺得不快……
MID_WU_C_2_HELLO_#004	不過，看你的表情，我的擔心似乎是多餘了。
MID_WU_B_1_IN_#001	畢竟神龍大人總是那麼忙，
MID_WU_B_1_IN_#002	會起不來也是正常的吧。
MID_WU_B_1_SOON_#001	咦？你不多睡一下嗎？
MID_WU_B_1_SOON_#002	我都已經準備好要打長期戰了呢……
MID_WU_B_1_SOON_#003	你可不要太勉強自己喔。
MID_WU_B_1_WAKEUP_#001	真是的，明明只要做好自己的事就行了……
MID_WU_B_1_WAKEUP_#002	你就是愛管別人的麻煩事，才會累成這樣喔。
MID_WU_B_1_WAKEUP_#003	偶爾也要愛惜一下自己啊。
MID_WU_B_1_HELLO_#001	早安，
MID_WU_B_1_HELLO_#002	你有好好起床，真是了不起呢。
MID_WU_B_1_HELLO_#003	雖然有點睡過頭就是了……
MID_WU_B_1_HELLO_#004	別擔心，
MID_WU_B_1_HELLO_#005	我會幫你跟大家好好說明的。
MID_WU_B_2_IN_#001	好痛……
MID_WU_B_2_IN_#002	來這裡的途中摔了一跤。
MID_WU_B_2_IN_#003	我真的是最討厭疼痛了。
MID_WU_B_2_SOON_#001	你醒來啦，聽我說……
MID_WU_B_2_SOON_#002	我剛才在那邊的樓梯摔倒了。
MID_WU_B_2_SOON_#003	神龍大人也要小心喔，
MID_WU_B_2_SOON_#004	一摔下去可是真的很疼啊。
MID_WU_B_2_SOON_#005	那麼，我先走囉。
MID_WU_B_2_WAKEUP_#001	雖然剛才摔倒的地方很硬……
MID_WU_B_2_WAKEUP_#002	但看到神龍大人的床這麼軟，我就放心了。
MID_WU_B_2_WAKEUP_#003	不過，要是再多擺幾個玩偶，
MID_WU_B_2_WAKEUP_#004	應該會更棒吧。
MID_WU_B_2_HELLO_#001	對了，神龍大人。
MID_WU_B_2_HELLO_#002	為了讓你能睡得更舒服，
MID_WU_B_2_HELLO_#003	要不要在床上擺幾個玩偶啊？
MID_WU_B_2_HELLO_#004	抱著玩偶就能安心入睡喔。
MID_WU_A_1_IN_#001	抱歉在你這麼累的時候打擾你，
MID_WU_A_1_IN_#002	但我被拜託來叫你起床。
MID_WU_A_1_SOON_#001	你其實很想多睡一會吧。
MID_WU_A_1_SOON_#002	我懂……
MID_WU_A_1_SOON_#003	軟綿綿的被窩，
MID_WU_A_1_SOON_#004	有著讓人無法離開的魔力呢。
MID_WU_A_1_WAKEUP_#001	喂～你還是很睏嗎？
MID_WU_A_1_WAKEUP_#002	真是的……
MID_WU_A_1_WAKEUP_#003	要是再不起床，
MID_WU_A_1_WAKEUP_#004	我就要彈你的額頭囉～
MID_WU_A_1_WAKEUP_#005	這招可是你教我的呢。
MID_WU_A_1_HELLO_#001	哈哈，還真的起來了。
MID_WU_A_1_HELLO_#002	雖然說是彈額頭，但我不會用力啦。
MID_WU_A_1_HELLO_#003	我可不想看到神龍大人痛得哀哀叫呢。
MID_WU_A_2_IN_#001	現在回想起來，我好像……
MID_WU_A_2_IN_#002	沒有叫過另一個神龍大人起床呢。
MID_WU_A_2_SOON_#001	抱歉，我的聲音太大了嗎？
MID_WU_A_2_SOON_#002	我只是想起了一些往事。
MID_WU_A_2_SOON_#003	負責叫你起床的工作也不錯呢。
MID_WU_A_2_WAKEUP_#001	在另一個世界裡，
MID_WU_A_2_WAKEUP_#002	如果我沒記錯的話……
MID_WU_A_2_WAKEUP_#003	幾乎沒見過神龍大人睡覺。
MID_WU_A_2_WAKEUP_#004	難道他一直沒睡嗎……？
MID_WU_A_2_WAKEUP_#005	應該不可能吧。
MID_WU_A_2_HELLO_#001	早安。
MID_WU_A_2_HELLO_#002	這個世界的你還真會給人添麻煩啊。
MID_WU_A_2_HELLO_#003	不過，我最近……
MID_WU_A_2_HELLO_#004	開始喜歡上照顧你的感覺囉。
MID_WU_S_1_IN_#001	還在睡嗎……？
MID_WU_S_1_IN_#002	可惡，
MID_WU_S_1_IN_#003	沒想到他的睡臉這麼可愛。
MID_WU_S_1_SOON_#001	早安。
MID_WU_S_1_SOON_#002	你能早早起床，真是太好了。
MID_WU_S_1_SOON_#003	你問我為什麼……？
MID_WU_S_1_SOON_#004	只要看到搭檔的可愛睡臉，
MID_WU_S_1_SOON_#005	我的心臟就會噗通噗通地跳個不停……
MID_WU_S_1_SOON_#006	這樣也是很疼的啊。
MID_WU_S_1_WAKEUP_#001	真是一副安心的睡臉呢。
MID_WU_S_1_WAKEUP_#002	老實說，我很想逃離現實，
MID_WU_S_1_WAKEUP_#003	一直看著你的睡臉下去……
MID_WU_S_1_WAKEUP_#004	但既然我來到這個世界，
MID_WU_S_1_WAKEUP_#005	就會不停地戰鬥下去……
MID_WU_S_1_WAKEUP_#006	即使粉身碎骨也在所不惜。
MID_WU_S_1_WAKEUP_#007	哪怕在將來……
MID_WU_S_1_WAKEUP_#008	我要承受無數的傷痛……
MID_WU_S_1_WAKEUP_#009	只要你平安無事，我就心滿意足了。
MID_WU_S_1_HELLO_#001	你起床了啊？
MID_WU_S_1_HELLO_#002	為了能平安度過今天，我們可要好好努力喔。
MID_WU_S_1_HELLO_#003	要是你遇上了危險……
MID_WU_S_1_HELLO_#004	就逃到我這裡來吧。
MID_WU_S_1_HELLO_#005	我一定會誓死保護你。
MID_WU_S_2_IN_#001	我來叫你起床囉，搭檔。
MID_WU_S_2_IN_#002	總覺得有點難為情呢……
MID_WU_S_2_SOON_#001	你是怕我擔心，才馬上起床的嗎？
MID_WU_S_2_SOON_#002	謝謝你……
MID_WU_S_2_SOON_#003	你對我這麼貼心，
MID_WU_S_2_SOON_#004	害我也想要寵寵你，
MID_WU_S_2_SOON_#005	讓你過上幸福的時光呢。
MID_WU_S_2_WAKEUP_#001	神龍大人，
MID_WU_S_2_WAKEUP_#002	謝謝你給了我戒指……
MID_WU_S_2_WAKEUP_#003	還有如此幸福的時光。
MID_WU_S_2_WAKEUP_#004	從那天起，我就有種飄飄然的感覺……
MID_WU_S_2_WAKEUP_#005	再這樣興奮下去可不行啊。
MID_WU_S_2_WAKEUP_#006	真希望我也能讓你有安全感……
MID_WU_S_2_WAKEUP_#007	總有一天，我會讓你知道，
MID_WU_S_2_WAKEUP_#008	我對你的愛是多麼的刻骨銘心。
MID_WU_S_2_HELLO_#001	早安。
MID_WU_S_2_HELLO_#002	好了，今天也要勇敢地面對敵人喔。
MID_WU_S_2_HELLO_#003	不過，在那之前……
MID_WU_S_2_HELLO_#004	可以給我一個擁抱嗎？
MID_WU_S_2_HELLO_#005	只要抱著你，
MID_WU_S_2_HELLO_#006	我就會覺得……十分安心。
