MID_WU_C_1_IN_#001	這裡就是索拉涅爾的……神龍祭壇……\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	早安。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	對了，你從長眠中甦醒的那一天……\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	也是像現在這樣嗎？\x0E\x04\x00\x00
MID_WU_C_1_SOON_#004	我想那情景一定十分美麗吧。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	你之前就是一直沉睡在這裡的吧。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	如果我能早點找到你……\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	不，就算找到了……\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#004	以前的我也進不到這來的。所以……\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	早安。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	我對現在的自己感到很自豪喔。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	要是我沒有為了夢想而戰……\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	就不會有今天了。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#005	這個瞬間就像是奇蹟一樣呢。\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	你其實靠自己的力量就能起床吧……\x0E\x04\x00\x00
MID_WU_C_2_IN_#002	難道是想跟大家交流才故意裝睡的嗎……？\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	嘿嘿，我猜中了嗎？\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	以前我為了能多跟神殿的人聊天……\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	也曾經裝成起不來的樣子呢。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#004	那我們今天就來說說話吧。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	不過……\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	看來是真的在睡覺呢。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	我也很了解這種睡死的感覺喔。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	畢竟我也是龍族嘛。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#005	……好啦，該起床囉～！\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	早安！\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	你睡得還好嗎？\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	是嗎……那就好。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#004	今後有我這個妹妹在……\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#005	你有任何煩惱……都可以跟我商量喔。\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	神龍和邪龍的祭壇……果然完全不一樣呢。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	啊！你醒來了！\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	我問你喔……那個祭壇睡起來是什麼感覺啊？\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	咦？你要我睡看看……？\x0E\x04\x00\x00
MID_WU_B_1_SOON_#004	這樣不太好吧……？\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	我以前睡的祭壇比較陰暗……\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	幾乎沒有陽光照進來……\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	不過，那搖曳欲滅的燭光……\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#004	卻是如此地美麗……\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	嘿嘿，總覺得有點懷念呢。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	不過，我不會再回去那個地方了。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	我已經決定……\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	要跟你一起活在光明之中。\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	我夢到了粉碎的龍石……\x0E\x04\x00\x00
MID_WU_B_2_IN_#002	所以有點擔心你……\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	太好了……你平安無事。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	嘿嘿……一安心下來肚子就餓了。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	我去找點辣的東西來吃吧。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	嗯，只是睡著而已。這樣我就放心了……\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	難道夢裡出現的是我的龍石嗎？\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	我決定不再變身為龍時埋掉的那顆……\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	對不起，吵醒你了。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	……嗯，我已經沒有龍石了。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	但我並不後悔喔。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#004	就算不能變身為巨龍……\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#005	我仍擁有一顆堅強無比的心。\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	這裡連晚上都這麼明亮呢。天上的星光……好美。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	弄醒你了嗎？對不起。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	我剛才做了一個惡夢。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	可以讓我在這裡多待一會嗎？\x0E\x04\x00\x00
MID_WU_A_1_SOON_#004	真的嗎？嘿嘿……謝謝你……\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	人死後會化作天上的星星吧？\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	那麼媽媽……還有瑪倫他們會在哪裡呢？\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	另一個我……現在是不是也在天上閃閃發光呢……\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	抱歉吵醒你了。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	讓我在這裡多待一會吧。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	畢竟我只有在祭壇上睡過覺……\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#004	這還是我第一次幫人祈禱呢。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#005	希望上天願意聆聽邪龍的祈禱。\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	當我想見你時……\x0E\x04\x00\x00
MID_WU_A_2_IN_#002	就能馬上見到你，這真令人開心。\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	我真的很開心喔……畢竟以前可是想見也見不著啊。\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	過去的我曾經認為……\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	爸爸他也是這麼想的。\x0E\x04\x00\x00
MID_WU_A_2_SOON_#004	但我現在已經認清現實了。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	謝謝你前陣子陪我聊爸爸的事情。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	多虧了你，我才能下定決心……\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	親手斬斷這份超越千年的孽緣……\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	早安。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	我們這樣就像一對普通的手足一樣呢。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	雖然我不清楚什麼才叫普通……\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#004	但今後我們可以一起去摸索喔。\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	天亮囉。我知道你很睏……\x0E\x04\x00\x00
MID_WU_S_1_IN_#002	但我們還得去拯救世界喔。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	早安。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	我最近也起得很早呢，嘿嘿……\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	我相信只要我們在一起……\x0E\x04\x00\x00
MID_WU_S_1_SOON_#004	就沒有任何事能難倒我們。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	真是的～你還是一樣愛賴床耶。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	不過，我很開心喔。像這樣子叫你起床……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	真的就像平凡的家庭一樣呢。我絕不會再放開你了……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	……我不會讓「約定戒指」像龍石那樣碎掉。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	作為你的妹妹、你唯一的搭檔……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	我一定會守護你……！\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	啊，你總算醒了。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	今天也好好加油吧。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	我們得趕緊到異界之門才行。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	爸爸就在那裡……\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#005	讓我們一起阻止他的惡行吧。\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	你的搭檔來叫你起床囉。\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	……是嗎……搭檔啊……嘿嘿。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	啊，我可不是在笑你喔。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	是我自己太開心了。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	……因為我終於不必再追著你跑了。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	謝謝你……選擇了我。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	原來你把我送的石頭擺在這裡啊。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	現在的你，應該能用這顆石頭……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	變成跟琉彌艾爾一樣雪白的龍吧。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	希望有一天我也能成為一條正義的龍。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	不……我一定可以。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	沒有人生來就是邪惡的……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#007	這道理可是你教會我的呢。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	早安。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	我們都已經是搭檔了，下次就換你來叫我起床吧。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	聽到你的聲音……\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	我可能會高興得撲上去呢。\x0E\x04\x00\x00
