MID_WU_C_1_IN_#001	今後我們會輪流叫神龍大人起床。\x0E\x04\x00\x00
MID_WU_C_1_IN_#002	今天由我負責。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	謝謝您，沒想到閣下這麼快醒來。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	真是一個清爽的早晨呢。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	看來神龍大人睡得很熟呢……\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	雖然不忍心叫醒他……\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	但這也是龍之守護者的職責。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#004	神龍大人……該起床梳洗囉，神龍大人。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	早安。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	嗯……像這樣每天看著閣下起床……\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	讓我感到十分欣慰呢。\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	我是龍之守護者凡德雷。\x0E\x04\x00\x00
MID_WU_C_2_IN_#002	……看來神龍大人還在睡呢。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	早安。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	今天我也會全心全意地侍奉閣下。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	嗯，如何才能讓神龍大人舒服地醒來呢？\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	……試著送上香噴噴的早餐好了。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	神龍大人。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	您喜歡什麼樣的食物呢？可否說出來讓我參考一下？\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	神龍大人，抱歉攪擾了您歇息，我來接您了。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	看來閣下小睡了片刻呢。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	懂得及時休息是一件好事喔。\x0E\x04\x00\x00
