MID_WU_C_1_IN_#001	神龍大人，是我錫莉奴……打擾了。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	哎呀，原來您已經醒了呢。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	連剛睡醒都這麼高雅，真不愧是神龍大人。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	這讓我想起了過去與母親大人和哥哥……\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	一起來索拉涅爾拜訪時的情景呢。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	沒錯，那天我也是像這樣看著您的睡臉……\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	啊……！抱歉，我一時間沒反應過來。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	差點都忘了……您現在每天早上都會醒來呢。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	早安，神龍大人。\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	這樓梯比想像中來得陡呢，希望茶不會灑出來……\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	早安。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	我為您帶來了適合在早晨飲用的紅茶……\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	要不要一起來品茗呢？\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	神龍大人睡得可真甜呢。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	希望您在夢中……\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	也能聞到這股如花似蜜的茶香。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	嗯……真的好香……\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	呵呵，幸好您在茶涼之前就醒來了。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	今天我準備了美味的紅茶……\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	希望能和神龍大人一起享用。\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	我還是不太習慣自己一個人來這裡呢……\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	早安。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	哎呀……神龍大人，您的頭髮有點亂呢。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	我去拿把梳子，待會替您整理一下喔。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	小時候來這裡是為了拜見神龍大人……\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	所以現在還是會緊張呢。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	沒錯……以前都是琉彌艾爾大人……\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#004	帶我來這裡的……\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	神龍大人，有什麼心事就儘管告訴我吧。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	我一定可以幫上您的忙。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	……呵呵。瞧我一大早就在說什麼呢，真是抱歉。\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	在索拉涅爾散步時……\x0E\x04\x00\x00
