MID_WU_C_1_IN_#001	呀比～！天亮囉，神龍氏～！！\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	啊，早安！\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	今天是人家負責來叫醒您。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	看來任務算是順利完成了呢！\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	嗯……叫不醒呢。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	看來得使出人家的拿手絕活……\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	模仿雞啼聲了！\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#004	咕～咕咕～！！\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	早安！\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	嗯？怎麼了嗎？\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	這個房間裡沒有公雞唷，那個叫聲……\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	應該是您聽錯了吧？\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	神龍氏～！今天是尤娜卡來叫您起床唷～！\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	早安！\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	真是個清爽的早晨啊！\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	既然您已經醒了……\x0E\x04\x00\x00
MID_WU_C_2_SOON_#004	那人家就先失陪囉！\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	唔……難道……\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	人家的聲音叫不醒神龍氏嗎？\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	那這招怎麼樣！咳咳！\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	「神龍大人，您該起床了。」\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	哦哦……！\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	看來模仿凡德雷氏的作戰成功了呢。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	不過……希望您聽到人家的聲音時……\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#004	也要快點醒來唷～！\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	人家要潛入神龍氏的寢室了唷……\x0E\x04\x00\x00
MID_WU_B_1_IN_#002	好興奮啊……！\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	唉，您已經醒啦～\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	沒事……人家只是在想這裡有沒有什麼稀奇的東西～\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	人家先告辭囉～！\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	躡手躡腳……真不愧是聖地的祭壇。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	很有探險的價值呢……咦？\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	這個鍵盤樂器很罕見呢。人家看看……\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	早安。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	您擁有一件很棒的樂器呢。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	人家其實……\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	對演奏樂器也略有涉獵……\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#005	下次就讓人家來露一手吧。\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	唉……人家真想改掉……\x0E\x04\x00\x00
MID_WU_B_2_IN_#002	這說謊成性的壞習慣啊……\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	啊！是人家太大聲了嗎！？\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	居然提前叫醒了神龍氏……人家真是太不小心了。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	不介意的話，人家可以用手刀……\x0E\x04\x00\x00
