MID_TUT_BMAP_FireBall_TITLE	火山彈
MID_TUT_BMAP_FireBall_0	被火山彈擊中時會受到傷害。
MID_TUT_BMAP_FireBall_1	火山彈必定會落在有「焦痕」的位置上，\n小心別停留在該處。
MID_TUT_BMAP_FireBall_2	另外，身處「噴火口」的單位\n也會受到傷害。
MID_TUT_BMAP_Smoke_TITLE	黑煙
MID_TUT_BMAP_Smoke_0	若身處｢黑煙｣效果的地形，\n將會降低回避、防守與魔防。
MID_TUT_BMAP_Smoke_1	另外，黑煙會在此戰鬥地圖逐漸擴散，\n需多加留意。
MID_TUT_HUB_REFRESH_TITLE	放鬆身心
MID_TUT_HUB_REFRESH_0	可選擇2名夥伴一起在索拉涅爾\n放鬆戰鬥後的疲憊身心。
MID_TUT_HUB_REFRESH_1	一起放鬆時，有機會提升支援值。
MID_TUT_HUB_REFRESH_2	在下次出擊前，\n可在泳池、果樹園與馬廄各放鬆身心1次。
MID_TUT_HUB_REFRESH_NOTICE	可以在「泳池」等地「放鬆身心」了。
MID_TUT_HUB_REFRESH_OPEN	可以「放鬆身心」了。
MID_TUT_GOD_HECTOR_TITLE	紋章士海克托爾
MID_TUT_GOD_HECTOR_0	「紋章士海克托爾」擁有傲人的高防禦力，\n可在保護我方單位的同時，利用反擊來擊退敵人。
MID_TUT_GOD_HECTOR_1	同步技「回擊」\n在受到攻擊時，若還剩一定程度的HP，\n將可增加反擊時的攻擊次數。
MID_TUT_GOD_HECTOR_2	結合武器「沃夫拜爾」\n可對騎馬的敵人及重裝兵造成大量傷害。
MID_TUT_GOD_HECTOR_3	結合特技「鐵壁」\n可在受到攻擊時，提升防守與魔防。
MID_TUT_GOD_HECTOR_4	結合技「止水雷轟架勢」\n可在敵軍行動階段時，封印敵人發動的追擊及打破效果，\n並增加自身反擊時的攻擊次數。
MID_TUT_GOD_SENERIO_TITLE	紋章士塞涅里歐
MID_TUT_GOD_SENERIO_0	「紋章士塞涅里歐」擅長魔法攻擊，\n會引誘或妨礙敵人，讓戰況有利於我軍。
MID_TUT_GOD_SENERIO_1	同步技「指名誘餌」\n可使指定的我方單位容易成為敵方目標。
MID_TUT_GOD_SENERIO_2	結合武器「雷暴」的射程較遠，\n可攻擊遠處的敵人。
MID_TUT_GOD_SENERIO_3	結合特技「陽光」\n可在使用魔法攻擊時，減少對手的魔防，\n並依造成的傷害回復HP。
MID_TUT_GOD_SENERIO_4	結合技「災厄」\n會以炎、雷、風的連續魔法展開廣域攻擊。
MID_TUT_GOD_CAMILLA_TITLE	紋章士卡美拉
MID_TUT_GOD_CAMILLA_0	「紋章士卡美拉」擁有改變地形的力量及飛行能力，\n可從地面和空中控制戰場。
MID_TUT_GOD_CAMILLA_1	同步技「龍脈・暗」可依據我方單位\n同步時的戰鬥類型賦予地形各種特殊效果，\n並消除該地形上的「火焰」跟「瘴氣」等效果。
MID_TUT_GOD_CAMILLA_2	結合武器「閃雷斧」\n可對遠處的敵人發動魔法攻擊。
MID_TUT_GOD_CAMILLA_3	結合特技「天驅」\n可提升移動力，使單位和飛行類型一樣，\n能進入「無法步行」的地形。
MID_TUT_GOD_CAMILLA_4	結合技「暗夜爆破陣」\n可用大範圍的爆炸對敵人造成傷害，\n並賦予地形「火焰」的效果。
MID_TUT_TIPS_Hector	紋章士海克托爾
MID_TUT_TIPS_Senerio	紋章士塞涅里歐
MID_TUT_TIPS_Camilla	紋章士卡美拉
MID_TIPS_OTHER_35	每結束1場戰鬥，都可在索拉涅爾的3個地方各「放鬆身心」1次，一起放鬆的夥伴也會提升支援值。
MID_TIPS_SKILL_36	使用炎、雷或風魔法攻擊時，將根據魔法種類降低對手的能力值，效果持續1回合。
MID_TIPS_SKILL_37	使用魔法攻擊陷入打破狀態的敵人時，有一定機率讓敵人繼續維持打破狀態。
MID_TIPS_GOD_29	異界埃列布陸地中奧斯提亞侯爵家的侯爵之弟，是位力大無窮的用斧能手。
MID_TIPS_GOD_30	羅伊之父艾利烏德的摯友。曾手持「天雷之斧阿爾瑪茲」，與艾利烏德一同對抗邪惡勢力。
MID_TIPS_GOD_31	在異界堤里烏斯陸地的格萊爾傭兵團擔任參謀的青年。
MID_TIPS_GOD_32	隸屬艾克的傭兵團，是位軍師才能卓越的賢者。
MID_TIPS_GOD_33	異界暗夜王國的第一公主，是位美艷的魔龍騎士。
MID_TIPS_GOD_34	神威的手足。非常重視夥伴，對敵人則冷酷無情。
MID_TUT_NAVI_G004_ADVICE_START	此地圖的敵人武器多為杖，\n因此環境設定的「杖・起舞動畫」\n將設為「我軍行動階段」。\n此設定可透過環境設定隨時更改。
MID_TUT_NAVI_G004_ADVICE_END	地圖開始時所更改的「杖・起舞動畫」設定\n將恢復成原先的設定。
