MID_TUT_CATEGORY_TITLE_Battle	戰鬥
MID_TUT_CATEGORY_TITLE_God	紋章士
MID_TUT_CATEGORY_TITLE_Hub	據點
MID_TUT_CATEGORY_TITLE_Kizuna	散步・世界地圖
MID_TUT_CATEGORY_TITLE_Challenge	試煉
MID_TUT_CATEGORY_TITLE_Local	小提示
MID_TUT_BMAP_MOVE_TITLE	移動
MID_TUT_BMAP_MOVE_0	將游標對準我方單位並按下\x0E\x08\x02\x04\x02A鍵，\n即可用\x0E\x08\x02\x0E\x0CStickL來移動單位。
MID_TUT_BMAP_MOVE_1	顯示的「藍色格子」為可移動範圍。
MID_TUT_BMAP_MOVE_2	再次按下\x0E\x08\x02\x04\x02A鍵即移動完成。
MID_TUT_BMAP_COMMAND_TITLE	單位指令
MID_TUT_BMAP_COMMAND_0	移動完成後會顯示「單位指令」，\n可選擇能在該處執行的行動。
MID_TUT_BMAP_COMMAND_1	什麼都不做時，\n就在該處選擇「待命」。
MID_TUT_BMAP_CHANGE_TITLE	切換行動階段
MID_TUT_BMAP_CHANGE_0	當所有我方單位的行動結束後，\n將切換成敵軍的行動階段，\n敵方單位會開始行動。
MID_TUT_BMAP_CHANGE_1	我軍行動階段起始至\n敵軍行動階段結束稱為「回合」，\n「回合」結束後便會再從我軍行動階段開始。
MID_TUT_BMAP_ATTACK_TITLE	攻擊
MID_TUT_BMAP_ATTACK_0	讓我方移動到敵人附近按下\x0E\x08\x02\x04\x02A鍵，\n並從單位指令中選擇「攻擊」。
MID_TUT_BMAP_ATTACK_1	將游標對準敵人，出現「\x0E\x08\x02\x04\x02A攻擊」後\n就可用\x0E\x08\x02\x04\x02A鍵展開攻擊。
MID_TUT_BMAP_ENGAGE_TITLE	結合
MID_TUT_BMAP_ENGAGE_0	結合計量條達到上限時，\n可從「單位指令」中選擇「結合」。
MID_TUT_BMAP_ENGAGE_1	若選擇「結合」，\n將會進入和紋章士一心同體的狀態，\n變得可使用「結合武器」這種特殊武器。
MID_TUT_BMAP_ENGAGE_2	此外，還能透過解放「結合特技」，\n強化我方的能力。
MID_TUT_BMAP_ENGAGE_3	「結合」狀態可持續3回合。
MID_TUT_BMAP_ENGAGE_ATTACK_TITLE	結合技
MID_TUT_BMAP_ENGAGE_ATTACK_0	進入結合狀態時，\n可使用「結合技」這種特殊的特技。
MID_TUT_BMAP_ENGAGE_ATTACK_1	雖然每次結合時只能使用一次「結合技」，\n但這是一種非常強大的能力。
MID_TUT_BMAP_ENGAGE_ATTACK_2	例如結合技「星之突擊」可對敵人造成大量傷害，\n只要選擇「星之突擊」和「武器」即可使用。
MID_TUT_BMAP_TERRAIN_TITLE	地形效果
MID_TUT_BMAP_TERRAIN_0	地形會有各式各樣的「地形效果」。\n例如在「草叢」裡敵人的攻擊就不容易命中。
MID_TUT_BMAP_TERRAIN_1	但要注意的是，進入「草叢」\n要消耗比平常更多的移動力。
MID_TUT_BMAP_TERRAIN_2	「地形效果」可以在畫面\n左上方的「地形資訊」查看。\n妥善運用在戰鬥上吧。
MID_TUT_BMAP_RECOVERY_TITLE	回復
MID_TUT_BMAP_RECOVERY_0	HP歸零將無法戰鬥，\n在那之前使用傷藥「回復」HP吧。
MID_TUT_BMAP_RECOVERY_1	玩家可從單位指令的「持有物品」中\n選擇「傷藥」→「使用」來回復HP。
MID_TUT_BMAP_SYNCHRO_TITLE	同步
MID_TUT_BMAP_SYNCHRO_0	單位和紋章士一同踏上戰場，\n並肩作戰的狀態稱為「同步」。
MID_TUT_BMAP_SYNCHRO_1	「同步」時能力會上升，\n並解放特殊的特技。
MID_TUT_BMAP_KIZUNA_LV_TITLE	牽絆等級
MID_TUT_BMAP_KIZUNA_LV_0	我方與紋章士並肩作戰時會累積\n彼此之間的「牽絆經驗值」，\n提高「牽絆等級」。
MID_TUT_BMAP_KIZUNA_LV_1	「牽絆等級」提升後，\n可習得新的特技\n或提升單位的各種能力。
MID_TUT_BMAP_RANGE_TITLE	射程
MID_TUT_BMAP_RANGE_0	每種武器都擁有各自的「射程」。\n例如弓箭為「射程2」，\n可攻擊2格遠的敵人。
MID_TUT_BMAP_RANGE_1	雖然不會遭到武器射程1的敵人反擊，\n但也無法攻擊或反擊與自身相鄰的敵人。
MID_TUT_BMAP_BREAK_TITLE	打破
MID_TUT_BMAP_BREAK_0	裝備「互克上占優勢的武器」後，\n只要主動攻擊並命中敵人，\n就可使對方陷入「打破」狀態。
MID_TUT_BMAP_BREAK_1	敵人陷入「打破」狀態後，\n在下次戰鬥前將無法反擊，\n可趁此時將戰況導向我方。
MID_TUT_BMAP_BREAK_2	武器互克如下：\n・劍強於斧、斧強於槍、槍強於劍\n・體術強於弓、魔道書和短劍
MID_TUT_BMAP_WAND_TITLE	杖
MID_TUT_BMAP_WAND_0	僧侶等人可使用的「杖」\n擁有多種效果，可用來輔助夥伴。
MID_TUT_BMAP_WAND_1	例如「聖療」可回復我方單位的HP。
MID_TUT_BMAP_WAND_2	雖然很實用，但要小心\n杖有使用次數上的限制。
MID_TUT_STYLE_PRANA_TITLE	戰鬥類型【氣功】
MID_TUT_STYLE_PRANA_0	戰鬥類型為【氣功】的單位\n可使用「連鎖防禦」\n保護與自身相鄰的我方單位免於敵人的攻擊。
MID_TUT_STYLE_PRANA_1	發動後，保護者最多會受到HP20%的傷害，\n讓受保護的我方單位傷害為0。
MID_TUT_STYLE_PRANA_2	「連鎖防禦」只能在自身HP全滿時使用。\n（HP稍有減少便無法使用）
MID_TUT_BMAP_MAGIC_TITLE	魔法
MID_TUT_BMAP_MAGIC_0	「魔法」的射程較遠，\n還可以攻擊相鄰的敵人。
MID_TUT_BMAP_MAGIC_1	另外，對較難以劍、斧等\n物理攻擊傷害的敵人非常有效。
MID_TUT_STYLE_MAGIC_TITLE	戰鬥類型【魔道】
MID_TUT_STYLE_MAGIC_0	戰鬥類型為【魔道】的單位以魔法攻擊時，\n會使敵人因地形效果獲得的回避+補正無效。
MID_TUT_STYLE_MAGIC_1	即便是平常很難命中的\n情況也不用擔心，\n該類型可從遠方加以攻擊。
MID_TUT_BMAP_GOD_ENERGY_TITLE	紋章氣
MID_TUT_BMAP_GOD_ENERGY_0	地圖上會滯留\n一種稱為「紋章氣」的能量。
MID_TUT_BMAP_GOD_ENERGY_1	同步時的我方單位\n若在「紋章氣」上結束行動或待命，\n結合計量條將會累積至上限。
MID_TUT_OVERALLINFORMATION_TITLE	危險範圍
MID_TUT_OVERALLINFORMATION_0	把游標瞄準敵人後，就會顯示代表該敵人\n攻擊範圍的「危險範圍」。只要按下\x0E\x08\x02\x04\x02A鍵，\n就能讓選取的敵人一直顯示「危險範圍」。
MID_TUT_OVERALLINFORMATION_1	\x0E\x08\x02\x06\x04ZL鍵可一次顯示所有敵人的「危險範圍」。
MID_TUT_BMAP_SPECIALATTACK_TITLE	克制
MID_TUT_BMAP_SPECIALATTACK_0	武器詳細資訊上的「克制圖示」\n代表該武器可「克制」特定的敵人。
MID_TUT_BMAP_SPECIALATTACK_1	攻擊武器資訊上克制圖示標示的敵人，\n就會產生「克制」效果，\n可造成比平常更多的傷害。
MID_TUT_STYLE_COOP_TITLE	戰鬥類型【連攜】
MID_TUT_STYLE_COOP_0	戰鬥類型為【連攜】的單位\n會在我方其他單位攻擊時\n使用「連鎖攻擊」支援。
MID_TUT_STYLE_COOP_1	攻擊敵人時，若【連攜】類型的\n我方單位可以攻擊相同敵人，\n該單位就會加入戰鬥一起攻擊。
MID_TUT_STYLE_HORSE_TITLE	戰鬥類型【騎馬】
MID_TUT_STYLE_HORSE_0	戰鬥類型為【騎馬】的單位\n比起其他類型擁有更高的移動力。
MID_TUT_STYLE_HORSE_1	該類型善於活用本身的高機動性戰鬥，\n能夠殺入敵陣先發制人，\n或是自遠方長驅直入，解救身陷危機的夥伴。
MID_TUT_STYLE_COVERT_TITLE	戰鬥類型【隱密】
MID_TUT_STYLE_COVERT_0	戰鬥類型為【隱密】的單位\n會讓地形效果的+補正變成兩倍。
MID_TUT_STYLE_COVERT_1	該類型在「草叢」等地形較多的地方，\n更可妥善利用地形，讓戰局更加有利。
MID_TUT_STYLE_HEAVY_TITLE	戰鬥類型【重裝】
MID_TUT_STYLE_HEAVY_0	戰鬥類型為【重裝】的單位\n即使遭到「互克上占優勢的武器」攻擊，\n也不會陷入打破狀態。
MID_TUT_STYLE_HEAVY_1	此外，該類型的HP及防守較高，\n因此非常適合擺在前線抵禦攻擊。\n但「魔防」較低，必須提防魔法攻擊。
MID_TUT_STYLE_FLY_TITLE	戰鬥類型【飛行】
MID_TUT_STYLE_FLY_0	戰鬥類型為【飛行】的單位\n移動時不會受到地形或地形效果影響，\n還能進入「無法步行」的地形。
MID_TUT_STYLE_FLY_1	該類型雖然擁有極高的移動能力，\n但不擅抵禦弓箭等擁有「克制飛行」的武器，\n必須多加注意。
MID_TUT_STYLE_DRAGON_TITLE	戰鬥類型【龍族】
MID_TUT_STYLE_DRAGON_0	戰鬥類型為【龍族】的單位\n必定能賦予結合特技\n或結合技追加效果。
MID_TUT_STYLE_DRAGON_1	該類型可善用紋章士的能力作戰，\n因此若預先提升與各紋章士間的牽絆，\n更能進一步拓展戰術。
MID_TUT_STYLE_BATTLE_TITLE	戰鬥類型
MID_TUT_STYLE_BATTLE_0	單位有【騎馬】【氣功】【魔道】等\n各種「戰鬥類型」，每種類型皆有不同的特長。
MID_TUT_STYLE_BATTLE_1	可在狀態中查看\n各單位分別為哪種「戰鬥類型」。
MID_TUT_BMAP_ITEMDROP_TITLE	掉落道具
MID_TUT_BMAP_ITEMDROP_0	打倒身上有「掉落圖示」的敵人，\n就可獲得該名敵人身上的道具。
MID_TUT_BMAP_ITEMDROP_1	可獲得的道具將會以「綠色」字樣\n顯示在該名敵人的狀態欄位。
MID_TUT_BMAP_XHELP_TITLE	詳細資訊
MID_TUT_BMAP_XHELP_0	將游標對準單位並按下\x0E\x08\x02\x04\x02X鍵，\n即可查看該單位的「詳細資訊」。
MID_TUT_BMAP_XHELP_1	移動游標即可查看「武器」與「特技」等\n各種欲確認的「詳細資訊」。
MID_TUT_BMAP_XHELP_2	再次按下\x0E\x08\x02\x04\x02X鍵\n或按下\x0E\x08\x02\x04\x02B鍵即可回到原本畫面。
MID_TUT_BMAP_BONDSSUPPORTTALK_TITLE	牽絆對話
MID_TUT_BMAP_BONDSSUPPORTTALK_0	我方單位和紋章士的牽絆等級提升後，\n就能看到「牽絆對話」。
MID_TUT_BMAP_BONDSSUPPORTTALK_1	玩家可在世界地圖或據點索拉涅爾時\n觀看「牽絆對話」。
MID_TUT_BMAP_BONDSSUPPORTTALK_2	觀看「牽絆對話」可進一步提高牽絆等級。
MID_TUT_BMAP_SUPPORT_TITLE	支援效果
MID_TUT_BMAP_SUPPORT_0	與我方單位相鄰戰鬥或\n回復HP會提高支援值，\n就能看到「支援對話」。
MID_TUT_BMAP_SUPPORT_1	玩家可在世界地圖\n或據點索拉涅爾觀看「支援對話」，\n完成對話後可提升彼此的「支援等級」。
MID_TUT_BMAP_SUPPORT_2	我方單位的「支援等級」越高，\n能受到的「支援效果」越高，\n與該單位相鄰時就能提升能力。
MID_TUT_BMAP_VISIT_TITLE	訪問
MID_TUT_BMAP_VISIT_0	只要「訪問」民宅通知居民有危險，\n就能獲得道具或金幣等獎勵。
MID_TUT_BMAP_VISIT_1	讓我方單位移動到民宅前發光的格子，\n即可選擇「訪問」。
MID_TUT_BMAP_VISIT_2	敵人到達民宅後會破壞民宅，\n還請多加留意。
MID_TUT_BMAP_TIMECRYSTAL_TITLE	龍之時水晶
MID_TUT_BMAP_TIMECRYSTAL_0	使用「龍之時水晶」，\n便能回到之前的時間點，重新安排行動。
MID_TUT_BMAP_TIMECRYSTAL_1	可使用選單中的「龍之時水晶」。\n用\x0E\x08\x02\x06\x04Up\x0E\x08\x02\x0A\x08Down選擇要返回的時間點，\n再按下\x0E\x08\x02\x04\x02A鍵決定。
MID_TUT_BMAP_REINFORCEMENT_TITLE	增援
MID_TUT_BMAP_REINFORCEMENT_0	出擊期間有時會出現\n敵人的「增援」。
MID_TUT_BMAP_REINFORCEMENT_1	「增援」有時會從「堡壘」或「地圖的邊界」出現，\n慎重起見，最好還是小心行動。
MID_TUT_BMAP_TRANSPORTER_TITLE	運輸隊
MID_TUT_BMAP_TRANSPORTER_0	透過「運輸隊」就能保管\n身上帶不了的武器跟道具，\n或在需要時取出。
MID_TUT_BMAP_TRANSPORTER_1	\x0E\x06\x03\x00\n或與\x0E\x06\x03\x00相鄰的我方單位\n可在出擊期間使用該功能。
