MID_WU_C_1_IN_#001	早啊！真是個清爽的早晨呢，神龍大人！\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	嗯嗯，你起得很早喔！\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	看到你這麼健康，我就放心了。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	身為領導者就是要以身作則嘛！\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	我是不是來得太早了？\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	那麼，就來唱首歌消磨時間吧。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	天剛亮～太陽公公閃亮亮～\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#004	神龍大人睡香香～♪\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	一唱歌神龍大人就醒了～♪\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	抱歉抱歉……\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	我是不是吵到你了？早安！\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	肚子餓了！神龍大人，我們一起去吃飯吧！\x0E\x04\x00\x00
MID_WU_C_2_IN_#002	啊，還在睡呢。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	啊，醒了醒了。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	我們去吃點什麼吧～！\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	我真的很容易餓呢～\x0E\x04\x00\x00
MID_WU_C_2_SOON_#004	會不會是因為我常跑來跑去的啊？\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	對了，在神龍大人的耳邊……\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	念一些食物的名字，說不定他就會醒來喔。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	烤肉、炸魚……\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	烘烤點心、水果、剛出爐的麵包……\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	啊……你醒了呢，神龍大人！\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	走，我們去吃些什麼吧！\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	既然是吃早餐……\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#004	當然就要好吃又大碗啊！\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	跑了一下肚子就餓了……\x0E\x04\x00\x00
MID_WU_B_1_IN_#002	反正還有點時間，我就在這裡吃點東西吧。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	早安！\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	要是神龍大人再晚一點醒來……\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	我就準備要在這裡生火烤肉了呢！\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	火生起來後，把肉放上去……\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	嗯，烤得恰到好處……\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	咦？糟糕！火太大了！\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#004	我、我得澆些水才行！看我的！\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	啊、啊哈哈……你在說什麼啊……\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	我可沒有在這裡烤肉喔。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	好了，我們快點去吃飯吧！\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	我的肚子要餓扁了！\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	我烤了很多肉喔，神龍大人也來幫忙吃吧！\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	不好意思打擾到你睡覺了。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	雖然我有請大家幫忙一起吃……\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	但他們的肚子都撐到站不起來了。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#004	我很期待神龍大人的食量喔！\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	其實是我在打獵時捕到的……\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	巨大山豬肉。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	啊，你不用擔心……\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#004	我可沒有像上次那樣直搗賊窟喔。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	醒了醒了！\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	快快快，我們今天的第一戰是數不清的烤肉喔！\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	要是沒吃完壞掉了……\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#004	可就太浪費了呢！\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	我最喜歡的神龍大人～♪\x0E\x04\x00\x00
MID_WU_A_1_IN_#002	總是睡到最後一刻～♪\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	剛唱到這裡……\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	神龍大人就醒來了！\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	今天我來得有點早，還有些時間喔。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#004	要不要跟我一起去散散步啊？\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	嗯……聽了我的歌聲也不起來……\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	看來我們的牽絆真是越來越深了。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	我的歌聲可是連媽媽聽到都會一秒起床呢……\n神龍大人真厲害。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	嗨！\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	今天的陽光也很棒喔。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	既然等下就要上戰場了……\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#004	不如趁現在放鬆一下吧！\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	猜～猜我是誰？\x0E\x04\x00\x00
MID_WU_A_2_IN_#002	想要憑聲音就猜出來可不簡單喔！\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	鏘～\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	正確答案是我……蜜絲提拉喔。\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	其實你早就猜到了吧？\x0E\x04\x00\x00
MID_WU_A_2_SOON_#004	畢竟我們可是一起剿滅過盜賊團啊。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	還猜不出來嗎？那我就再多說一點吧……\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	我們之前不是和一群盜賊戰鬥了嗎？\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	雖然被包圍時有點緊張……\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#004	但打贏後真的非常痛快呢！\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	早安！\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	我說了這麼多，你應該也猜出來了吧？\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	沒錯，我們是一同面對過絕境的好夥伴……\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#004	今後也要請你多多指教囉！\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	我來囉，神龍大人！聽到我美麗的聲音就知道是誰了吧？\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	早安！\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	果然一天的開始就是要看到搭檔的臉呢。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	為了明天也能跟你說聲早安……\x0E\x04\x00\x00
MID_WU_S_1_SOON_#004	我一定要好好活下去。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	呵呵，不管你有沒有醒來……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	這段早晨時光都是我的最愛喔。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	真希望我們能一～直這樣下去呢……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	不過，人類並沒有龍那麼長壽。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	雖然很不甘心，但我應該會先離開人世吧。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	要是哪天我不在了……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#007	你一個人也要好好起床喔，神龍大人。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	早安～！\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	今天我也最～喜歡你了。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	嗯～我真幸福。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	希望我成為女王之後……\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#005	也能像這樣每天和你說早安。\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	我有點想見你，所以就跑來了。\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	就算把你吵醒我也不會道歉喔。\x0E\x04\x00\x00
