MID_WU_C_1_IN_#001	哇、哇哇哇……我好緊張……！\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	啊！您起床了呀。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	這麼富麗堂皇的房間，是我打擾了。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	這就是聖地的祭壇吧？\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	每樣擺設看起來都價格不菲，地磚的材質似乎也很好……\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	啊，太過高貴我無法呼吸……\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	早安！太好了……\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	任務順利完成，那我先告退了。\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	睡覺很棒呢……睡著就不會覺得肚子餓了。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	早安，神龍大人。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	今天由我菈琵思負責叫您起床。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	那我先告退了……\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	神龍大人沒有用枕頭呢，這樣會不會不舒服呀？\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	我倒是很習慣不睡枕頭了……\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	下次幫神龍大人做一個好了。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	啊，對不起。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	我真是的，明明是來叫您起床的，居然在擔心枕頭……\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	早、早安。\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	一個不小心就來早了呢。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	抱、抱歉，時間還早。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	也許您可以再睡個回籠覺……！\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	時間還沒到，我來做點東西消磨時間吧。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	把這塊木頭和這塊木頭，這樣……\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	然後嵌入石頭，釘牢，接著上色……\x0E\x04\x00\x00
